,,Global Time,Time,String 1 Iapp,String 2 Iapp,"Cell 1,1 Cathode vConcentration","Cell 1,1 Anode vConcentration","Cell 1,1 Anode vSEI Length","Cell 1,1 Voltage","Cell 1,1 Capacity by Area","Cell 1,2 Cathode vConcentration","Cell 1,2 Anode vConcentration","Cell 1,2 Anode vSEI Length","Cell 1,2 Voltage","Cell 1,2 Capacity by Area","Cell 2,1 Cathode vConcentration","Cell 2,1 Anode vConcentration","Cell 2,1 Anode vSEI Length","Cell 2,1 Voltage","Cell 2,1 Capacity by Area","Cell 2,2 Cathode vConcentration","Cell 2,2 Anode vConcentration","Cell 2,2 Anode vSEI Length","Cell 2,2 Voltage","Cell 2,2 Capacity by Area"
C1,0,0.0,0.0,-13.631918309057502,-13.631918309057498,25777.5,22610.7,5e-09,3.9357043351131,0.0,25777.5,22610.7,5e-09,3.9357043351131,0.0,25777.5,22610.7,5e-09,3.9357043351131,0.0,25777.5,22610.7,5e-09,3.9357043351131,0.0
C1,1,72.72727272727273,72.72727272727273,-13.631918309057557,-13.631918309057443,26055.713458051894,22345.806056901365,4.9999999999968676e-09,3.922592272138574,0.2753922890718693,26055.713458051894,22345.80605690136,4.999999999998878e-09,3.922592272138572,0.2753922890718681,26055.71345805189,22345.806056901365,4.999999999999903e-09,3.9225922721385706,0.2753922890718693,26055.713458051894,22345.806056901354,5.000000000006133e-09,3.9225922721385724,0.2753922890718681
C1,2,145.45454545454547,145.45454545454547,-13.631918309057314,-13.631918309057689,26265.512360206678,22119.06489813481,4.999999999996856e-09,3.913405971644388,0.5507845781437367,26265.51236020671,22119.06489813478,4.999999999998876e-09,3.9134059716443903,0.5507845781437382,26265.51236020672,22119.064898134755,4.9999999999999075e-09,3.9134059716443894,0.5507845781437367,26265.51236020671,22119.064898134755,5.000000000006067e-09,3.913405971644389,0.5507845781437382
C1,3,218.1818181818182,218.1818181818182,-13.631918309056923,-13.63191830905808,26474.378852974598,21892.337098432003,4.9999999999978155e-09,3.9046626078258115,0.8261768672155977,26474.378852974583,21892.337098432065,4.999999999998133e-09,3.904662607825812,0.8261768672156146,26474.378852974594,21892.337098432046,4.999999999999815e-09,3.9046626078258124,0.8261768672155977,26474.378852974583,21892.337098431897,5.000000000009176e-09,3.9046626078258115,0.8261768672156146
C1,4,290.90909090909093,290.90909090909093,-13.631918309057594,-13.631918309057404,26683.22783303936,21665.609401151483,4.999999999998741e-09,3.89627347126155,1.1015691562874617,26683.227833039244,21665.60940115161,4.999999999998721e-09,3.896273471261551,1.1015691562874883,26683.227833039316,21665.60940115148,5.000000000002637e-09,3.8962734712615514,1.1015691562874617,26683.227833039244,21665.60940115141,5.000000000007454e-09,3.896273471261551,1.1015691562874883
C1,5,363.6363636363637,363.6363636363637,-13.631918309057783,-13.631918309057218,26892.075486227903,21438.88170535522,5.000000000000024e-09,3.8881925135222604,1.3769614453593342,26892.075486227914,21438.881705355187,5.000000000003053e-09,3.8881925135222635,1.3769614453593533,26892.075486227826,21438.88170535516,5.000000000003363e-09,3.8881925135222657,1.3769614453593342,26892.075486227914,21438.88170535499,5.0000000000124905e-09,3.8881925135222626,1.3769614453593533
C1,6,436.3636363636364,436.3636363636364,-13.631918309057527,-13.631918309057474,27100.92303867808,21212.15400958032,4.99999999999959e-09,3.8803831701443205,1.6523537344312058,27100.923038677905,21212.154009580114,5.000000000003669e-09,3.8803831701443254,1.6523537344312187,27100.923038677927,21212.15400958029,5.000000000004979e-09,3.880383170144331,1.6523537344312058,27100.923038677905,21212.154009580045,5.00000000001371e-09,3.880383170144326,1.6523537344312187
C1,7,509.0909090909091,509.0909090909091,-13.631918309057042,-13.63191830905796,27309.77058346653,20985.426313805812,5.000000000002821e-09,3.8728148191404177,1.9277460235030701,27309.770583466336,20985.426313805605,5.000000000005e-09,3.872814819140422,1.9277460235030919,27309.77058346641,20985.42631380584,5.000000000004305e-09,3.8728148191404275,1.9277460235030701,27309.770583466336,20985.426313805794,5.000000000023174e-09,3.872814819140422,1.9277460235030919
C1,8,581.8181818181819,581.8181818181819,-13.631918309057367,-13.631918309057633,27518.618127671194,20758.698618031332,5.000000000000807e-09,3.865461642237344,2.203138312574933,27518.6181276711,20758.698618031,5.000000000005439e-09,3.865461642237342,2.203138312574967,27518.618127671187,20758.698618031405,5.000000000004156e-09,3.8654616422373405,2.203138312574933,27518.6181276711,20758.69861803115,5.000000000024542e-09,3.8654616422373413,2.203138312574967
C1,9,654.5454545454546,654.5454545454546,-13.631918309057546,-13.631918309057456,27727.465671831415,20531.970922256754,5.000000000001198e-09,3.858301759496076,2.478530601646801,27727.46567183126,20531.970922256467,5.000000000004185e-09,3.858301759496075,2.4785306016468365,27727.4656718314,20531.97092225675,5.000000000003368e-09,3.858301759496074,2.478530601646801,27727.46567183126,20531.970922256667,5.0000000000215945e-09,3.858301759496075,2.4785306016468365
