,,Time,Cell1 Cathode vConcentration,Cell1 Anode vConcentration,Cell1 Anode vSEI Length,Cell1 Voltage
C1,0,0.0,25777.5,22610.7,5e-09,3.9357043351131
C1,1,72.72727272727273,26055.713961172685,22345.805750813182,5e-09,3.9225922499699353
C1,2,145.45454545454547,26265.511894152285,22119.06490735042,5e-09,3.9134059894152915
C1,3,218.1818181818182,26474.37881346346,21892.33709856931,5e-09,3.904662472423221
C1,4,290.90909090909093,26683.227829714062,21665.60940115328,5e-09,3.8962733483276093
C1,5,363.6363636363637,26892.075485950023,21438.88170535488,5e-09,3.88819240229001
C1,6,436.3636363636364,27100.923038654917,21212.15400957986,5e-09,3.8803830688293606
C1,7,509.0909090909091,27309.77058346452,20985.426313805317,5e-09,3.872814726198386
C1,8,581.8181818181819,27518.61812767108,20758.698618030536,5e-09,3.8654615564003434
C1,9,654.5454545454546,27727.465671831455,20531.970922256205,5e-09,3.858301679701772
C1,10,727.2727272727274,27936.313215988273,20305.243226481394,5e-09,3.8513164690292334
C1,11,800.0000000000001,28145.160760144605,20078.51553070678,5e-09,3.844490000637513
C1,12,872.7272727272727,28354.008304301202,19851.787834932165,5e-09,3.8378086104315825
C1,13,945.4545454545455,28562.855848457675,19625.060139157755,5e-09,3.8312605330234857
C1,14,1018.1818181818182,28771.703392614203,19398.3324433833,5e-09,3.824835606105588
C1,15,1090.909090909091,28980.550936770713,19171.60474760875,5e-09,3.818525026775159
C1,16,1163.6363636363637,29189.398480927284,18944.877051833984,5e-09,3.812321149467025
C1,17,1236.3636363636365,29398.2460250839,18718.149356059424,5e-09,3.8062183126954383
C1,18,1309.0909090909092,29607.09356924033,18491.4216602849,5e-09,3.800208726939016
C1,19,1381.818181818182,29815.94111339676,18264.693964510396,5e-09,3.794288300711089
C1,20,1454.5454545454547,30024.788657553134,18037.966268735905,5e-09,3.7884525802925424
C1,21,1527.2727272727275,30233.636201709745,17811.23857296135,5e-09,3.782697653338605
C1,22,1600.0000000000002,30442.483745866033,17584.510877186633,5e-09,3.7770200752373553
C1,23,1672.727272727273,30651.331290022452,17357.78318141203,5e-09,3.771416805739766
C1,24,1745.4545454545455,30860.178834178816,17131.05548563751,5e-09,3.7658851541412215
C1,25,1818.1818181818182,31069.026378335435,16904.32778986304,5e-09,3.7604227316002348
C1,26,1890.909090909091,31277.87392249219,16677.600094088397,5e-09,3.755027409424591
C1,27,1963.6363636363637,31486.72146664858,16450.87239831391,5e-09,3.7496972823511894
C1,28,2036.3636363636365,31695.569010805124,16224.144702539232,5e-09,3.7444306360036963
C1,29,2109.0909090909095,31904.41655496145,15997.41700676458,5e-09,3.7392259178379588
C1,30,2181.818181818182,32113.264099118023,15770.68931098985,5e-09,3.734081710993841
C1,31,2254.545454545455,32322.11164327453,15543.961615215303,5e-09,3.7289967105448674
C1,32,2327.2727272727275,32530.959187430934,15317.23391944088,5e-09,3.7239697017149136
C1,33,2400.0,32739.806731587465,15090.506223666098,5e-09,3.718999539679538
C1,34,2472.727272727273,32948.654275743924,14863.778527891574,5e-09,3.7140851306145355
C1,35,2545.4545454545455,33157.50181990039,14637.050832116944,5e-09,3.709225413688544
C1,36,2618.1818181818185,33366.34936405688,14410.32313634241,5e-09,3.704419343723373
C1,37,2690.909090909091,33575.19690821331,14183.595440567882,5e-09,3.6996658742661195
C1,38,2763.636363636364,33784.044452369926,13956.867744793377,5e-09,3.694963940831796
C1,39,2836.3636363636365,33992.89199652625,13730.140049018823,5e-09,3.690312444085209
C1,40,2909.0909090909095,34201.73954068265,13503.412353244223,5e-09,3.685710232736136
C1,41,2981.818181818182,34410.5870848391,13276.684657469748,5e-09,3.681156085923588
C1,42,3054.545454545455,34619.434628995645,13049.956961695194,5e-09,3.676648694862518
C1,43,3127.2727272727275,34828.28217315221,12823.22926592064,5e-09,3.6721866435207398
C1,44,3200.0000000000005,35037.12971730866,12596.50157014614,5e-09,3.6677683880847876
C1,45,3272.727272727273,35245.97726146515,12369.773874371576,5e-09,3.6633922349609214
C1,46,3345.454545454546,35454.82480562184,12143.046178597075,5e-09,3.659056317041818
C1,47,3418.1818181818185,35663.67234977835,11916.318482822468,5e-09,3.6547585680329067
C1,48,3490.909090909091,35872.51989393461,11689.590787047926,5e-09,3.6504965490141457
C1,49,3563.636363636364,36081.36743809114,11462.863091273412,5e-09,3.646268037587279
C1,50,3636.3636363636365,36290.214982247686,11236.135395498888,5e-09,3.6420700000206114
C1,51,3709.0909090909095,36499.06252640426,11009.407699724401,5e-09,3.63789926256674
C1,52,3781.818181818182,36707.91007056051,10782.680003949918,5e-09,3.633752281536177
C1,53,3854.545454545455,36916.757614716786,10555.952308175467,5e-09,3.6296250979242792
C1,54,3927.2727272727275,37125.605158873244,10329.224612400969,5e-09,3.6255132871693845
