,,Time,Cell1 Cathode vConcentration,Cell1 Cathode vPhi,Cell1 Anode vConcentration,Cell1 Anode vPhi,Cell1 Anode vSEI Length
C1,0,0.0,25777.5,4.1330238498798,22610.7,0.1973195147667003,5e-09
C1,1,72.72727272727273,26055.712205501128,4.12067669744047,22345.807075908604,0.19808437135068502,5e-09
C1,2,145.45454545454547,26265.511208906526,4.112147354612331,22119.064935251845,0.1987413390111466,5e-09
C1,3,218.1818181818182,26474.378755170925,4.104068945704131,21892.33709898191,0.1994066656044079,5e-09
C1,4,290.90909090909093,26683.227824813344,4.096352668497857,21665.60940115952,0.20007949461574956,5e-09
C1,5,363.6363636363637,26892.07548554073,4.088951125314192,21438.88170535488,0.2007588806521413,5e-09
C1,6,436.3636363636364,27100.923038620997,4.081826908539855,21212.15400957979,0.2014439830700177,5e-09
C1,7,509.0909090909091,27309.770583461926,4.074948614595016,20985.426313805412,0.20213401970152398,5e-09
C1,8,581.8181818181819,27518.618127670987,4.0682896967038085,20758.698618030834,0.20282826138943835,5e-09
C1,9,654.5454545454546,27727.46567183142,4.0618275945754165,20531.970922256427,0.2035260272679934,5e-09
C1,10,727.2727272727274,27936.313215988157,4.055543044674013,20305.243226481893,0.20422668062784385,5e-09
C1,11,800.0000000000001,28145.160760144776,4.049419527276176,20078.515530707253,0.20492962529191766,5e-09
C1,12,872.7272727272727,28354.008304301326,4.04344281963355,19851.787834932824,0.20563430244544467,5e-09
C1,13,945.4545454545455,28562.85584845781,4.037600632275121,19625.060139158253,0.20634018787333885,5e-09
C1,14,1018.1818181818182,28771.70339261428,4.031882310992744,19398.332443383602,0.2070467895662733,5e-09
C1,15,1090.909090909091,28980.550936770866,4.026278591113632,19171.604747609,0.20775364566381518,5e-09
C1,16,1163.6363636363637,29189.39848092728,4.020782457303845,18944.877051834294,0.20846031821184857,5e-09
C1,17,1236.3636363636365,29398.246025083645,4.015384717750208,18718.14935605985,0.20916640505478598,5e-09
C1,18,1309.0909090909092,29607.093569240107,4.010080252239501,18491.421660285345,0.20987152530050088,5e-09
C1,19,1381.818181818182,29815.94111339652,4.004863623772776,18264.69396451078,0.2105753230616986,5e-09
C1,20,1454.5454545454547,30024.78865755302,3.9997300469531534,18037.966268736353,0.2112774666606238,5e-09
C1,21,1527.2727272727275,30233.63620170966,3.9946753015695475,17811.23857296173,0.21197764823095597,5e-09
C1,22,1600.0000000000002,30442.483745866102,3.9896956588130106,17584.51087718718,0.21267558357566735,5e-09
C1,23,1672.727272727273,30651.33129002261,3.9847878180247602,17357.783181412884,0.21337101228500857,5e-09
C1,24,1745.4545454545455,30860.17883417903,3.9799488522634956,17131.05548563816,0.2140636981222877,5e-09
C1,25,1818.1818181818182,31069.02637833558,3.9751761612889163,16904.327789863564,0.2147534296886931,5e-09
C1,26,1890.909090909091,31277.873922491883,3.9704674308066767,16677.600094088994,0.21544002138208784,5e-09
C1,27,1963.6363636363637,31486.721466648432,3.9658205970199294,16450.872398314328,0.21612331466849063,5e-09
C1,28,2036.3636363636365,31695.569010804797,3.961233815692447,16224.14470253989,0.21680317968900348,5e-09
C1,29,2109.0909090909095,31904.41655496116,3.956705435066634,15997.417006765298,0.21747951722922174,5e-09
C1,30,2181.818181818182,32113.264099117514,3.9522339720757764,15770.689310990887,0.21815226108275518,5e-09
C1,31,2254.545454545455,32322.111643273733,3.9478180913892773,15543.961615216489,0.21882138084549582,5e-09
C1,32,2327.2727272727275,32530.959187430275,3.9434565868962173,15317.233919441838,0.21948688518266354,5e-09
C1,33,2400.0,32739.806731586476,3.939148365294528,15090.506223667238,0.22014882561661245,5e-09
C1,34,2472.727272727273,32948.654275742934,3.934892431502557,14863.778527892717,0.22080730088990355,5e-09
C1,35,2545.4545454545455,33157.50181989939,3.930687875651704,14637.050832117966,0.22146246196530558,5e-09
C1,36,2618.1818181818185,33366.34936405592,3.926533861453295,14410.323136343459,0.22211451773232915,5e-09
C1,37,2690.909090909091,33575.196908212434,3.922429615762108,14183.595440568868,0.22276374149865863,5e-09
C1,38,2763.636363636364,33784.0444523688,3.9183744191834027,13956.867744794386,0.2234104783545306,5e-09
C1,39,2836.3636363636365,33992.891996525235,3.9143675975909025,13730.140049019814,0.22405515350888439,5e-09
C1,40,2909.0909090909095,34201.73954068159,3.910408514440689,13503.412353245305,0.22469828170800668,5e-09
