,,Global Time,Time,Cell1 Cathode vConcentration,Cell1 Anode vConcentration,Cell1 Anode vSEI Length,Cell1 Voltage,Current
C1,0,0.0,0.0,25777.5,22610.7,5e-09,3.9357043351131,-13.6319183090575
C1,1,72.72727272727273,72.72727272727273,26055.713961172696,22345.805750813182,5e-09,3.92259224996993,-13.6319183090575
C1,2,145.45454545454547,145.45454545454547,26265.511894152245,22119.06490735038,5e-09,3.9134059894152884,-13.6319183090575
C1,3,218.1818181818182,218.1818181818182,26474.37881346343,21892.337098569253,5e-09,3.9046624724232215,-13.6319183090575
C1,4,290.90909090909093,290.90909090909093,26683.227829713982,21665.60940115324,5e-09,3.8962733483276137,-13.6319183090575
C1,5,363.6363636363637,363.6363636363637,26892.07548595011,21438.881705354797,5e-09,3.888192402290005,-13.6319183090575
C1,6,436.3636363636364,436.3636363636364,27100.92303865497,21212.15400957976,5e-09,3.8803830688293575,-13.6319183090575
C1,7,509.0909090909091,509.0909090909091,27309.770583464677,20985.426313805096,5e-09,3.872814726198377,-13.6319183090575
C1,8,581.8181818181819,581.8181818181819,27518.6181276712,20758.698618030583,5e-09,3.8654615564003407,-13.6319183090575
C1,9,654.5454545454546,654.5454545454546,27727.465671831502,20531.97092225594,5e-09,3.858301679701766,-13.6319183090575
C1,10,727.2727272727274,727.2727272727274,27936.31321598832,20305.243226481245,5e-09,3.851316469029232,-13.6319183090575
C1,11,800.0000000000001,800.0000000000001,28145.160760144856,20078.51553070665,5e-09,3.844490000637507,-13.6319183090575
C1,12,872.7272727272727,872.7272727272727,28354.00830430129,19851.787834931947,5e-09,3.837808610431578,-13.6319183090575
C1,13,945.4545454545455,945.4545454545455,28562.855848457795,19625.060139157504,5e-09,3.8312605330234843,-13.6319183090575
C1,14,1018.1818181818182,1018.1818181818182,28771.70339261432,19398.332443382973,5e-09,3.8248356061055873,-13.6319183090575
C1,15,1090.909090909091,1090.909090909091,28980.550936770887,19171.604747608144,5e-09,3.818525026775156,-13.6319183090575
C1,16,1163.6363636363637,1163.6363636363637,29189.398480927448,18944.877051833464,5e-09,3.8123211494670204,-13.6319183090575
C1,17,1236.3636363636365,1236.3636363636365,29398.246025083816,18718.14935605877,5e-09,3.8062183126954388,-13.6319183090575
C1,18,1309.0909090909092,1309.0909090909092,29607.09356924042,18491.42166028424,5e-09,3.8002087269390126,-13.6319183090575
C1,19,1381.818181818182,1381.818181818182,29815.941113396955,18264.693964509544,5e-09,3.7942883007110817,-13.6319183090575
C1,20,1454.5454545454547,1454.5454545454547,30024.78865755355,18037.96626873508,5e-09,3.78845258029253,-13.6319183090575
