,,Global Time,Time,String 1 Iapp,String 2 Iapp,"Cell 1,1 Cathode vConcentration","Cell 1,1 Anode vConcentration","Cell 1,1 Anode vSEI Length","Cell 1,1 Voltage","Cell 1,1 Capacity by Area","Cell 1,2 Cathode vConcentration","Cell 1,2 Anode vConcentration","Cell 1,2 Anode vSEI Length","Cell 1,2 Voltage","Cell 1,2 Capacity by Area"
C1,0,0.0,0.0,-13.699286873998616,-13.564549744116384,25777.5,22610.7,5e-09,3.9348152872663547,0.0,25777.5,22610.7,5e-09,3.934815287266354,0.0
C1,1,72.72727272727273,72.72727272727273,-13.692664777249565,-13.571171840865436,26059.44644206826,22344.759832172484,4.999999999987958e-09,3.9215891583270395,0.2766863803156382,26057.00837801864,22342.102783362905,5e-09,3.9215891583270395,0.2740981978280992
C1,2,145.45454545454547,145.45454545454547,-13.688961362391556,-13.574875255723445,26271.980753533364,22117.199806216628,5.0000000000081015e-09,3.912327369445099,0.5532684625342355,26267.866206916377,22112.109679862813,5e-09,3.9123273694450993,0.5483006937532394
C1,3,218.1818181818182,218.1818181818182,-13.685964437764909,-13.577872180350091,26483.516722561868,21889.714209602324,4.999999999902326e-09,3.9035146596348507,0.8297828645560179,26477.8417089213,21882.069932205413,5e-09,3.9035146596348502,0.8225708698751943
C1,4,290.90909090909093,290.90909090909093,-13.68346373642962,-13.580372881685381,26694.995486715434,21662.27176083054,4.9999999999676325e-09,3.8950614650258424,1.1062417350024274,26687.837495186897,21651.986472935612,5e-09,3.8950614650258424,1.0968965775725223
C1,5,363.6363636363637,363.6363636363637,-13.681350779406465,-13.582485838708536,26906.440206215844,21434.865565257263,4.999999999948727e-09,3.886920457235987,1.3826540028391556,26897.864529585233,21421.86606262305,5e-09,3.8869204572359877,1.3712688878795316
C1,6,436.3636363636364,436.3636363636364,-13.679545970047798,-13.584290648067203,27117.856938444416,21207.490271564704,4.99999999990247e-09,3.879054357635001,1.6590266972780874,27107.919351198303,21191.714152282166,5e-09,3.8790543576350016,1.645680771584337
C1,7,509.0909090909091,509.0909090909091,-13.677989020695021,-13.58584759741998,27329.249605468674,20980.14158664959,5.000000000029757e-09,3.8714319894090004,1.935365434558318,27317.99823426491,20961.53511806614,5e-09,3.8714319894090012,1.9201266124478438
C1,8,581.8181818181819,581.8181818181819,-13.676633699500226,-13.587202918614775,27540.62132574842,20752.81602557737,4.99999999989859e-09,3.8640270996467745,2.2116747549643305,27528.098073847304,20731.332512370744,5e-09,3.8640270996467754,2.1946018701855685
C1,9,654.5454545454546,654.5454545454546,-13.675444161891138,-13.588392456223863,27751.974658716226,20525.51072871929,4.999999999867826e-09,3.8568174665296198,2.4879583697258596,27738.216310326658,20501.109250182188,5e-09,3.8568174665296198,2.469102833567777
