Cycle,Protocol,Stamps,Time,Global Time,Pack Voltage,Pack Current,String 1 Iapp,"Cell 1,1 Cathode Concentration","Cell 1,1 Anode Concentration","Cell 1,1 Voltage","Cell 1,1 Capacity by Area"
1,CC-discharge,0,0.0,0.0,3.866102522392951,-27.263836618115,-27.263836618115,25777.5,22610.7,3.866102522392951,0.0
1,CC-discharge,1,72.72727272727273,72.72727272727273,3.840775663425488,-27.263836618115,-27.263836618114997,26342.614866431664,22076.202509647395,3.840775663425488,0.5507845781437374
1,CC-discharge,2,145.45454545454547,145.45454545454547,3.8238474594970167,-27.263836618115,-27.263836618115,26762.192940593362,21622.72021905366,3.8238474594970167,1.1015691562874748
1,CC-discharge,3,218.1818181818182,218.1818181818182,3.808171299824353,-27.263836618115,-27.263836618115,27179.93597743455,21169.26481863416,3.808171299824353,1.652353734431212
1,CC-discharge,4,290.90909090909093,290.90909090909093,3.793422937093045,-27.263836618115,-27.263836618115,27597.63186304393,20715.80942712074,3.793422937093045,2.2031383125749495
1,CC-discharge,5,363.6363636363637,363.6363636363637,3.779419801166379,-27.263836618115,-27.263836618115,28015.326961276387,20262.35403557099,3.779419801166379,2.753922890718687
1,CC-discharge,6,436.3636363636364,436.3636363636364,3.7660304967081437,-27.263836618115,-27.263836618115,28433.022049505205,19808.89864402188,3.7660304967081437,3.304707468862424
1,CC-discharge,7,509.0909090909091,509.0909090909091,3.7531581588014618,-27.263836618115,-27.263836618115,28850.71713781727,19355.443252472673,3.7531581588014618,3.8554920470061615
1,CC-discharge,8,581.8181818181819,581.8181818181819,3.7407304396299277,-27.263836618115,-27.263836618115,29268.41222612981,18901.9878609232,3.7407304396299277,4.406276625149899
1,CC-discharge,9,654.5454545454546,654.5454545454546,3.7286927090779916,-27.263836618115,-27.263836618115,29686.107314442783,18448.532469373888,3.7286927090779916,4.9570612032936365
1,CC-discharge,10,727.2727272727274,727.2727272727274,3.7170033228229213,-27.263836618115,-27.263836618115,30103.802402755482,17995.077077824608,3.7170033228229213,5.507845781437374
1,CC-discharge,11,800.0000000000001,800.0000000000001,3.7056302545432165,-27.263836618115,-27.263836618115,30521.497491067734,17541.621686275274,3.7056302545432165,6.0586303595811115
1,CC-discharge,12,872.7272727272727,872.7272727272727,3.6945486610852263,-27.263836618115,-27.263836618115,30939.192579380997,17088.16629472626,3.6945486610852263,6.609414937724848
1,CC-discharge,13,945.4545454545455,945.4545454545455,3.683739012777778,-27.263836618115,-27.263836618115,31356.887667694227,16634.710903176874,3.683739012777778,7.160199515868586
1,CC-discharge,14,1018.1818181818182,1018.1818181818182,3.6731858070158325,-27.263836618115,-27.263836618115,31774.582756006985,16181.255511627543,3.6731858070158325,7.710984094012323
1,CC-discharge,15,1090.909090909091,1090.909090909091,3.6628764306985224,-27.263836618115,-27.263836618115,32192.277844319473,15727.800120078246,3.6628764306985224,8.26176867215606
1,CC-discharge,16,1163.6363636363637,1163.6363636363637,3.6528003235616295,-27.263836618115,-27.263836618115,32609.972932632183,15274.344728529226,3.6528003235616295,8.812553250299798
1,CC-discharge,17,1236.3636363636365,1236.3636363636365,3.6429482680725713,-27.263836618115,-27.263836618115,33027.66802094472,14820.889336979635,3.6429482680725713,9.363337828443536
1,CC-discharge,18,1309.0909090909092,1309.0909090909092,3.633311778990074,-27.263836618115,-27.263836618115,33445.36310925769,14367.433945430554,3.633311778990074,9.914122406587273
1,CC-discharge,19,1381.818181818182,1381.818181818182,3.6238825338356393,-27.263836618115,-27.263836618115,33863.058197570535,13913.97855388146,3.6238825338356393,10.46490698473101
1,CC-discharge,20,1454.5454545454547,1454.5454545454547,3.6146518544298902,-27.263836618115,-27.263836618115,34280.753285883555,13460.523162331952,3.6146518544298902,11.015691562874748
1,CC-discharge,21,1527.2727272727275,1527.2727272727275,3.6056101511373164,-27.263836618115,-27.263836618115,34698.44837419618,13007.067770782654,3.6056101511373164,11.566476141018486
1,CC-discharge,22,1600.0000000000002,1600.0000000000002,3.596746346097665,-27.263836618115,-27.263836618115,35116.143462508786,12553.612379233107,3.596746346097665,12.117260719162223
1,CC-discharge,23,1672.727272727273,1672.727272727273,3.588047221545558,-27.263836618115,-27.263836618115,35533.838550822,12100.156987684062,3.588047221545558,12.66804529730596
1,CC-discharge,24,1745.4545454545455,1745.4545454545455,3.5794966886712074,-27.263836618115,-27.263836618115,35951.53363913491,11646.701596134893,3.5794966886712074,13.218829875449696
1,CC-discharge,25,1818.1818181818182,1818.1818181818182,3.5710748967471986,-27.263836618115,-27.263836618115,36369.228727447924,11193.246204585848,3.5710748967471986,13.769614453593434
1,CC-discharge,26,1890.909090909091,1890.909090909091,3.5627571705054466,-27.263836618115,-27.263836618115,36786.92381576038,10739.790813036907,3.5627571705054466,14.320399031737171
1,CC-discharge,27,1963.6363636363637,1963.6363636363637,3.5545127511977284,-27.263836618115,-27.263836618115,37204.61890407344,10286.335421487522,3.5545127511977284,14.871183609880909
1,CC-discharge,28,2036.3636363636365,2036.3636363636365,3.5463031994378817,-27.263836618115,-27.263836618115,37622.31399238657,9832.880029938551,3.5463031994378817,15.421968188024646
1,CC-discharge,29,2109.0909090909095,2109.0909090909095,3.538080474044346,-27.263836618115,-27.263836618115,38040.00908069903,9379.42463838932,3.538080474044346,15.972752766168385
1,CC-discharge,30,2181.818181818182,2181.818181818182,3.5297845564130417,-27.263836618115,-27.263836618115,38457.70416901166,8925.969246840268,3.5297845564130417,16.52353734431212
1,CC-discharge,31,2254.545454545455,2254.545454545455,3.5213404737217404,-27.263836618115,-27.263836618115,38875.39925732424,8472.513855291008,3.5213404737217404,17.07432192245586
1,CC-discharge,32,2327.2727272727275,2327.2727272727275,3.5126547592243287,-27.263836618115,-27.263836618115,39293.09434563737,8019.058463741837,3.5126547592243287,17.625106500599596
1,CC-discharge,33,2400.0,2400.0,3.503610923056041,-27.263836618115,-27.263836618115,39710.78943394999,7565.603072192551,3.503610923056041,18.175891078743334
1,CC-discharge,34,2472.727272727273,2472.727272727273,3.494064031941093,-27.263836618115,-27.263836618115,40128.48452226296,7112.147680643578,3.494064031941093,18.726675656887075
1,CC-discharge,35,2545.4545454545455,2545.4545454545455,3.483834049852456,-27.263836618115,-27.263836618115,40546.17961057559,6658.692289094425,3.483834049852456,19.277460235030812
1,CC-discharge,36,2618.1818181818185,2618.1818181818185,3.472697760462549,-27.263836618115,-27.263836618115,40963.87469888803,6205.236897545361,3.472697760462549,19.82824481317455
1,CC-discharge,37,2690.909090909091,2690.909090909091,3.460379051831118,-27.263836618115,-27.263836618115,41381.56978720059,5751.7815059964005,3.460379051831118,20.379029391318287
1,CC-discharge,38,2763.636363636364,2763.636363636364,3.446537472712334,-27.263836618115,-27.263836618115,41799.26487551323,5298.3261144472135,3.446537472712334,20.929813969462025
1,CC-discharge,39,2836.3636363636365,2836.3636363636365,3.4307548262476963,-27.263836618115,-27.263836618115,42216.95996382576,4844.870722898053,3.4307548262476963,21.480598547605762
1,CC-discharge,40,2909.0909090909095,2909.0909090909095,3.4125201226394397,-27.263836618115,-27.263836618115,42634.65505213885,4391.41533134891,3.4125201226394397,22.0313831257495
1,CC-discharge,41,2981.818181818182,2981.818181818182,3.391213407138273,-27.263836618115,-27.263836618115,43052.35014045106,3937.959939799759,3.391213407138273,22.582167703893237
1,CC-discharge,42,3054.545454545455,3054.545454545455,3.3660895116059026,-27.263836618115,-27.263836618115,43470.04522876386,3484.504548250749,3.3660895116059026,23.132952282036975
1,CC-discharge,43,3127.2727272727275,3127.2727272727275,3.336263181371848,-27.263836618115,-27.263836618115,43887.740317077056,3031.0491567015692,3.336263181371848,23.683736860180712
1,CC-discharge,44,3200.0000000000005,3200.0000000000005,3.3006932393745956,-27.263836618115,-27.263836618115,44305.43540539032,2577.5937651525824,3.3006932393745956,24.23452143832445
1,CC-discharge,45,3272.727272727273,3272.727272727273,3.25813712349661,-27.263836618115,-27.263836618115,44723.13049370262,2124.138373603527,3.25813712349661,24.785306016468187
1,CC-discharge,46,3345.454545454546,3345.454545454546,3.206882765759555,-27.263836618115,-27.263836618115,45140.825582014826,1670.6829820544872,3.206882765759555,25.336090594611925
1,CC-discharge,47,3418.1818181818185,3418.1818181818185,3.1429083350353064,-27.263836618115,-27.263836618115,45558.52067032769,1217.2275905054328,3.1429083350353064,25.886875172755662
1,CC-discharge,48,3490.909090909091,3490.909090909091,3.043376667961187,-27.263836618115,-27.263836618115,45976.21575864011,763.7721989563943,3.043376667961187,26.4376597508994
1,CC-discharge,49,3508.714729568278,3508.714729568278,3.0000100000000005,-27.263836618115,-27.263836618115,46078.47901605825,652.7538347691436,3.0000100000000005,26.57250697958975
1,CC-charge,0,3508.714729568278,3508.714729568278,3.7161102516697375,27.263836618115,27.263836618115,46078.47901605825,652.7538347691436,3.7161102516697375,0.0
1,CC-charge,1,3581.4420022955505,3581.4420022955505,3.820745944517355,27.263836618114997,27.263836618115,45513.36394745707,1187.2515272060095,3.820745944517355,-0.0
1,CC-charge,2,3654.1692750228235,3654.1692750228235,3.8669758456293155,27.263836618115,27.263836618115,45093.78642443231,1640.7336074549596,3.8669758456293155,-0.0
1,CC-charge,3,3726.896547750096,3726.896547750096,3.904343509060036,27.263836618115,27.263836618115,44676.043526187765,2094.1890160793605,3.904343509060036,-0.0
1,CC-charge,4,3799.623820477369,3799.623820477369,3.9355635393813984,27.263836618115,27.263836618115,44258.34718339366,2547.644407647225,3.9355635393813984,-0.0
1,CC-charge,5,3872.3510932046415,3872.3510932046415,3.961565210728866,27.263836618115,27.263836618115,43840.65205759366,3001.0997991963704,3.961565210728866,-0.0
1,CC-charge,6,3945.0783659319145,3945.0783659319145,3.983120759426619,27.263836618115,27.263836618115,43422.95696665248,3454.555190745298,3.983120759426619,-0.0
1,CC-charge,7,4017.805638659187,4017.805638659187,4.000971875762311,27.263836618115,27.263836618115,43005.261878241276,3908.0105822943196,4.000971875762311,-0.0
1,CC-charge,8,4090.53291138646,4090.53291138646,4.015802448801166,27.263836618115,27.263836618115,42587.566789923745,4361.465973843224,4.015802448801166,-0.0
1,CC-charge,9,4163.260184113733,4163.260184113733,4.028215865179935,27.263836618115,27.263836618115,42169.871701610864,4814.921365392147,4.028215865179935,-0.0
1,CC-charge,10,4235.987456841005,4235.987456841005,4.038728412432427,27.263836618115,27.263836618115,41752.176613297815,5268.376756941188,4.038728412432427,-0.0
1,CC-charge,11,4308.714729568278,4308.714729568278,4.0477727743757566,27.263836618115,27.263836618115,41334.48152498446,5721.832148490198,4.0477727743757566,-0.0
1,CC-charge,12,4381.442002295551,4381.442002295551,4.055706441384378,27.263836618115,27.263836618115,40916.78643667117,6175.28754003892,4.055706441384378,-0.0
1,CC-charge,13,4454.169275022823,4454.169275022823,4.062821755262088,27.263836618115,27.263836618115,40499.09134835787,6628.742931587739,4.062821755262088,-0.0
1,CC-charge,14,4526.896547750096,4526.896547750096,4.069355936948885,27.263836618115,27.263836618115,40081.39626004449,7082.198323136663,4.069355936948885,-0.0
1,CC-charge,15,4599.623820477369,4599.623820477369,4.075500305943485,27.263836618115,27.263836618115,39663.70117173136,7535.653714685137,4.075500305943485,-0.0
1,CC-charge,16,4672.351093204642,4672.351093204642,4.081408371600716,27.263836618115,27.263836618115,39246.00608341818,7989.109106234039,4.081408371600716,-0.0
1,CC-charge,17,4745.078365931915,4745.078365931915,4.0872027716840185,27.263836618115,27.263836618115,38828.3109951052,8442.564497783113,4.0872027716840185,-0.0
1,CC-charge,18,4817.805638659187,4817.805638659187,4.0929810718297235,27.263836618115,27.263836618115,38410.615906791776,8896.019889331994,4.0929810718297235,-0.0
1,CC-charge,19,4890.53291138646,4890.53291138646,4.0988205982355455,27.263836618115,27.263836618115,37992.92081847843,9349.475280880912,4.0988205982355455,-0.0
1,CC-charge,20,4963.260184113733,4963.260184113733,4.104782406530751,27.263836618115,27.263836618115,37575.22573016585,9802.930672429919,4.104782406530751,-0.0
1,CC-charge,21,5035.987456841005,5035.987456841005,4.110914527209966,27.263836618115,27.263836618115,37157.530641852405,10256.386063978962,4.110914527209966,-0.0
1,CC-charge,22,5108.714729568278,5108.714729568278,4.11725462546478,27.263836618115,27.263836618115,36739.83555353895,10709.84145552762,4.11725462546478,-0.0
1,CC-charge,23,5181.442002295551,5181.442002295551,4.123832135530179,27.263836618115,27.263836618115,36322.140465225755,11163.296847076743,4.123832135530179,-0.0
1,CC-charge,24,5254.169275022823,5254.169275022823,4.1306700203862885,27.263836618115,27.263836618115,35904.44537691222,11616.752238625386,4.1306700203862885,-0.0
1,CC-charge,25,5326.896547750096,5326.896547750096,4.137786203284864,27.263836618115,27.263836618115,35486.75028859931,12070.20763017444,4.137786203284864,-0.0
1,CC-charge,26,5399.623820477369,5399.623820477369,4.1451947275621865,27.263836618115,27.263836618115,35069.05520028591,12523.663021723007,4.1451947275621865,-0.0
1,CC-charge,27,5472.351093204642,5472.351093204642,4.15290672067543,27.263836618115,27.263836618115,34651.36011197257,12977.11841327153,4.15290672067543,-0.0
1,CC-charge,28,5545.078365931915,5545.078365931915,4.160931199944189,27.263836618115,27.263836618115,34233.66502365929,13430.573804820444,4.160931199944189,-0.0
1,CC-charge,29,5617.805638659187,5617.805638659187,4.169275758438696,27.263836618115,27.263836618115,33815.9699353461,13884.029196368998,4.169275758438696,-0.0
1,CC-charge,30,5690.53291138646,5690.53291138646,4.177947170312353,27.263836618115,27.263836618115,33398.274847033026,14337.48458791779,4.177947170312353,-0.0
1,CC-charge,31,5763.260184113733,5763.260184113733,4.186951924368251,27.263836618115,27.263836618115,32980.579758719694,14790.939979466895,4.186951924368251,-0.0
1,CC-charge,32,5835.987456841005,5835.987456841005,4.196296763555794,27.263836618115,27.263836618115,32562.884670406696,15244.395371015533,4.196296763555794,-0.0
1,CC-charge,33,5864.01182853885,5864.01182853885,4.199990000000001,27.263836618115,27.263836618115,32401.932087251833,15419.12765458149,4.199990000000001,-0.0
2,CC-discharge,0,0.0,5864.01182853885,3.657637715693864,-27.263836618115,-27.263836618115,32401.932087251833,15419.12765458149,3.657637715693864,0.0
2,CC-discharge,1,72.72727272727273,5936.739101266123,3.6443585815736546,-27.263836618115,-27.263836618115,32967.04710222202,14884.630011985846,3.6443585815736546,0.5507845781437374
2,CC-discharge,2,145.45454545454547,6009.466373993395,3.6346540451404765,-27.263836618115,-27.263836618115,33386.624534556366,14431.147880543645,3.6346540451404765,1.1015691562874748
2,CC-discharge,3,218.1818181818182,6082.193646720668,3.6251952353403407,-27.263836618115,-27.263836618115,33804.367918526215,13977.692473221392,3.6251952353403407,1.652353734431212
2,CC-discharge,4,290.90909090909093,6154.920919447941,3.6159371912405347,-27.263836618115,-27.263836618115,34222.063932864075,13524.237081702278,3.6159371912405347,2.2031383125749495
2,CC-discharge,5,363.6363636363637,6227.648192175214,3.6068695630915713,-27.263836618115,-27.263836618115,34639.75904770085,13070.781690152911,3.6068695630915713,2.753922890718687
2,CC-discharge,6,436.3636363636364,6300.375464902486,3.597981503357593,-27.263836618115,-27.263836618115,35057.454136737535,12617.326298603977,3.597981503357593,3.304707468862424
2,CC-discharge,7,509.0909090909091,6373.102737629759,3.5892601368264554,-27.263836618115,-27.263836618115,35475.149225068686,12163.87090705489,3.5892601368264554,3.8554920470061615
2,CC-discharge,8,581.8181818181819,6445.830010357032,3.5806898279671273,-27.263836618115,-27.263836618115,35892.844313381946,11710.415515505683,3.5806898279671273,4.406276625149899
2,CC-discharge,9,654.5454545454546,6518.557283084305,3.5722513142038226,-27.263836618115,-27.263836618115,36310.539401694834,11256.96012395644,3.5722513142038226,4.9570612032936365
2,CC-discharge,10,727.2727272727274,6591.284555811577,3.5639206673937336,-27.263836618115,-27.263836618115,36728.23449000705,10803.504732407186,3.5639206673937336,5.507845781437374
2,CC-discharge,11,800.0000000000001,6664.01182853885,3.555668074065001,-27.263836618115,-27.263836618115,37145.92957831994,10350.049340858042,3.555668074065001,6.0586303595811115
2,CC-discharge,12,872.7272727272727,6736.739101266123,3.5474562804057457,-27.263836618115,-27.263836618115,37563.62466663237,9896.59394930879,3.5474562804057457,6.609414937724848
2,CC-discharge,13,945.4545454545455,6809.466373993395,3.539238726878319,-27.263836618115,-27.263836618115,37981.31975494508,9443.13855775954,3.539238726878319,7.160199515868586
2,CC-discharge,14,1018.1818181818182,6882.193646720668,3.5309572437925367,-27.263836618115,-27.263836618115,38399.01484325776,8989.683166210349,3.5309572437925367,7.710984094012323
2,CC-discharge,15,1090.909090909091,6954.920919447941,3.522539151913271,-27.263836618115,-27.263836618115,38816.709931570585,8536.227774660985,3.522539151913271,8.26176867215606
2,CC-discharge,16,1163.6363636363637,7027.648192175214,3.513893842128918,-27.263836618115,-27.263836618115,39234.40501988368,8082.772383111859,3.513893842128918,8.812553250299798
2,CC-discharge,17,1236.3636363636365,7100.375464902487,3.5049083581231235,-27.263836618115,-27.263836618115,39652.100108196864,7629.316991562646,3.5049083581231235,9.363337828443536
2,CC-discharge,18,1309.0909090909092,7173.102737629759,3.4954421358809955,-27.263836618115,-27.263836618115,40069.79519650932,7175.861600013523,3.4954421358809955,9.914122406587273
2,CC-discharge,19,1381.818181818182,7245.830010357032,3.4853205248094983,-27.263836618115,-27.263836618115,40487.49028482164,6722.406208464416,3.4853205248094983,10.46490698473101
2,CC-discharge,20,1454.5454545454547,7318.557283084305,3.4743269216751513,-27.263836618115,-27.263836618115,40905.18537313475,6268.9508169153805,3.4743269216751513,11.015691562874748
2,CC-discharge,21,1527.2727272727275,7391.284555811577,3.4621932981311314,-27.263836618115,-27.263836618115,41322.880461447225,5815.495425366331,3.4621932981311314,11.566476141018486
2,CC-discharge,22,1600.0000000000002,7464.01182853885,3.4485890088892446,-27.263836618115,-27.263836618115,41740.57554975989,5362.040033817326,3.4485890088892446,12.117260719162223
2,CC-discharge,23,1672.727272727273,7536.739101266123,3.433107650390884,-27.263836618115,-27.263836618115,42158.27063807237,4908.5846422681925,3.433107650390884,12.66804529730596
2,CC-discharge,24,1745.4545454545455,7609.466373993395,3.415252236983447,-27.263836618115,-27.263836618115,42575.965726385686,4455.129250719225,3.415252236983447,13.218829875449696
2,CC-discharge,25,1818.1818181818182,7682.193646720668,3.39441911697398,-27.263836618115,-27.263836618115,42993.66081469873,4001.673859170159,3.39441911697398,13.769614453593434
2,CC-discharge,26,1890.909090909091,7754.920919447941,3.3698816535464475,-27.263836618115,-27.263836618115,43411.35590301125,3548.218467621039,3.3698816535464475,14.320399031737171
2,CC-discharge,27,1963.6363636363637,7827.648192175214,3.340775123883458,-27.263836618115,-27.263836618115,43829.05099132358,3094.7630760720763,3.340775123883458,14.871183609880909
2,CC-discharge,28,2036.3636363636365,7900.375464902487,3.306081624845299,-27.263836618115,-27.263836618115,44246.746079635486,2641.3076845230394,3.306081624845299,15.421968188024646
2,CC-discharge,29,2109.0909090909095,7973.102737629759,3.264593420155841,-27.263836618115,-27.263836618115,44664.44116794896,2187.8522929740443,3.264593420155841,15.972752766168385
2,CC-discharge,30,2181.818181818182,8045.830010357032,3.214706558996675,-27.263836618115,-27.263836618115,45082.13625626172,1734.3969014249774,3.214706558996675,16.52353734431212
2,CC-discharge,31,2254.545454545455,8118.557283084305,3.153030569219066,-27.263836618115,-27.263836618115,45499.83134457365,1280.9415098759553,3.153030569219066,17.07432192245586
2,CC-discharge,32,2327.2727272727275,8191.284555811577,3.0626136251790355,-27.263836618115,-27.263836618115,45917.5264328864,827.4861183269279,3.0626136251790355,17.625106500599596
