Cycle,Protocol,Stamps,Time (s),Global Time (s),Pack Voltage,Pack Current,String 1 Iapp,String 2 Iapp,"Cell 1,1 Cathode Concentration","Cell 1,1 Anode Concentration","Cell 1,1 Anode SEI Length","Cell 1,1 Voltage","Cell 1,1 Capacity by Area","Cell 1,2 Cathode Concentration","Cell 1,2 Anode Concentration","Cell 1,2 Anode SEI Length","Cell 1,2 Voltage","Cell 1,2 Capacity by Area","Cell 2,1 Cathode Concentration","Cell 2,1 Anode Concentration","Cell 2,1 Anode SEI Length","Cell 2,1 Voltage","Cell 2,1 Capacity by Area","Cell 2,2 Cathode Concentration","Cell 2,2 Anode Concentration","Cell 2,2 Anode SEI Length","Cell 2,2 Voltage","Cell 2,2 Capacity by Area"
1,CC-discharge,0,0.0,0.0,7.731069698700539,-54.52767323623,-27.286229006287176,-27.241444229942825,25777.5,22610.7,5e-09,3.8652816574886226,0.0,25777.5,22610.7,5e-09,3.866100420632735,0.0,25777.5,22610.7,5e-09,3.8657880412119168,0.0,25777.5,22610.7,5e-09,3.8649692780678033,0.0
1,CC-discharge,1,72.72727272727273,72.72727272727273,7.680221963565871,-54.52767323623,-27.305453536225745,-27.222219700004253,26330.08067914899,22072.33889335309,4.999999999997809e-09,3.8400176748265498,0.5514311367930599,26343.76233022481,22094.578277947454,5.0000000000018364e-09,3.840500677163901,0.550138019494415,26339.116342932437,22086.128054333076,4.9999999999993326e-09,3.8402042887393213,0.5514311367930599,26333.37247675272,22073.292919289685,4.999999999988991e-09,3.839721286401969,0.550138019494415
1,CC-discharge,2,145.45454545454547,145.45454545454547,7.646240626816995,-54.52767323623,-27.314131894015834,-27.213541342214164,26746.98305217852,21611.312577819583,4.999999999995575e-09,3.8231155042117178,1.1031441209369142,26770.57216021001,21652.98874176897,5.000000000003224e-09,3.8234155131385634,1.0999941916380354,26762.835801349414,21636.910106830317,4.99999999999707e-09,3.823125122605277,1.1031441209369142,26752.35114552997,21613.491803835732,4.999999999897012e-09,3.82282511367843,1.0999941916380354
1,CC-discharge,3,218.1818181818182,218.1818181818182,7.614785733138104,-54.52767323623,-27.320323331219434,-27.20734990501057,27162.11819390053,21150.189350390814,4.999999999978261e-09,3.8074616821496883,1.6550073050301997,27195.353533784408,21211.54725856363,5.0000000000140704e-09,3.807610901210561,1.6497001638322244,27184.759131125855,21187.59772965809,4.999999999931326e-09,3.807324050988416,1.6550073050301997,27169.338576273367,21153.844847202425,4.999999999847796e-09,3.8071748319275454,1.6497001638322244
1,CC-discharge,4,290.90909090909093,290.90909090909093,7.585187096285361,-54.52767323623,-27.325003312855493,-27.202669923374508,27577.303835683662,20688.97967922507,4.999999999972588e-09,3.792726224974318,2.206980301434997,27620.036269206896,20770.18835685119,5.000000000012633e-09,3.792745755508582,2.1992963237149024,27606.73378672815,20738.201122851442,4.999999999928117e-09,3.792460871311044,2.206980301434997,27586.229178690388,20694.28387780256,4.999999999798248e-09,3.79244134077678,2.1992963237149024
1,CC-discharge,5,363.6363636363637,363.6363636363637,7.5570967367488056,-54.52767323623,-27.328667304534537,-27.199005931695464,27992.543445302792,20227.705320136556,4.999999999961534e-09,3.7787379338020832,2.759037580398533,28044.660660781057,20328.891628450732,4.9999999999896546e-09,3.7786428016210833,2.7488082010388415,28028.763292635213,20288.741484987746,4.999999999922553e-09,3.7783588029467228,2.759037580398533,28003.0625077593,20234.787645802204,4.999999999842187e-09,3.7784539351277213,2.7488082010388415
1,CC-discharge,6,436.3636363636364,436.3636363636364,7.530239791232145,-54.52767323623,-27.331612587453183,-27.19606064877682,28407.82750742841,19766.37920880675,4.999999999968646e-09,3.7653612878513405,3.31116161971154,28469.239156725653,19887.64464454486,5.00000000000767e-09,3.765162355341776,3.298253318013309,28450.837977925046,19839.231420424338,4.999999999928193e-09,3.7648785033808037,3.31116161971154,28419.850783297483,19775.343209807357,4.999999999815141e-09,3.765077435890368,3.298253318013309
1,CC-discharge,7,509.0909090909091,509.0909090909091,7.504421288491723,-54.52767323623,-27.334028627453172,-27.19364460877683,28823.14816516767,19305.010793951515,4.999999999966607e-09,3.752500011415703,3.8633398138015034,28893.780034443105,19446.438323044444,5.000000000005757e-09,3.7522054968740584,3.8476442802108206,28872.94985723119,19389.680135864808,4.999999999928475e-09,3.7519212770760197,3.8633398138015034,28836.60213083278,19315.94111317488,4.999999999823982e-09,3.7522157916176653,3.8476442802108206
1,CC-discharge,8,581.8181818181819,581.8181818181819,7.479495741587721,-54.52767323623,-27.33604142085884,-27.19163181537116,29238.499349042773,18843.607230177513,4.999999999966295e-09,3.740082153428492,4.4155627435824325,29318.289545924563,19005.265786898774,5.000000000005668e-09,3.739698536717695,4.3969905067173665,29295.09276182895,18940.094602663397,4.9999999999281016e-09,3.7394135881592288,4.4155627435824325,29253.32268764378,18856.574195238092,4.999999999829784e-09,3.7397972048700248,4.3969905067173665
1,CC-discharge,9,654.5454545454546,654.5454545454546,7.455361022124395,-54.52767323623,-27.337734179313767,-27.189939056916238,29653.876541905858,18382.173803523416,4.999999999967352e-09,3.72805714210798,4.967823103180136,29742.77233365439,18564.12195513541,5.000000000005802e-09,3.727589814300236,4.946299303407138,29717.262100707365,18490.47997146656,4.999999999928377e-09,3.7273038800164144,4.967823103180136,29670.017011034073,18397.237165479863,4.999999999816195e-09,3.7277712078241576,4.946299303407138
