,,,Global Time,Time,Pack Voltage,String 1 Iapp,String 2 Iapp,"Cell 1,1 Cathode vConcentration","Cell 1,1 Anode vConcentration","Cell 1,1 Anode vSEI Length","Cell 1,1 Voltage","Cell 1,1 Capacity by Area","Cell 1,2 Cathode vConcentration","Cell 1,2 Anode vConcentration","Cell 1,2 Anode vSEI Length","Cell 1,2 Voltage","Cell 1,2 Capacity by Area","Cell 2,1 Cathode vConcentration","Cell 2,1 Anode vConcentration","Cell 2,1 Anode vSEI Length","Cell 2,1 Voltage","Cell 2,1 Capacity by Area","Cell 2,2 Cathode vConcentration","Cell 2,2 Anode vConcentration","Cell 2,2 Anode vSEI Length","Cell 2,2 Voltage","Cell 2,2 Capacity by Area"
1,CC-discharge,0,0.0,0.0,7.8714086702262,-13.631918309057502,-13.631918309057498,25777.5,22610.7,5e-09,3.9357043351131,0.0,25777.5,22610.7,5e-09,3.9357043351131,0.0,25777.5,22610.7,5e-09,3.9357043351131,0.0,25777.5,22610.7,5e-09,3.9357043351131,0.0
1,CC-discharge,1,72.72727272727273,72.72727272727273,7.845184544277138,-13.631918309057015,-13.631918309057987,26055.713458051952,22345.806056901372,5.000000000000215e-09,3.9225922721385698,0.2753922890718638,26055.713458051898,22345.80605690135,5.0000000000007876e-09,3.9225922721385706,0.2753922890718736,26055.713458051952,22345.806056901372,4.999999999999212e-09,3.922592272138568,0.2753922890718638,26055.713458051883,22345.80605690135,4.9999999999964896e-09,3.922592272138569,0.2753922890718736
1,CC-discharge,2,145.45454545454547,145.45454545454547,7.826811943288781,-13.631918309057657,-13.631918309057344,26265.512360206754,22119.064898134788,5.000000000000224e-09,3.9134059716443894,0.5507845781437293,26265.512360206656,22119.06489813476,5.00000000000079e-09,3.913405971644394,0.5507845781437457,26265.512360206707,22119.064898134813,4.999999999999197e-09,3.913405971644391,0.5507845781437293,26265.512360206754,22119.06489813473,4.9999999999960114e-09,3.913405971644387,0.5507845781437457
1,CC-discharge,3,218.1818181818182,218.1818181818182,7.809325215651618,-13.631918309057548,-13.631918309057452,26474.378852974594,21892.3370984318,4.999999999998294e-09,3.90466260782581,0.8261768672156,26474.378852974536,21892.337098431886,5.0000000000030375e-09,3.9046626078258133,0.8261768672156122,26474.378852974583,21892.337098431846,5.000000000001623e-09,3.9046626078258075,0.8261768672156,26474.378852974765,21892.337098431828,4.999999999999732e-09,3.9046626078258053,0.8261768672156122
1,CC-discharge,4,290.90909090909093,290.90909090909093,7.792546942523099,-13.631918309057804,-13.631918309057198,26683.227833039276,21665.60940115119,4.999999999994432e-09,3.896273471261551,1.1015691562874723,26683.227833039226,21665.609401151378,5.000000000000852e-09,3.896273471261555,1.1015691562874774,26683.22783303929,21665.60940115126,4.99999999999793e-09,3.8962734712615488,1.1015691562874723,26683.227833039444,21665.609401151338,4.999999999999316e-09,3.8962734712615457,1.1015691562874774
1,CC-discharge,5,363.6363636363637,363.6363636363637,7.776385027044521,-13.63191830905767,-13.63191830905733,26892.075486227906,21438.88170535475,4.999999999992496e-09,3.8881925135222617,1.376961445359346,26892.075486227848,21438.881705355012,5.00000000000138e-09,3.8881925135222635,1.3769614453593415,26892.07548622789,21438.88170535474,4.9999999999939815e-09,3.888192513522259,1.376961445359346,26892.075486228034,21438.88170535496,4.999999999997165e-09,3.8881925135222573,1.3769614453593415
1,CC-discharge,6,436.3636363636364,436.3636363636364,7.760766340288644,-13.631918309057333,-13.631918309057667,27100.923038678004,21212.15400957984,4.99999999999392e-09,3.8803831701443228,1.6523537344312145,27100.923038678033,21212.154009580256,5.0000000000021905e-09,3.8803831701443223,1.65235373443121,27100.923038678004,21212.15400957991,4.999999999994502e-09,3.8803831701443214,1.6523537344312145,27100.92303867812,21212.15400958013,4.999999999997333e-09,3.8803831701443223,1.65235373443121
1,CC-discharge,7,509.0909090909091,509.0909090909091,7.745629638280834,-13.631918309057355,-13.631918309057644,27309.770583466514,20985.42631380505,4.999999999992462e-09,3.8728148191404164,1.92774602350308,27309.770583466492,20985.426313805816,5.00000000000203e-09,3.87281481914042,1.9277460235030819,27309.770583466547,20985.426313805274,4.999999999992843e-09,3.8728148191404177,1.92774602350308,27309.770583466703,20985.42631380569,4.999999999996392e-09,3.872814819140414,1.9277460235030819
1,CC-discharge,8,581.8181818181819,581.8181818181819,7.730923284474672,-13.63191830905776,-13.631918309057243,27518.61812767127,20758.698618030507,4.999999999992448e-09,3.865461642237333,2.20313831257495,27518.618127671252,20758.6986180311,5.000000000000078e-09,3.8654616422373382,2.2031383125749495,27518.618127671198,20758.69861803057,4.999999999994366e-09,3.8654616422373396,2.20313831257495,27518.61812767145,20758.698618031114,4.9999999999975856e-09,3.865461642237335,2.2031383125749495
1,CC-discharge,9,654.5454545454546,654.5454545454546,7.716603518992141,-13.631918309057541,-13.63191830905746,27727.46567183147,20531.970922255896,4.999999999992808e-09,3.8583017594960665,2.478530601646822,27727.46567183143,20531.970922256747,5.000000000000713e-09,3.8583017594960736,2.478530601646815,27727.465671831338,20531.970922255958,4.99999999999551e-09,3.8583017594960745,2.478530601646822,27727.46567183158,20531.970922256525,4.99999999999608e-09,3.8583017594960682,2.478530601646815
1,CC-discharge,10,727.2727272727274,727.2727272727274,7.702633087344228,-13.631918309057598,-13.631918309057403,27936.31321598819,20305.243226481358,4.999999999993548e-09,3.8513165436721133,2.753922890718692,27936.31321598819,20305.243226482173,5.000000000001115e-09,3.851316543672116,2.7539228907186826,27936.313215988102,20305.243226481445,4.99999999999648e-09,3.851316543672115,2.753922890718692,27936.31321598829,20305.243226481874,4.999999999997264e-09,3.8513165436721115,2.7539228907186826
1,CC-discharge,11,800.0000000000001,800.0000000000001,7.68898014176492,-13.63191830905709,-13.631918309057909,28145.160760144772,20078.51553070678,4.999999999991542e-09,3.8444900708824563,3.0293151797905575,28145.1607601447,20078.515530707657,5.000000000000927e-09,3.8444900708824616,3.0293151797905544,28145.160760144663,20078.515530706933,4.999999999996733e-09,3.8444900708824634,3.0293151797905575,28145.160760144776,20078.515530707446,4.999999999998028e-09,3.8444900708824576,3.0293151797905544
1,CC-discharge,12,872.7272727272727,872.7272727272727,7.675617353840587,-13.631918309057308,-13.631918309057692,28354.008304301205,19851.787834932213,4.999999999992878e-09,3.837808676920293,3.3047074688624196,28354.008304301162,19851.7878349332,5.000000000000446e-09,3.8378086769202944,3.304707468862429,28354.008304301187,19851.787834932315,4.999999999997885e-09,3.837808676920294,3.3047074688624196,28354.008304301246,19851.787834932846,5.000000000000507e-09,3.8378086769202926,3.304707468862429
1,CC-discharge,13,945.4545454545455,945.4545454545455,7.66252119261239,-13.631918309057374,-13.631918309057625,28562.855848457635,19625.060139157715,4.999999999992902e-09,3.8312605963061963,3.5800997579342853,28562.855848457646,19625.060139158595,5.00000000000046e-09,3.831260596306195,3.580099757934301,28562.855848457704,19625.060139157784,4.99999999999701e-09,3.8312605963061936,3.5800997579342853,28562.855848457642,19625.060139158242,4.999999999999742e-09,3.831260596306194,3.580099757934301
1,CC-discharge,14,1018.1818181818182,1018.1818181818182,7.649671333314264,-13.631918309057278,-13.63191830905772,28771.703392614065,19398.33244338318,4.999999999992832e-09,3.824835666657135,3.8554920470061504,28771.70339261409,19398.33244338411,5.000000000000314e-09,3.8248356666571324,3.855492047006173,28771.703392614167,19398.332443383184,4.999999999997014e-09,3.824835666657129,3.8554920470061504,28771.70339261406,19398.332443383475,4.999999999995024e-09,3.8248356666571315,3.855492047006173
1,CC-discharge,15,1090.909090909091,1090.909090909091,7.6370501700154865,-13.631918309056957,-13.631918309058044,28980.550936770775,19171.604747608682,4.9999999999928566e-09,3.8185250850077406,4.130884336078012,28980.55093677057,19171.604747609552,5.000000000000296e-09,3.8185250850077423,4.13088433607805,28980.55093677073,19171.604747608562,4.9999999999970115e-09,3.8185250850077455,4.130884336078012,28980.55093677051,19171.604747609083,4.999999999997336e-09,3.818525085007743,4.13088433607805
1,CC-discharge,16,1163.6363636363637,1163.6363636363637,7.624642411480828,-13.631918309056887,-13.631918309058115,29189.398480927135,18944.877051834243,4.999999999993259e-09,3.8123212057404166,4.406276625149869,29189.39848092691,18944.87705183496,5.000000000000425e-09,3.812321205740415,4.40627662514993,29189.39848092733,18944.877051833944,4.999999999997077e-09,3.8123212057404112,4.406276625149869,29189.398480926942,18944.877051834635,5.000000000003568e-09,3.812321205740413,4.40627662514993
1,CC-discharge,17,1236.3636363636365,1236.3636363636365,7.612434744111058,-13.631918309057127,-13.631918309057873,29398.246025083696,18718.14935605964,4.9999999999934315e-09,3.8062173720555315,4.681668914221728,29398.246025083627,18718.149356060385,5.000000000000429e-09,3.806217372055528,4.681668914221809,29398.24602508371,18718.149356059246,4.999999999996283e-09,3.8062173720555266,4.681668914221728,29398.246025083423,18718.149356060017,5.0000000000018265e-09,3.8062173720555306,4.681668914221809
1,CC-discharge,18,1309.0909090909092,1309.0909090909092,7.60041745387808,-13.631918309057111,-13.63191830905789,29607.093569240245,18491.421660285123,4.9999999999932826e-09,3.800208726939039,4.957061203293589,29607.093569240114,18491.421660285774,5.000000000000514e-09,3.800208726939036,4.957061203293685,29607.09356924014,18491.421660284836,4.9999999999962885e-09,3.8002087269390405,4.957061203293589,29607.093569239823,18491.42166028555,5.000000000002118e-09,3.8002087269390437,4.957061203293685
1,CC-discharge,19,1381.818181818182,1381.818181818182,7.588576601422217,-13.631918309056841,-13.631918309058157,29815.94111339676,18264.693964510716,4.999999999993197e-09,3.79428830071111,5.232453492365447,29815.94111339647,18264.693964511353,5.000000000000301e-09,3.794288300711108,5.232453492365565,29815.941113396762,18264.69396451019,4.999999999996183e-09,3.7942883007111066,5.232453492365447,29815.9411133965,18264.693964510996,5.000000000001931e-09,3.7942883007111083,5.232453492365565
1,CC-discharge,20,1454.5454545454547,1454.5454545454547,7.576905160585106,-13.631918309056674,-13.631918309058324,30024.788657553476,18037.966268736178,4.9999999999931014e-09,3.7884525802925517,5.5078457814373,30024.78865755294,18037.966268736775,5.00000000000045e-09,3.7884525802925526,5.507845781437449,30024.788657553247,18037.96626873564,4.9999999999962166e-09,3.7884525802925544,5.5078457814373,30024.78865755286,18037.96626873627,5.000000000002278e-09,3.788452580292553,5.507845781437449
