,,Global Time,Time,Pack Voltage,Pack Current,String 1 Iapp,String 2 Iapp,String 3 Iapp,String 4 Iapp,"Cell 1,1 Cathode Concentration","Cell 1,1 Anode Concentration","Cell 1,1 Anode SEI Length","Cell 1,1 Voltage","Cell 1,1 Capacity by Area","Cell 1,2 Cathode Concentration","Cell 1,2 Anode Concentration","Cell 1,2 Anode SEI Length","Cell 1,2 Voltage","Cell 1,2 Capacity by Area","Cell 1,3 Cathode Concentration","Cell 1,3 Anode Concentration","Cell 1,3 Anode SEI Length","Cell 1,3 Voltage","Cell 1,3 Capacity by Area","Cell 1,4 Cathode Concentration","Cell 1,4 Anode Concentration","Cell 1,4 Anode SEI Length","Cell 1,4 Voltage","Cell 1,4 Capacity by Area","Cell 2,1 Cathode Concentration","Cell 2,1 Anode Concentration","Cell 2,1 Anode SEI Length","Cell 2,1 Voltage","Cell 2,1 Capacity by Area","Cell 2,2 Cathode Concentration","Cell 2,2 Anode Concentration","Cell 2,2 Anode SEI Length","Cell 2,2 Voltage","Cell 2,2 Capacity by Area","Cell 2,3 Cathode Concentration","Cell 2,3 Anode Concentration","Cell 2,3 Anode SEI Length","Cell 2,3 Voltage","Cell 2,3 Capacity by Area","Cell 2,4 Cathode Concentration","Cell 2,4 Anode Concentration","Cell 2,4 Anode SEI Length","Cell 2,4 Voltage","Cell 2,4 Capacity by Area"
CC-discharge,0,2322698.146802367,0.0,7.7299728837969655,-53.2,-13.576217580170972,-13.663190510494989,-12.35131766173187,-13.609274247602173,27399.163807365196,19286.767211037946,1.1657883993929259e-08,3.8661972021966937,0.0,27339.55762251198,18745.815885562686,1.146425236002608e-08,3.8634796032636114,0.0,28057.97010365442,22589.63065523838,1.25644685758393e-08,3.8647671574647497,0.0,27371.85909121721,19137.910398970384,1.1619046515366003e-08,3.8662421202010187,0.0,27415.14644809338,19212.486883682224,1.1606442848799711e-08,3.8637756816002717,0.0,27322.803730670174,18858.833309325517,1.1535338163823491e-08,3.8664932805333545,0.0,28055.656341822647,22587.93081726928,1.2573602382401745e-08,3.8652057263322157,0.0,27385.88264873076,19049.52099651109,1.1560021954747105e-08,3.8637307635959477,0.0
CC-discharge,1,2322727.0624650177,28.91566265060241,7.720051627723967,-53.2,-13.556066847978702,-13.627707728868748,-12.433684335640924,-13.582541087511634,27545.425996249418,19159.438940102747,1.1657883993930245e-08,3.8612585618464657,0.10896499770341234,27489.058969680507,18613.81529407736,1.1464252360028908e-08,3.8584933317751178,0.10960200096130016,28192.941596445715,22472.572047309633,1.2564468575859609e-08,3.8598039310140924,0.09953816063201926,27519.060215970905,19010.53860764526,1.1619046515267537e-08,3.8613023795408656,0.10920407765105947,27562.850154003216,19082.056783024418,1.1606442848798912e-08,3.8587930658775007,0.10896499770341234,27470.701597056173,18730.986437943262,1.1535338163776926e-08,3.86155829594885,0.10960200096130016,28190.49089272377,22471.638422264732,1.2573602382397401e-08,3.860247696709875,0.09953816063201926,27534.37851531484,18918.62930779071,1.1560021954803062e-08,3.858749248183102,0.10920407765105947
CC-discharge,2,2322755.9781276686,57.83132530120482,7.714133965658013,-53.2,-13.544703896325712,-13.60805825600218,-12.479623588494801,-13.567614259177311,27633.81890634914,19069.905613336145,1.1657883993930227e-08,3.858313064191652,0.21780343442752645,27579.315190504625,18521.08016240322,1.1464252360028554e-08,3.8555189033685378,0.21898258724592234,28275.145266128544,22389.70755612151,1.2564468575877939e-08,3.856843442111137,0.199591606110476,27607.980494748903,18921.009519915595,1.1619046515262195e-08,3.858356299763738,0.21824084611165764,27652.114238572507,18990.34234492972,1.1606442848799403e-08,3.8558209014663603,0.21780343442752645,27559.98977231884,18641.16944304653,1.1535338163778227e-08,3.8586150622894726,0.21898258724592234,28272.61115867703,22389.316324714462,1.2573602382388087e-08,3.8572905235468733,0.199591606110476,27624.08091314704,18826.626099225883,1.1560021954792127e-08,3.855777665894273,0.21824084611165764
CC-discharge,3,2322784.893790319,86.74698795180723,7.708602087673622,-53.2,-13.534485064921409,-13.590558714565606,-12.520697719348902,-13.554258501164087,27716.859306208353,18981.429772112446,1.1657883993930056e-08,3.8555596401533787,0.3265551973241012,27664.055719828368,18429.489673420216,1.146425236002851e-08,3.8527383151416656,0.32821398070201785,28352.721373990204,22307.48592234613,1.2564468575874246e-08,3.8540759071485318,0.2999945029291254,27691.4948677947,18832.558471877604,1.1619046515265274e-08,3.8556023577288814,0.3271640298881291,27735.973060138716,18899.711153664728,1.1606442848799206e-08,3.8530424475202434,0.3265551973241012,27643.82141478059,18552.461071871327,1.1535338163787724e-08,3.855863772531958,0.32821398070201785,28350.10855792686,22307.63287672231,1.2573602382392779e-08,3.8545261805250917,0.2999945029291254,27708.329856342294,18735.730721793105,1.1560021954795285e-08,3.852999729944741,0.3271640298881291
CC-discharge,4,2322813.8094529696,115.66265060240964,7.703196274575338,-53.2,-13.524863385475872,-13.574202629917934,-12.559204907981242,-13.541729076624955,27798.63181217519,18893.072036764235,1.1657883993930056e-08,3.8528689485949745,0.4352272794542108,27747.460639570523,18338.06646435153,1.1464252360028608e-08,3.850021115863353,0.43730940778829713,28429.408295461875,22225.06324213197,1.256446857587447e-08,3.851371416121045,0.40071700344049144,27773.71626352755,18744.24433718954,1.1619046515262951e-08,3.8529111692412292,0.43598325710816543,27818.551491822887,18809.20094543897,1.1606442848799246e-08,3.850327325980363,0.4352272794542108,27726.331772777703,18463.914716740055,1.1535338163787865e-08,3.853175158711984,0.43730940778829713,28426.717672953986,22225.749698249358,1.25736023823923e-08,3.8518248584542936,0.40071700344049144,27791.27444954129,18644.976041287293,1.156002195479101e-08,3.8502851053341085,0.43598325710816543
CC-discharge,5,2322842.72511562,144.57831325301206,7.697857869023023,-53.2,-13.51573923478767,-13.558796125394228,-12.595578499623805,-13.529886140194298,27880.05499170944,18804.785062959254,1.1657883993930058e-08,3.8502117753484746,0.5438240771259519,27830.465459648465,18246.76545601587,1.1464252360028618e-08,3.847337847276615,0.5462772742754946,28506.081358399053,22142.364003148545,1.2564468575874172e-08,3.8487006299688793,0.5017402299770579,27855.567647762426,18656.02147833423,1.161904651526302e-08,3.850253509213261,0.5447046033604516,27900.77715421752,18718.763222571117,1.1606442848799248e-08,3.847646093674549,0.5438240771259519,27808.446322390468,18375.48671699915,1.1535338163787815e-08,3.8505200217464095,0.5462772742754946,28503.312943507313,22143.591771235773,1.257360238239231e-08,3.849157239054147,0.5017402299770579,27873.84577671976,18554.31515900559,1.1560021954790417e-08,3.8476043598097647,0.5447046033604516
CC-discharge,6,2322871.640778271,173.49397590361446,7.692570318956191,-53.2,-13.507028062566558,-13.544173217493368,-12.630188051346567,-13.518610668593512,27961.382790785494,18716.554661492602,1.1657883993930134e-08,3.8475798799337793,0.6523492469948444,27913.338216134696,18155.56228798746,1.1464252360028674e-08,3.844680191219746,0.6551245407127941,28582.91745053417,22059.4389317104,1.2564468575874025e-08,3.8460552709156643,0.6030485293785454,27937.30818386216,18567.8716965546,1.1619046515264958e-08,3.847621134328651,0.6533331046005633,27982.906496111627,18628.383450193665,1.16064428487992e-08,3.8449904390224123,0.6523492469948444,27890.4302248638,18287.15347878111,1.153533816378694e-08,3.8478901277364446,0.6551245407127941,28580.07107784974,22061.20948996589,1.2573602382391995e-08,3.8465150480405264,0.6030485293785454,27956.305280771772,18463.729373272177,1.1560021954793993e-08,3.844949184627539,0.6533331046005633
CC-discharge,7,2322900.5564409215,202.40963855421688,7.687329997905811,-53.2,-13.498706786524503,-13.530282091924832,-12.663143364892496,-13.507867756658175,28042.648595718612,18628.37831148704,1.1657883993930147e-08,3.8449714591360937,0.7608060134570576,27996.11503284447,18064.452068801074,1.1464252360028651e-08,3.8420463220855043,0.7638572929594536,28659.935527777805,21976.2988717206,1.2564468575875137e-08,3.8434335256297434,0.7046281736204694,28018.972296542226,18479.791549186208,1.1619046515267744e-08,3.845012240658888,0.7618731785975581,28064.97323286605,18538.059046018487,1.1606442848799165e-08,3.8423585387697177,0.7608060134570576,27972.31921656466,18198.910264543203,1.1535338163787698e-08,3.845283675820308,0.7638572929594536,28657.011012658422,21978.613627361843,1.2573602382392635e-08,3.84389647227607,0.7046281736204694,28038.68768920486,18373.21514628555,1.1560021954790896e-08,3.8423177572469256,0.7618731785975581
CC-discharge,8,2322929.472103572,231.32530120481928,7.6821346997948705,-53.2,-13.490755891751158,-13.517078826947348,-12.69453740615841,-13.497627875143094,28123.863861697962,18540.253611470496,1.165788399393006e-08,3.8423854169161893,0.8691974298356746,28078.809460976565,17973.43020516395,1.146425236002866e-08,3.8394351279571386,0.8724812323926752,28737.13501995584,21892.9539972847,1.256446857587605e-08,3.840834291209178,0.806466249006216,28100.572276054783,18391.777782105746,1.1619046515269828e-08,3.842425731722503,0.870328984347764,28146.988932570217,18447.78755007225,1.1606442848799203e-08,3.839749282878681,0.8691974298356746,28054.126703348942,18110.752625531433,1.1535338163787289e-08,3.842699571837732,0.8724812323926752,28734.132178338743,21895.814290935643,1.2573602382392995e-08,3.8413004085856906,0.806466249006216,28121.0054003723,18282.769133993548,1.1560021954792587e-08,3.839708968072368,0.870328984347764
CC-discharge,9,2322958.3877662225,260.2409638554217,7.676982706817377,-53.2,-13.48315753792118,-13.504523742373722,-12.72445449421659,-13.487864225488511,28205.033425486436,18452.178273142603,1.1657883993930041e-08,3.8398209001277395,0.9775263994327522,28161.428161485506,17882.492365782888,1.1464252360028693e-08,3.8368457425355476,0.9810017246389445,28814.50982848802,21809.41393327517,1.2564468575876814e-08,3.83825670896312,0.9085505538269991,28182.113701144415,18303.82731184548,1.1619046515270837e-08,3.8398607540301466,0.978704454631425,28228.95847965564,18357.56661830882,1.160644284879924e-08,3.837161806689637,0.9775263994327522,28135.859274729064,18022.67636674927,1.1535338163788259e-08,3.840136964281828,0.9810017246389445,28811.4284824969,21812.821042558924,1.2573602382393311e-08,3.8387259978542554,0.9085505538269991,28203.26404208714,18192.38816771898,1.156002195479612e-08,3.837121952787229,0.978704454631425
CC-discharge,10,2322987.3034288734,289.1566265060241,7.671872509037396,-53.2,-13.47589499134386,-13.492580209676419,-12.752972889987253,-13.478551908992472,28286.160079989826,18364.150116126166,1.1657883993930038e-08,3.8372771588717196,1.085795686698877,28243.975592350707,17791.634462757953,1.1464252360028633e-08,3.834277404304493,1.0894238288640457,28892.05250901377,21725.687796627964,1.2564468575877228e-08,3.8357000241634505,1.0108695393057294,28263.600047428048,18215.937215179278,1.1619046515272581e-08,3.8373165573872456,1.0870033146092604,28310.88469455528,18267.39401723581,1.1606442848799238e-08,3.8345953501656758,1.085795686698877,28217.52134086946,17934.67752893047,1.153533816378791e-08,3.837595104732901,1.0894238288640457,28888.892488326645,21729.64293949304,1.2573602382393475e-08,3.8361724848739445,1.0108695393057294,28285.467120538015,18102.06924345186,1.1560021954797057e-08,3.8345559516501484,1.0870033146092604
CC-discharge,11,2323016.219091524,318.07228915662654,7.666802716980477,-53.2,-13.468952429831454,-13.48121416083358,-12.780165800096285,-13.469667609238682,28367.245944309667,18276.167062547698,1.1657883993930027e-08,3.8347535029847837,1.1940079253381353,28326.45541799605,17700.852635234525,1.146425236002863e-08,3.8317294126001684,1.197752320311877,28969.75550494398,21641.784228320823,1.2564468575878018e-08,3.833163542325337,1.1134122649687155,28345.034069829453,18128.10471948182,1.1619046515271959e-08,3.8347924513663254,1.195229095806976,28392.769717255196,18177.26761836017,1.1606442848799206e-08,3.832049213995693,1.1940079253381353,28299.116526891885,17846.75237271218,1.1535338163787145e-08,3.8350733043803094,1.197752320311877,28966.516646904256,21646.288566154315,1.2573602382393267e-08,3.83363917465514,1.1134122649687155,28367.617414879507,18011.809511946532,1.1560021954798609e-08,3.8320102656141515,1.195229095806976
CC-discharge,12,2323045.1347541744,346.9879518072289,7.661772031667514,-53.2,-13.462314855913132,-13.470393811537342,-12.806101904381356,-13.461189428168172,28448.292876318923,18188.227131819585,1.1657883993930005e-08,3.832249287139637,1.3021656252808844,28408.870939106193,17610.143234418952,1.1464252360028587e-08,3.829201112525755,1.3059917097591496,29047.6114992149,21557.711422372002,1.256446857587877e-08,3.8306466142189493,1.2161683601674207,28426.41822104185,18040.32719373935,1.16190465152711e-08,3.8322877904019004,1.3033851481660395,28474.615423939482,18087.18539284587,1.1606442848799215e-08,3.8295227445278766,1.3021656252808844,28380.64809807894,17758.897364119206,1.1535338163786672e-08,3.83257091914176,1.3059917097591496,29044.293648590992,21562.766062927174,1.2573602382392837e-08,3.8311254174485647,1.2161683601674207,28449.717399378373,17921.606269480795,1.1560021954795421e-08,3.8294842412656127,1.3033851481660395
