,,Global Time,Time,Pack Voltage,Pack Current,String 1 Iapp,String 2 Iapp,String 3 Iapp,String 4 Iapp,String 5 Iapp,"Cell 1,1 Cathode Concentration","Cell 1,1 Anode Concentration","Cell 1,1 Anode SEI Length","Cell 1,1 Voltage","Cell 1,1 Capacity by Area","Cell 1,2 Cathode Concentration","Cell 1,2 Anode Concentration","Cell 1,2 Anode SEI Length","Cell 1,2 Voltage","Cell 1,2 Capacity by Area","Cell 1,3 Cathode Concentration","Cell 1,3 Anode Concentration","Cell 1,3 Anode SEI Length","Cell 1,3 Voltage","Cell 1,3 Capacity by Area","Cell 1,4 Cathode Concentration","Cell 1,4 Anode Concentration","Cell 1,4 Anode SEI Length","Cell 1,4 Voltage","Cell 1,4 Capacity by Area","Cell 1,5 Cathode Concentration","Cell 1,5 Anode Concentration","Cell 1,5 Anode SEI Length","Cell 1,5 Voltage","Cell 1,5 Capacity by Area","Cell 2,1 Cathode Concentration","Cell 2,1 Anode Concentration","Cell 2,1 Anode SEI Length","Cell 2,1 Voltage","Cell 2,1 Capacity by Area","Cell 2,2 Cathode Concentration","Cell 2,2 Anode Concentration","Cell 2,2 Anode SEI Length","Cell 2,2 Voltage","Cell 2,2 Capacity by Area","Cell 2,3 Cathode Concentration","Cell 2,3 Anode Concentration","Cell 2,3 Anode SEI Length","Cell 2,3 Voltage","Cell 2,3 Capacity by Area","Cell 2,4 Cathode Concentration","Cell 2,4 Anode Concentration","Cell 2,4 Anode SEI Length","Cell 2,4 Voltage","Cell 2,4 Capacity by Area","Cell 2,5 Cathode Concentration","Cell 2,5 Anode Concentration","Cell 2,5 Anode SEI Length","Cell 2,5 Voltage","Cell 2,5 Capacity by Area"
CC-discharge,0,1457974.3747703761,0.0,7.728071797667404,-66.5,-13.13162681891406,-12.19252615472883,-13.979483140267702,-13.573218090848005,-13.623145795241408,26906.95415689821,21107.525028773616,9.568666101068437e-09,3.8904219971148004,0.0,27597.03826817218,23121.954799911044,1.0165615017376727e-08,3.880984015183874,0.0,27641.60765378738,18709.864508255698,8.915843400112253e-09,3.852818121482416,0.0,27681.338661460886,20180.124079416713,9.517670543427166e-09,3.859072418595114,0.0,27834.167885570077,19415.68558048002,9.043016845896668e-09,3.8517019095001555,0.0,28611.806814445583,20928.673578431943,9.489997228538582e-09,3.837649800552604,0.0,28750.324371015413,22940.364662580432,1.0072539489637142e-08,3.8470877824835314,0.0,26893.444279377545,18052.149330900036,8.67765025232351e-09,3.8752536761849883,0.0,27272.327821216513,19207.737262795643,9.11436793970501e-09,3.8689993790722905,0.0,27084.779695334615,19697.355222682352,9.153601471288704e-09,3.8763698881672495,0.0
CC-discharge,1,1458003.2904330269,28.91566265060241,7.718142343226949,-66.5,-13.145975109515984,-12.282871481622479,-13.917330828713725,-13.555156245748387,-13.598666334399427,27050.32169839848,20982.628093337156,9.568666101068574e-09,3.884957336001038,0.10553253786518091,27730.759605309562,23005.472020988378,1.016561501737265e-08,3.875764950491102,0.09829476962390084,27793.619710494826,18577.426063449624,8.915843400116493e-09,3.8481398963566003,0.11203539746578887,27829.268058968384,20051.248443098702,9.517670543425384e-09,3.8542452773534035,0.10894929452448351,27982.591097191216,19286.378858712866,9.043016845909851e-09,3.8469918952391886,0.10932454670538488,28755.174355945874,20803.776642995548,9.489997228538223e-09,3.8331850072259117,0.10553253786518091,28884.045708153026,22823.88188365762,1.0072539489649566e-08,3.842377392735849,0.09829476962390084,27045.45633608484,17919.7108860941,8.677650252223501e-09,3.87000244687035,0.11203539746578887,27420.257218724,19078.86162647766,9.11436793970378e-09,3.8638970658735463,0.10894929452448351,27233.20290695592,19568.0485009152,9.153601471322193e-09,3.8711504479877608,0.10932454670538488
CC-discharge,2,1458032.2060956773,57.83132530120482,7.712221440891998,-66.5,-13.153718488564103,-12.33341773920401,-13.883253914480626,-13.544771460241067,-13.584838397510191,27137.176493004426,20894.619568490372,9.568666101068819e-09,3.881713998946681,0.21115379729522143,27812.25875781711,22922.9654198674,1.0165615017371704e-08,3.8726585004843264,0.1971553689043285,27885.23082518466,18484.524155785904,8.915843400115952e-09,3.8453389923155266,0.2236843321774128,27918.679058569967,19960.617838603477,9.517670543423561e-09,3.8513621287215196,0.2177843455525536,28072.261586652236,19195.479225259387,9.043016845907008e-09,3.8441745565033307,0.21849524843996165,28842.029150551873,20715.768118148666,9.489997228538107e-09,3.8305074419453176,0.21115379729522143,28965.544860660295,22741.3752825366,1.0072539489643e-08,3.8395629404076725,0.1971553689043285,27137.06745077459,17826.808978430618,8.677650252244072e-09,3.8668824485764723,0.2236843321774128,27509.668218325594,18988.231021982483,9.11436793970195e-09,3.860859312170479,0.2177843455525536,27322.873396416697,19477.14886746178,9.15360147132544e-09,3.8680468843886677,0.21849524843996165
CC-discharge,3,1458061.121758328,86.74698795180723,7.7066871931472445,-66.5,-13.160522073873057,-12.378694478458163,-13.853077284245135,-13.535321909307575,-13.572384254116072,27218.88874461786,20807.537894608202,9.568666101068912e-09,3.878690973776665,0.31683347826886465,27889.203225695117,22841.066990993586,1.0165615017371979e-08,3.8697580157184697,0.29640079949734927,27971.15868276883,18392.8509309787,8.915843400115006e-09,3.8427147042214314,0.33507522052570904,28002.68172427185,19871.05196766058,9.517670543424132e-09,3.8486645308284375,0.3265397406109819,28156.487443433798,19105.667431487094,9.04301684591087e-09,3.8415363075670426,0.3275603996513121,28923.74140216594,20628.68644426597,9.489997228538024e-09,3.82799621937058,0.31683347826886465,29042.48932853832,22659.476853662898,1.0072539489642604e-08,3.8369291774287744,0.29640079949734927,27222.995308358928,17735.135753623286,8.677650252262137e-09,3.8639724889258145,0.33507522052570904,27593.67088402771,18898.665151039524,9.114367939702125e-09,3.858022662318808,0.3265397406109819,27407.09925319888,19387.337073689156,9.153601471325346e-09,3.8651508855802024,0.3275603996513121
CC-discharge,4,1458090.0374209785,115.66265060240964,7.7012795589212235,-66.5,-13.166819424632171,-12.421204951211992,-13.825001773085688,-13.526334505767407,-13.560639345302738,27299.451054883204,20720.469060352392,9.568666101068685e-09,3.875743970629073,0.4225657734435845,27965.29363868886,22758.938943530422,1.016561501737171e-08,3.8669263078520486,0.39599878917473946,28055.661468953014,18301.420404737517,8.91584340011534e-09,3.8401453624536503,0.44623216453105374,28085.4055923994,19781.601437877467,9.517670543423762e-09,3.8460263992252184,0.4352210916755401,28239.41418847192,19015.98934320491,9.043016845913638e-09,3.8389544596842486,0.43652836591403826,29004.303712430436,20541.617610010628,9.489997228537956e-09,3.8255355882921505,0.4225657734435845,29118.579741531987,22577.348806200684,1.0072539489641785e-08,3.8343532510691754,0.39599878917473946,27307.49809454303,17643.70522738243,8.677650252264743e-09,3.8611341964675727,0.44623216453105374,27676.394752155833,18809.214621256553,9.114367939701966e-09,3.855253159696005,0.4352210916755401,27490.025998237226,19297.658985407077,9.153601471326394e-09,3.8623250992369735,0.43652836591403826
CC-discharge,5,1458118.9530836293,144.57831325301206,7.695939766165136,-66.5,-13.172697351032902,-12.46141766638044,-13.798670495994978,-13.517730456484546,-13.54948403010713,27379.77265299689,20633.35635109843,9.568666101068683e-09,3.8728401047467327,0.5283469653137254,28041.40017543569,22676.502703446542,1.0165615017371689e-08,3.86413224162698,0.49592900049037175,28139.684692312167,18210.193984038855,8.915843400115355e-09,3.8376036578026937,0.5571706073787672,28167.779490613837,19692.218527786856,9.517670543423763e-09,3.843419318369995,0.5438317943351865,28321.972526406415,18926.398517547917,9.043016845913772e-09,3.8364014328971523,0.5454043634056441,29084.62531054396,20454.504900756456,9.489997228537958e-09,3.823099661418403,0.5283469653137254,29194.68627827892,22494.91256611668,1.0072539489641833e-08,3.831807524538157,0.49592900049037175,27391.52131790193,17552.478806683193,8.677650252264515e-09,3.8583361083624417,0.5571706073787672,27758.7686503697,18719.8317111659,9.114367939701969e-09,3.8525204477951416,0.5438317943351865,27572.58433617097,19208.0681597497,9.15360147132634e-09,3.8595383332679836,0.5454043634056441
CC-discharge,6,1458147.8687462797,173.49397590361446,7.690651178709954,-66.5,-13.178238461572331,-12.499732127554015,-13.773772530493162,-13.5094416897867,-13.538815190593782,27460.083313727,20546.207245083235,9.568666101068736e-09,3.8699698734930172,0.6341740167699712,28117.692848890834,22593.814538806106,1.01656150173715e-08,3.8613670414978953,0.5961745819921165,28223.515242901605,18119.131071404758,8.915843400115244e-09,3.835082108609715,0.6679033102963903,28250.059147904303,19602.890164390195,9.51767054342375e-09,3.8408353294563224,0.6523746543603721,28404.4225815406,18836.877845203126,9.043016845914748e-09,3.833869581675722,0.6541927136895835,29164.93597127505,20367.35579474097,9.489997228537991e-09,3.820681305216937,0.6341740167699712,29270.978951733923,22412.224401475847,1.007253948964165e-08,3.8292841372120594,0.5961745819921165,27475.351868491747,17461.415894049318,8.677650252269898e-09,3.85556907010024,0.6679033102963903,27841.048307659403,18630.503347769594,9.114367939701979e-09,3.8498158492536314,0.6523746543603721,27655.034391305508,19118.547487404598,9.153601471325873e-09,3.856781597034233,0.6541927136895835
CC-discharge,7,1458176.7844089305,202.40963855421688,7.685410116600467,-66.5,-13.183470726374996,-12.536264708901495,-13.750204092101363,-13.501454769237721,-13.528605703384418,27540.41172677652,20459.023791106338,9.568666101068773e-09,3.86713091471912,0.7400443347938561,28194.18956091741,22510.8862157693,1.0165615017371373e-08,3.858628685993264,0.6967207540260744,28307.1932498825,18028.222929727035,8.915843400115428e-09,3.832579269719749,0.7784413690216696,28332.27781453343,19513.61437762124,9.517670543423626e-09,3.838272757684494,0.7608521501797474,28486.798633260074,18747.424317908353,9.043016845914424e-09,3.831357372668154,0.7628972152718254,29245.264384324342,20280.172340764162,9.489997228538004e-09,3.8182792018813476,0.7400443347938561,29347.47566376095,22329.29607843834,1.0072539489641746e-08,3.826781430607204,0.6967207540260744,27559.029875472646,17370.507752371024,8.677650252271243e-09,3.852830846880718,0.7784413690216696,27923.266974289414,18541.22756100056,9.114367939701885e-09,3.8471373589159743,0.7608521501797474,27737.410443024546,19029.09396010982,9.153601471325791e-09,3.8540527439323133,0.7628972152718254
CC-discharge,8,1458205.700071581,231.32530120481928,7.680214327539791,-66.5,-13.18841773991044,-12.57111371434614,-13.72787716307655,-13.493758624327613,-13.518832758339247,27620.765351938906,20371.807857831496,9.568666101068744e-09,3.8643216737020727,0.8459555334536369,28270.888908423974,22427.72878899065,1.0165615017371616e-08,3.855915907212747,0.797553599099358,28390.735616714872,17937.46142428373,8.915843400115134e-09,3.8300943453394733,0.8887951090023037,28414.446619800212,19424.3892564262,9.517670543423995e-09,3.8357306144890764,0.8692666618004916,28569.112688695688,18658.035070185393,9.043016845916264e-09,3.8288639342309536,0.8715214661221212,29325.618009486345,20192.956407489284,9.489997228537996e-09,3.8158926538377185,0.8459555334536369,29424.175011266845,22246.13865165919,1.0072539489641527e-08,3.824298420327044,0.797553599099358,27642.572242304628,17279.74624692756,8.677650252292791e-09,3.8501199822003174,0.8887951090023037,28005.43577955643,18452.002439805055,9.114367939702277e-09,3.844483713050714,0.8692666618004916,27819.724498460095,18939.704712387276,9.153601471326296e-09,3.8513503933088375,0.8715214661221212
CC-discharge,9,1458234.6157342317,260.2409638554217,7.675062053167892,-66.5,-13.19310042508748,-12.604368275093304,-13.70671275687061,-13.486342986525734,-13.509475556422865,27701.145379917412,20284.561175589926,9.568666101068733e-09,3.8615408864974476,0.9519054056022229,28347.784044296306,22344.35272856798,1.0165615017371542e-08,3.853227699082483,0.8986599524706007,28474.15202111319,17846.83893426576,8.915843400115089e-09,3.8276267519644307,0.9989741849860272,28496.57004427913,19335.212954442235,9.517670543424035e-09,3.8332081444496633,0.9776204835308263,28651.370023085638,18568.707370236574,9.043016845915936e-09,3.8263886153412128,0.9800688890729731,29405.9980374656,20105.709725247387,9.489997228538026e-09,3.813521166670444,0.9519054056022229,29501.070147139188,22162.762591236424,1.0072539489641397e-08,3.8218343540854085,0.8986599524706007,27725.98864670291,17189.12375690933,8.677650252292877e-09,3.8474353012034594,0.9989741849860272,28087.55920403486,18362.826137821176,9.114367939702302e-09,3.8418539087182277,0.9776204835308263,27901.981832850175,18850.37701243868,9.153601471325884e-09,3.8486734378266783,0.9800688890729731
