,,Global Time,Time,Pack Voltage,Pack Current,String 1 Iapp,String 2 Iapp,String 3 Iapp,String 4 Iapp,String 5 Iapp,"Cell 1,1 Cathode Concentration","Cell 1,1 Anode Concentration","Cell 1,1 Anode SEI Length","Cell 1,1 Voltage","Cell 1,1 Capacity by Area","Cell 1,2 Cathode Concentration","Cell 1,2 Anode Concentration","Cell 1,2 Anode SEI Length","Cell 1,2 Voltage","Cell 1,2 Capacity by Area","Cell 1,3 Cathode Concentration","Cell 1,3 Anode Concentration","Cell 1,3 Anode SEI Length","Cell 1,3 Voltage","Cell 1,3 Capacity by Area","Cell 1,4 Cathode Concentration","Cell 1,4 Anode Concentration","Cell 1,4 Anode SEI Length","Cell 1,4 Voltage","Cell 1,4 Capacity by Area","Cell 1,5 Cathode Concentration","Cell 1,5 Anode Concentration","Cell 1,5 Anode SEI Length","Cell 1,5 Voltage","Cell 1,5 Capacity by Area","Cell 2,1 Cathode Concentration","Cell 2,1 Anode Concentration","Cell 2,1 Anode SEI Length","Cell 2,1 Voltage","Cell 2,1 Capacity by Area","Cell 2,2 Cathode Concentration","Cell 2,2 Anode Concentration","Cell 2,2 Anode SEI Length","Cell 2,2 Voltage","Cell 2,2 Capacity by Area","Cell 2,3 Cathode Concentration","Cell 2,3 Anode Concentration","Cell 2,3 Anode SEI Length","Cell 2,3 Voltage","Cell 2,3 Capacity by Area","Cell 2,4 Cathode Concentration","Cell 2,4 Anode Concentration","Cell 2,4 Anode SEI Length","Cell 2,4 Voltage","Cell 2,4 Capacity by Area","Cell 2,5 Cathode Concentration","Cell 2,5 Anode Concentration","Cell 2,5 Anode SEI Length","Cell 2,5 Voltage","Cell 2,5 Capacity by Area"
CC-discharge,0,4590641.22681759,0.0,7.724375521679429,-66.5,-9.514861691346196,-14.068871775407874,-14.233181760115526,-14.156831415192515,-14.526253357937897,29383.561692110747,27034.551214515337,2.27476453998422e-08,3.861918410527683,0.0,27203.84989544828,17719.89067306965,1.7826843419215896e-08,3.8622005201248166,0.0,27098.483522029244,16990.807884641396,1.7364235003498274e-08,3.862259290452913,0.0,27276.83321569792,18106.18717947957,1.795943741511222e-08,3.8617357966602373,0.0,26953.063468098524,16064.510652241659,1.677405888277757e-08,3.863665263069434,0.0,29376.07660282793,27010.708403432378,2.27429865877062e-08,3.8624571111517456,0.0,27186.66912360072,17637.16269461687,1.77426532907609e-08,3.862175001554613,0.0,27079.09713120691,16870.742142741867,1.725233245135148e-08,3.8621162312265156,0.0,27274.218991501923,18152.644090980935,1.801045134567154e-08,3.8626397250191915,0.0,26960.629762430053,15850.758152486545,1.659291375283527e-08,3.860710258609995,0.0
CC-discharge,1,4590670.142480241,28.91566265060241,7.714008510654778,-66.5,-9.758049124391013,-14.020136597329264,-14.163341901964783,-14.13228280645219,-14.42618956986274,29489.092632047857,26943.18500227641,2.2747645399842027e-08,3.8567344521399662,0.07740124825597272,27359.695612045918,17587.45005289756,1.7826843419217395e-08,3.8569968300484194,0.11280726254111301,27256.257081881497,16856.984955825938,1.7364235003511095e-08,3.857049919724738,0.11404226370313379,27428.392390136214,17971.703868327317,1.795943741510226e-08,3.8565467637945168,0.11361090048853295,27111.660942850758,15929.697853747144,1.677405888278673e-08,3.8585009997401847,0.11627487119598648,29481.38849257356,26919.78230557851,2.274298658770719e-08,3.8572740585148115,0.07740124825597272,27340.637636240706,17502.203455769562,1.7742653290753735e-08,3.857011680606356,0.11280726254111301,27234.555249765217,16733.758836325644,1.725233245136434e-08,3.856958590930038,0.11404226370313379,27425.51390869438,18019.737618702642,1.8010451345662117e-08,3.857461746860261,0.11361090048853295,27120.248020134048,15711.15659895632,1.659291375282503e-08,3.8555075109145913,0.11627487119598648
CC-discharge,2,4590699.058142891,57.83132530120482,7.707872798872215,-66.5,-9.899511511063553,-13.9910870026437,-14.123134681713966,-14.116122616886907,-14.370144187691865,29554.50522248619,26877.51470001933,2.2747645399842692e-08,3.853666462995878,0.15634727490438463,27453.639212077473,17494.523225606157,1.7826843419217028e-08,3.8539177161184255,0.22530213643658675,27351.23555125641,16763.196709202028,1.7364235003511224e-08,3.85396766013464,0.22764257126810872,27519.899585753694,17877.212237810312,1.7959437415103636e-08,3.8534754473334036,0.22705831182724417,27206.96055746572,15835.365279574888,1.6774058882784488e-08,3.8554448824808496,0.23192279793315357,29546.66530633402,26854.428339568327,2.274298658770935e-08,3.854206335876337,0.15634727490438463,27433.449660110487,17407.50944223045,1.7742653290758708e-08,3.85395508275379,0.22530213643658675,27328.139841292417,16637.755675737055,1.7252332451389202e-08,3.853905138737575,0.22764257126810872,27516.861553168754,17926.353918047294,1.8010451345663963e-08,3.8543973515388137,0.22705831182724417,27216.1610128753,15613.473188701268,1.6592913752822608e-08,3.852427916391366,0.23192279793315357
CC-discharge,3,4590727.973805542,86.74698795180723,7.70215889318469,-66.5,-10.029177827035786,-13.96411406638139,-14.086485346332251,-14.10040166970216,-14.319821090548402,29616.930420428205,26811.69402505389,2.274764539984235e-08,3.8508093915486254,0.23638217184454263,27541.802383774022,17402.783006648104,1.7826843419217015e-08,3.851050562113739,0.3375720202479325,27440.30362707409,16670.66864776874,1.7364235003511585e-08,3.8510976747153176,0.3409342179670895,27605.854306149206,17783.850261583582,1.795943741510473e-08,3.8506152096641904,0.34037768647218014,27296.239459844033,15742.385741172582,1.6774058882800803e-08,3.8525989487846353,0.3471435420224719,29608.960928517485,26788.924725200515,2.2742986587708863e-08,3.8513495016360646,0.23638217184454263,27520.55088247366,17314.02460271379,1.7742653290757136e-08,3.8511083310709506,0.3375720202479325,27415.900778570147,16543.042461016987,1.7252332451370243e-08,3.8510612184693733,0.3409342179670895,27602.666403668427,17834.086626300006,1.8010451345665105e-08,3.8515436835204993,0.34037768647218014,27306.014542192643,15517.190876098519,1.6592913752833252e-08,3.849559944400054,0.3471435420224719
CC-discharge,4,4590756.889468193,115.66265060240964,7.696593067299403,-66.5,-10.153189434504203,-13.938060575869578,-14.05158362662737,-14.084710176175639,-14.272456186823204,29679.227368638934,26745.10087799435,2.2747645399842355e-08,3.848026321750618,0.31743585562582777,27628.516433371107,17311.270227912122,1.7826843419217015e-08,3.848257862338815,0.4496289465220328,27527.853437571055,16578.426456950212,1.7364235003511684e-08,3.8483022799385544,0.4539385110311844,27690.460845532685,17690.6496313219,1.7959437415104655e-08,3.847829080509713,0.45357090673674966,27383.92282494305,15649.770425766646,1.6774058882800926e-08,3.849826756065688,0.46197196482316105,29671.12856717723,26722.65235976596,2.2742986587708863e-08,3.8485667455487853,0.31743585562582777,27606.220437806955,17220.77152864213,1.7742653290757186e-08,3.848335204960588,0.4496289465220328,27502.165732170502,16448.62186806483,1.7252332451370038e-08,3.848290787360849,0.4539385110311844,27687.125423832418,17741.97878870994,1.801045134566503e-08,3.8487639867896903,0.45357090673674966,27394.262264854213,15421.285724245507,1.6592913752833414e-08,3.8467663112337163,0.46197196482316105
CC-discharge,5,4590785.805130843,144.57831325301206,7.691112844417939,-66.5,-10.272599934303488,-13.91274827814613,-14.018108989163977,-14.069026700424727,-14.227516097961667,29742.149342810102,26677.597037848256,2.274764539984243e-08,3.8452860020480037,0.39946713823148117,27714.744646909632,17219.95220201729,1.782684341921702e-08,3.8455082222848347,0.5614795844899674,27614.8564449889,16486.44135818741,1.7364235003511664e-08,3.8455500381097667,0.56666820025123,27774.66109850494,17597.571143412162,1.795943741510471e-08,3.845085799424176,0.5666381231086387,27470.98233431824,15557.4958541445,1.6774058882800807e-08,3.84709715847849,0.5764296848423774,29733.91993443318,26655.47368808615,2.274298658770881e-08,3.8458268423699353,0.39946713823148117,27691.410009108156,17127.716911019645,1.7742653290757245e-08,3.8456046221331057,0.5614795844899674,27587.891907422847,16354.464438682953,1.7252332451371448e-08,3.8455628063081724,0.56666820025123,27771.17886598277,17649.99166133246,1.8010451345665085e-08,3.846027044993765,0.5666381231086387,27481.88211646074,15325.733419912143,1.65929137528333e-08,3.84401568593945,0.5764296848423774
CC-discharge,6,4590814.720793494,173.49397590361446,7.68569787324403,-66.5,-10.388525020725933,-13.88799353188699,-13.985717042496981,-14.053346851682699,-14.184417553207398,29805.6196328425,26609.4587920855,2.2747645399842434e-08,3.842578251950344,0.4824435436733664,27800.801752843,17128.76981014784,1.7826843419217018e-08,3.8427914092807365,0.6731291499921084,27701.64966991835,16394.633457871223,1.7364235003510787e-08,3.8428306969562414,0.6791333650370169,27858.739483987054,17504.579493242996,1.795943741510536e-08,3.842375182833967,0.67957938235405,27557.781747592166,15465.454052662992,1.6774058882801124e-08,3.8444000230439435,0.6905338360518918,29797.258479413253,26587.663666744826,2.27429865877086e-08,3.843119621293686,0.4824435436733664,27776.430533841787,17034.800506769818,1.7742653290757837e-08,3.8429064639632933,0.6731291499921084,27673.411378897246,16260.488392487072,1.725233245136915e-08,3.842867176287789,0.6791333650370169,27855.11065313042,17558.090353509353,1.8010451345665734e-08,3.843322690410065,0.67957938235405,27569.2401979067,15230.422154067488,1.659291375283261e-08,3.841297850200087,0.6905338360518918
CC-discharge,7,4590843.636456144,202.40963855421688,7.680344330996769,-66.5,-10.500749328307988,-13.863857926749802,-13.954461254226398,-14.037733790865511,-14.143197699850303,29869.75012627495,26540.583203092625,2.2747645399842712e-08,3.839901161334349,0.5663362117417757,27886.692695055248,17037.74603953515,1.7826843419217015e-08,3.840105498308873,0.7845823687014931,27788.233539052333,16303.030968250228,1.7364235003510897e-08,3.8401423270868187,0.7913429164294804,27942.706809680734,17411.691223369387,1.7959437415105442e-08,3.839695317817445,0.7923949672638823,27644.31542803363,15373.680058664357,1.6774058882800105e-08,3.841733448169291,0.8042993591565413,29861.2558574118,26519.119853982163,2.2742986587708546e-08,3.840443169662421,0.5663362117417757,27861.286896341924,16942.04574027224,1.7742653290757817e-08,3.8402388326878967,0.7845823687014931,27758.724567024055,16166.72260798893,1.7252332451366557e-08,3.840202003909951,0.7913429164294804,27938.931574132286,17466.291213830562,1.8010451345665737e-08,3.8406490131793247,0.7923949672638823,27656.33083618068,15135.388208633842,1.6592913752832203e-08,3.8386108828274783,0.8042993591565413
CC-discharge,8,4590872.552118795,231.32530120481928,7.675049162240848,-66.5,-10.609069285400967,-13.840401947725715,-13.924390573358782,-14.022253641581766,-14.103884551932763,29934.633571123642,26470.879957048317,2.274764539984269e-08,3.83725320348836,0.651114599748639,27972.412473387558,16946.901543726326,1.7826843419217015e-08,3.83744895060879,0.8958444565507924,27874.59960161479,16211.65831015338,1.736423500351089e-08,3.8374833860497497,0.903306176781228,28026.562885754374,17318.922150344923,1.795943741510547e-08,3.8370446754351004,0.9050856798439918,27730.570435324644,15282.203122670579,1.6774058882800036e-08,3.839095914900166,0.9177414565532603,29926.004623928227,26449.752371022216,2.274298658770842e-08,3.8377959587524875,0.651114599748639,27945.97415667679,16849.473657840997,1.774265329075783e-08,3.837600211632057,0.8958444565507924,27843.82314504901,16073.192082742346,1.7252332451364867e-08,3.8375657761910977,0.903306176781228,28022.64143948798,17374.609873398498,1.801045134566577e-08,3.8380044868057475,0.9050856798439918,27743.14100767583,15040.661873156085,1.6592913752832233e-08,3.8359532473406817,0.9177414565532603
CC-discharge,9,4590901.467781446,260.2409638554217,7.669808830831711,-66.5,-10.713910979458369,-13.817561976188335,-13.895369724737645,-14.006921132975709,-14.066236186639943,30000.14229178231,26400.491209970634,2.2747645399842663e-08,3.8346326108675663,0.7367490586436564,28057.992162583105,16856.206558531157,1.782684341921701e-08,3.834819984564783,1.0069206168877964,27960.78848354501,16120.475375957565,1.7364235003510877e-08,3.8348520862883406,1.0150321217535028,28110.327057932813,17226.254446115334,1.795943741510545e-08,3.8344214856908514,1.017652646810086,27816.599984101216,15190.96923868155,1.6774058882800072e-08,3.8364856699781233,1.0308744715676086,29991.377368370875,26379.702689113743,2.2742986587708403e-08,3.835176219964145,0.7367490586436564,28030.523015287145,16757.053929261125,1.774265329075788e-08,3.8349888462669277,1.0069206168877964,27928.74714269505,15979.855761939005,1.7252332451365962e-08,3.8349567445433705,1.0150321217535028,28106.25956119065,17283.028713195057,1.8010451345665757e-08,3.8353873451408584,1.017652646810086,27829.724269535705,14946.187223258406,1.659291375283213e-08,3.833323160853588,1.0308744715676086
