Cycle,Pack Capacity,"Cell 1,1","Cell 1,2","Cell 1,3","Cell 1,4","Cell 1,5"
1,131.14800356300267,26.13106051235655,25.883422456994193,26.321596954110483,26.154449113852813,26.657474525688624
2,88.7464125676442,17.657231347579938,17.437874113578193,17.78619504752629,17.692724439361598,18.17238761959818
3,88.70171023320131,17.65852972884925,17.422775105662907,17.76778796129725,17.665202608274768,18.18741482911714
4,88.65691313224958,17.659954618791783,17.407519374165716,17.749171019437654,17.637359605743736,18.202908514110693
5,88.61210288924948,17.661522405803275,17.39211688566862,17.730354402968135,17.609208602251446,18.218900592558022
6,88.56727208245832,17.663231573959596,17.376563488719317,17.711333324673607,17.580745707561825,18.235397987543962
7,88.52238508510409,17.66507422849918,17.36084941550522,17.69209718444509,17.55196324653815,18.25240101011646
8,88.47748953058525,17.66706012134466,17.344977284399498,17.67264970697572,17.522866669852426,18.26993574801294
9,88.43253398224192,17.6691769250635,17.328934226146256,17.652977129293927,17.49344496819357,18.28800073354467
10,88.38755660921716,17.671433461889322,17.312720615676476,17.633080722967602,17.463701011551404,18.306620797132354
11,88.34254871654109,17.67382146438976,17.296336085226898,17.612960815264945,17.43364158345619,18.325788768203292
12,88.2974724237874,17.676346462470814,17.27975894884197,17.592590944978348,17.403233195509994,18.345542871986265
13,88.25239230044716,17.67900637262787,17.263001578566595,17.571988176424473,17.372504395675453,18.365891777152765
14,88.20723097504026,17.681786215206078,17.246045752072515,17.55113514049989,17.341441160577084,18.386822706684686
15,88.16204634807437,17.68469901071433,17.22889794719168,17.53003509581762,17.31004537346477,18.408368920885955
16,88.11654060771265,17.687669672825944,17.211504473705297,17.50863993484017,17.27828180120134,18.430444725139903
17,88.07145278542711,17.69087901123335,17.193971168695313,17.48704532753139,17.24622733139246,18.453329946574595
18,88.02587664927387,17.694094700424607,17.176151971546687,17.465120476507224,17.21378967025735,18.476719830538
19,87.98057132394229,17.697514397065266,17.15815960715858,17.44296314877227,17.18103406813847,18.500900102807712
20,87.93514919913837,17.701029942152964,17.13992995449859,17.420518490380474,17.147928119643318,18.525742692463023
21,87.88948879747,17.70460866878997,17.121437500597,17.397761383621106,17.114455045233417,18.551226199228502
22,87.84409282522725,17.708372686405518,17.102751615782996,17.374757699110983,17.080667023136144,18.577543800791595
23,87.79834247970246,17.712161079302124,17.08377067602991,17.351412122984854,17.046496523234346,18.604502078151224
24,87.75255664107434,17.716055747771463,17.06454213439771,17.32776819385915,17.01197421284853,18.63221635219747
25,87.70702181141223,17.720119769856257,17.045094514066186,17.30385285289485,16.977128505260136,18.66082616933479
26,87.66093244865978,17.724151731728295,17.025297374800463,17.279544680529852,16.941869418525616,18.690069243075552
27,87.61496651017713,17.728302049744528,17.005255714362164,17.25494551810936,16.90627983925443,18.720183388706648
28,87.56923175870206,17.732596287679772,16.984972075794268,17.23005514362446,16.870361963064507,18.751246288539054
29,87.52282639998174,17.73681420887315,16.964307604170912,17.204744785018807,16.834017387463444,18.78294241445542
30,87.47662643239666,17.741156727282338,16.943381349153206,17.179126343788607,16.797338126516415,18.81562388565608
31,87.4305860144785,17.745606090379567,16.92218387782675,17.153190617538336,16.76031980668046,18.849285622053376
32,87.3839039046422,17.749956849903434,16.900579200805073,17.126813623455327,16.72287469702034,18.88367953345802
33,87.3376889076374,17.754473131832448,16.878727126692272,17.10014358796002,16.68511626717474,18.919228793977926
34,87.29106347915891,17.758928407289623,16.85649128005718,17.073055609340923,16.64695875999826,18.955629422472924
35,87.24433208074447,17.763384826221294,16.83390969959764,17.045586023506026,16.608433724356253,18.99301780706325
36,87.19750169312194,17.767838432298543,16.810970731143666,17.017723736240843,16.569531290113716,19.031437503325165
37,87.15051490544138,17.772260349750493,16.787662786697787,16.989459320828516,16.53024964603276,19.070882802131834
38,87.10340545947105,17.776644508109115,16.763967931480725,16.96077952694605,16.49059218808341,19.111421304851753
39,87.05616906903643,17.780979412847937,16.739885326284003,16.931682233556145,16.45055590859634,19.153066187751996
40,87.00878741786377,17.785241484120824,16.715403833909022,16.9021604840026,16.410143454734428,19.195838161096905
41,86.96123378219244,17.78940968845124,16.69050674162051,16.872200242104253,16.36934759459182,19.239769515424605
42,86.91353156644006,17.793471896903025,16.66518868382363,16.84179767620253,16.32817063936493,19.284902670145936
43,86.8656675038886,17.79740866619465,16.639439414119753,16.810944799576824,16.286611681512827,19.331262942484535
44,86.81763114698927,17.801197273891752,16.613244474310452,16.779630816501964,16.24466846378584,19.378890118499257
45,86.76941029765341,17.804814282557004,16.58659346501979,16.747847617138973,16.202339350067533,19.427815582870107
46,86.72097932824049,17.808221161061347,16.55947095855633,16.715583555195725,16.159622777936725,19.47808087549036
47,86.67227495131854,17.81140133349968,16.53185503005255,16.682818735410816,16.116506040675297,19.529693811680197
48,86.62347608432307,17.814353233548026,16.503766779886526,16.64957653900132,16.073014931119253,19.58276460076795
49,86.5743599487711,17.817009206774117,16.47515645817712,16.615812738171492,16.02912067165208,19.63726087399629
50,86.52508963682004,17.81937348287048,16.446036849241228,16.581541978655846,15.984841207436972,19.693296118615525
51,86.47546957679853,17.821370256382455,16.416372559668833,16.546734002213768,15.940155119441238,19.750837639092246
52,86.42569851697057,17.823015751002625,16.38617094088818,16.51139791850729,15.895084355295825,19.810029551276656
53,86.37549276553793,17.824199539644148,16.35538773243156,16.475495979748263,15.849600249453829,19.870809264260124
54,86.32510659929694,17.824956436307847,16.324039316121805,16.439046619737038,15.803725153979215,19.933339073151032
55,86.27430986213142,17.825198223036146,16.29208165700388,16.402012637761278,15.757435715152916,19.997581629177198
56,86.22319021305903,17.82488619337147,16.259519585973596,16.364399492359066,15.710739186250965,20.063645755103934
57,86.1717722769547,17.82398794235639,16.22634925896672,16.32620882415721,15.663642892328507,20.131583359145857
58,86.11984127471996,17.82241470519172,16.19252726149894,16.287403560055573,15.616127216476535,20.201368531497188
59,86.06751031724495,17.820138206533265,16.158051427178624,16.24798492212802,15.568195275240758,20.27314048616428
60,86.0148059471157,17.81712575758113,16.122907141477267,16.207941688250234,15.51984774051575,20.346983619291322
61,85.9615434186167,17.81326926043334,16.08705896851598,16.167246381733012,15.47106947681637,20.422899331118007
62,85.90768767577843,17.808522230654464,16.05049628247158,16.125892314764222,15.421861073669275,20.500915774218893
63,85.85324718248425,17.802810922825476,16.013211276739167,16.083875248148516,15.372218722092436,20.581131012678657
64,85.79813401515216,17.796062497055413,15.975175451071173,16.04117305329663,15.322140317530852,20.663582696198095
65,85.7422649146513,17.78820498479732,15.936362814088179,15.99776674181196,15.271613306528213,20.748317067425628
66,85.68553896621155,17.77915935958623,15.896768406419868,15.953652795067077,15.22063800466797,20.835320400470412
67,85.62783681655058,17.768839230252027,15.85636623363582,15.908811767707038,15.16920505476375,20.924614530191956
68,85.56900404931496,17.757139282282083,15.815124649368334,15.863223813211379,15.117311912586045,21.01620439186712
69,85.50876930536091,17.743976443101115,15.773031450212669,15.816877392958464,15.06494817952653,21.109935839562144
70,85.44685719049164,17.72926130424488,15.730067235293182,15.769759911104615,15.012110284606772,21.205658455242187
71,85.38276976880566,17.71288301952665,15.68620482579072,15.72184921508093,14.958783965832621,21.303048742574745
72,85.31578718965726,17.69471982501007,15.641415427501858,15.673123175511167,14.904955872481901,21.401572889152266
73,85.24434022685432,17.674638253890226,15.595661021094564,15.623550475727269,14.850607004272366,21.4998834718699
74,85.16706464449113,17.65257891464628,15.548935460810904,15.57312782949011,14.795732006691154,21.596690432852682
75,85.07970678153883,17.628264376358647,15.50111197488721,15.521740144743992,14.740243848625953,21.688346436923027
76,84.97574035341941,17.601408542869752,15.452046093561766,15.469252997215163,14.684025118812988,21.769007600959736
77,84.84533465488616,17.571625454188023,15.401508938320454,15.415447201840344,14.626879424939279,21.82987363559807
78,84.68185458675569,17.538967028271024,15.349457353425253,15.36026701655733,14.568721524142829,21.86444166435925
79,84.49022125235408,17.504537936882265,15.296375751459896,15.304137413615107,14.509835997198088,21.87533415319872
80,84.28212817715317,17.46983447319074,15.242975567674122,15.247697376280126,14.450690767841866,21.870929992166303
81,84.06651075345124,17.435874702543703,15.189756165812097,15.191397166465435,14.391621195775524,21.857861522854485
82,83.84825626185389,17.403190580588998,15.136971189660885,15.135467061708246,14.332802049519408,21.839825380376357
83,83.62977145853296,17.372038743266035,15.084724173375124,15.079995546487492,14.274287304012438,21.81872569139186
84,83.41226010552418,17.342489317702302,15.033064211573368,15.02503131342276,14.216127775475702,21.79554748735005
85,83.19633009690867,17.314588353116363,14.981979204775472,14.970559412859483,14.158305932002317,21.770897194155033
