,,,Pack Voltage,Pack Current,String 1 Iapp,String 2 Iapp,String 3 Iapp,String 4 Iapp,String 5 Iapp,"Cell 1,1 Cathode Concentration","Cell 1,1 Anode Concentration","Cell 1,1 Anode SEI Length","Cell 1,1 Voltage","Cell 1,1 Capacity by Area","Cell 1,2 Cathode Concentration","Cell 1,2 Anode Concentration","Cell 1,2 Anode SEI Length","Cell 1,2 Voltage","Cell 1,2 Capacity by Area","Cell 1,3 Cathode Concentration","Cell 1,3 Anode Concentration","Cell 1,3 Anode SEI Length","Cell 1,3 Voltage","Cell 1,3 Capacity by Area","Cell 1,4 Cathode Concentration","Cell 1,4 Anode Concentration","Cell 1,4 Anode SEI Length","Cell 1,4 Voltage","Cell 1,4 Capacity by Area","Cell 1,5 Cathode Concentration","Cell 1,5 Anode Concentration","Cell 1,5 Anode SEI Length","Cell 1,5 Voltage","Cell 1,5 Capacity by Area","Cell 2,1 Cathode Concentration","Cell 2,1 Anode Concentration","Cell 2,1 Anode SEI Length","Cell 2,1 Voltage","Cell 2,1 Capacity by Area","Cell 2,2 Cathode Concentration","Cell 2,2 Anode Concentration","Cell 2,2 Anode SEI Length","Cell 2,2 Voltage","Cell 2,2 Capacity by Area","Cell 2,3 Cathode Concentration","Cell 2,3 Anode Concentration","Cell 2,3 Anode SEI Length","Cell 2,3 Voltage","Cell 2,3 Capacity by Area","Cell 2,4 Cathode Concentration","Cell 2,4 Anode Concentration","Cell 2,4 Anode SEI Length","Cell 2,4 Voltage","Cell 2,4 Capacity by Area","Cell 2,5 Cathode Concentration","Cell 2,5 Anode Concentration","Cell 2,5 Anode SEI Length","Cell 2,5 Voltage","Cell 2,5 Capacity by Area","Cell 3,1 Cathode Concentration","Cell 3,1 Anode Concentration","Cell 3,1 Anode SEI Length","Cell 3,1 Voltage","Cell 3,1 Capacity by Area","Cell 3,2 Cathode Concentration","Cell 3,2 Anode Concentration","Cell 3,2 Anode SEI Length","Cell 3,2 Voltage","Cell 3,2 Capacity by Area","Cell 3,3 Cathode Concentration","Cell 3,3 Anode Concentration","Cell 3,3 Anode SEI Length","Cell 3,3 Voltage","Cell 3,3 Capacity by Area","Cell 3,4 Cathode Concentration","Cell 3,4 Anode Concentration","Cell 3,4 Anode SEI Length","Cell 3,4 Voltage","Cell 3,4 Capacity by Area","Cell 3,5 Cathode Concentration","Cell 3,5 Anode Concentration","Cell 3,5 Anode SEI Length","Cell 3,5 Voltage","Cell 3,5 Capacity by Area","Cell 4,1 Cathode Concentration","Cell 4,1 Anode Concentration","Cell 4,1 Anode SEI Length","Cell 4,1 Voltage","Cell 4,1 Capacity by Area","Cell 4,2 Cathode Concentration","Cell 4,2 Anode Concentration","Cell 4,2 Anode SEI Length","Cell 4,2 Voltage","Cell 4,2 Capacity by Area","Cell 4,3 Cathode Concentration","Cell 4,3 Anode Concentration","Cell 4,3 Anode SEI Length","Cell 4,3 Voltage","Cell 4,3 Capacity by Area","Cell 4,4 Cathode Concentration","Cell 4,4 Anode Concentration","Cell 4,4 Anode SEI Length","Cell 4,4 Voltage","Cell 4,4 Capacity by Area","Cell 4,5 Cathode Concentration","Cell 4,5 Anode Concentration","Cell 4,5 Anode SEI Length","Cell 4,5 Voltage","Cell 4,5 Capacity by Area","Cell 5,1 Cathode Concentration","Cell 5,1 Anode Concentration","Cell 5,1 Anode SEI Length","Cell 5,1 Voltage","Cell 5,1 Capacity by Area","Cell 5,2 Cathode Concentration","Cell 5,2 Anode Concentration","Cell 5,2 Anode SEI Length","Cell 5,2 Voltage","Cell 5,2 Capacity by Area","Cell 5,3 Cathode Concentration","Cell 5,3 Anode Concentration","Cell 5,3 Anode SEI Length","Cell 5,3 Voltage","Cell 5,3 Capacity by Area","Cell 5,4 Cathode Concentration","Cell 5,4 Anode Concentration","Cell 5,4 Anode SEI Length","Cell 5,4 Voltage","Cell 5,4 Capacity by Area","Cell 5,5 Cathode Concentration","Cell 5,5 Anode Concentration","Cell 5,5 Anode SEI Length","Cell 5,5 Voltage","Cell 5,5 Capacity by Area",Time,Global Time
1,CC-discharge,0,19.32850733584181,-136.319183090575,-27.263836618114965,-27.26383661811502,-27.263836618115022,-27.26383661811502,-27.263836618114965,25777.5,22610.7,5e-09,3.865701467168362,0.0,25777.5,22610.7,5e-09,3.865701467168362,0.0,25777.5,22610.7,5e-09,3.8657014671683614,0.0,25777.5,22610.7,5e-09,3.865701467168362,0.0,25777.5,22610.7,5e-09,3.865701467168362,0.0,25777.5,22610.7,5e-09,3.865701467168362,0.0,25777.5,22610.7,5e-09,3.865701467168362,0.0,25777.5,22610.7,5e-09,3.8657014671683614,0.0,25777.5,22610.7,5e-09,3.865701467168362,0.0,25777.5,22610.7,5e-09,3.865701467168362,0.0,25777.5,22610.7,5e-09,3.865701467168362,0.0,25777.5,22610.7,5e-09,3.865701467168362,0.0,25777.5,22610.7,5e-09,3.8657014671683614,0.0,25777.5,22610.7,5e-09,3.865701467168362,0.0,25777.5,22610.7,5e-09,3.865701467168362,0.0,25777.5,22610.7,5e-09,3.865701467168362,0.0,25777.5,22610.7,5e-09,3.865701467168362,0.0,25777.5,22610.7,5e-09,3.8657014671683614,0.0,25777.5,22610.7,5e-09,3.865701467168362,0.0,25777.5,22610.7,5e-09,3.865701467168362,0.0,25777.5,22610.7,5e-09,3.865701467168362,0.0,25777.5,22610.7,5e-09,3.865701467168362,0.0,25777.5,22610.7,5e-09,3.8657014671683614,0.0,25777.5,22610.7,5e-09,3.865701467168362,0.0,25777.5,22610.7,5e-09,3.865701467168362,0.0,0.0,0.0
1,CC-discharge,1,19.20190415002351,-136.319183090575,-27.26383661811513,-27.26383661811501,-27.263836618115842,-27.263836618115082,-27.26383661811395,26333.933863814666,22080.91249535203,4.999999999980298e-09,3.8403808300047007,0.5507845781437384,26333.93386381467,22080.912495352033,4.999999999972776e-09,3.840380830004705,0.5507845781437377,26333.93386381466,22080.91249535224,4.999999999947241e-09,3.840380830004703,0.5507845781437462,26333.93386381466,22080.912495352106,4.999999999972075e-09,3.840380830004706,0.5507845781437384,26333.933863814615,22080.912495352004,4.999999999884469e-09,3.8403808300047135,0.5507845781437265,26333.93386381462,22080.91249535199,4.999999999993807e-09,3.8403808300047033,0.5507845781437384,26333.933863814585,22080.912495351964,4.999999999947147e-09,3.8403808300047046,0.5507845781437377,26333.933863814596,22080.912495352033,4.999999999949108e-09,3.840380830004701,0.5507845781437462,26333.933863814676,22080.912495352135,5.000000000010502e-09,3.840380830004698,0.5507845781437384,26333.933863814684,22080.9124953521,5.000000000118496e-09,3.840380830004695,0.5507845781437265,26333.933863814647,22080.91249535203,4.999999999999732e-09,3.8403808300047,0.5507845781437384,26333.933863814633,22080.912495351975,4.999999999988517e-09,3.840380830004701,0.5507845781437377,26333.933863814585,22080.91249535208,4.999999999944872e-09,3.8403808300047015,0.5507845781437462,26333.93386381467,22080.912495352062,5.000000000010056e-09,3.840380830004702,0.5507845781437384,26333.933863814553,22080.912495352062,4.999999999966553e-09,3.8403808300047104,0.5507845781437265,26333.93386381456,22080.912495352113,5.00000000001617e-09,3.840380830004703,0.5507845781437384,26333.93386381458,22080.912495352128,5.000000000084756e-09,3.8403808300046975,0.5507845781437377,26333.933863814596,22080.912495352124,4.999999999947975e-09,3.8403808300047024,0.5507845781437462,26333.93386381459,22080.912495352193,5.000000000011134e-09,3.840380830004704,0.5507845781437384,26333.933863814535,22080.912495352088,5.0000000001108175e-09,3.8403808300047007,0.5507845781437265,26333.93386381462,22080.912495352,5.0000000000013434e-09,3.8403808300047015,0.5507845781437384,26333.93386381465,22080.912495352175,5.000000000006857e-09,3.8403808300046993,0.5507845781437377,26333.933863814636,22080.91249535198,4.999999999950643e-09,3.8403808300047015,0.5507845781437462,26333.933863814607,22080.912495352244,5.00000000003285e-09,3.8403808300047007,0.5507845781437384,26333.933863814622,22080.912495352142,5.0000000002384895e-09,3.8403808300046895,0.5507845781437265,72.72727272727273,72.72727272727273
1,CC-discharge,2,19.117251413498636,-136.319183090575,-27.263836618114922,-27.26383661811639,-27.263836618113938,-27.263836618116265,-27.26383661811347,26753.543111371877,21627.429278669744,5.000000000157744e-09,3.8234502826997203,1.1015691562874763,26753.543111371902,21627.42927866957,4.9999999999263595e-09,3.823450282699729,1.1015691562874892,26753.543111371913,21627.429278669708,5.0000000001315094e-09,3.823450282699724,1.1015691562874812,26753.543111371786,21627.429278669573,4.9999999999753245e-09,3.8234502826997314,1.1015691562874892,26753.543111371782,21627.42927866959,5.000000000234936e-09,3.8234502826997234,1.101569156287438,26753.543111371808,21627.429278669555,5.0000000000418e-09,3.8234502826997305,1.1015691562874763,26753.543111371906,21627.429278669493,4.9999999999727445e-09,3.823450282699725,1.1015691562874892,26753.543111371822,21627.42927866966,5.000000000129837e-09,3.8234502826997256,1.1015691562874812,26753.543111371946,21627.429278669806,5.000000000057544e-09,3.8234502826997194,1.1015691562874892,26753.54311137184,21627.429278669657,5.000000000309371e-09,3.8234502826997123,1.101569156287438,26753.543111371942,21627.429278669595,5.000000000059276e-09,3.8234502826997194,1.1015691562874763,26753.543111371884,21627.42927866964,4.999999999955113e-09,3.8234502826997288,1.1015691562874892,26753.543111371833,21627.429278669664,5.000000000125969e-09,3.8234502826997243,1.1015691562874812,26753.54311137185,21627.42927866978,5.00000000005404e-09,3.823450282699725,1.1015691562874892,26753.543111371753,21627.42927866972,4.999999999887349e-09,3.823450282699752,1.101569156287438,26753.54311137174,21627.42927866973,5.0000000000548314e-09,3.8234502826997336,1.1015691562874763,26753.543111371826,21627.42927866983,4.999999999979771e-09,3.823450282699729,1.1015691562874892,26753.543111371844,21627.4292786698,5.000000000129112e-09,3.8234502826997225,1.1015691562874812,26753.543111371884,21627.42927866971,4.999999999991948e-09,3.8234502826997274,1.1015691562874892,26753.54311137178,21627.42927866963,5.000000000097502e-09,3.8234502826997345,1.101569156287438,26753.543111371884,21627.429278669744,5.000000000001904e-09,3.823450282699732,1.1015691562874763,26753.543111371906,21627.42927866982,5.0000000000130456e-09,3.823450282699723,1.1015691562874892,26753.543111371884,21627.429278669755,4.9999999999341474e-09,3.8234502826997407,1.1015691562874812,26753.543111371884,21627.429278669893,4.9999999998939225e-09,3.823450282699734,1.1015691562874892,26753.543111371848,21627.429278669722,5.0000000003166275e-09,3.8234502826997154,1.101569156287438,145.45454545454547,145.45454545454547
1,CC-discharge,3,19.038873633331345,-136.319183090575,-27.263836618109412,-27.263836618117622,-27.263836618125037,-27.26383661806449,-27.26383661815842,27171.259374529178,21173.974190702476,5.00000000206279e-09,3.8077747266661364,1.6523537344311565,27171.25937452929,21173.97419070219,4.999999999840639e-09,3.807774726666277,1.652353734431267,27171.259374529316,21173.97419070231,4.9999999996383435e-09,3.8077747266662647,1.6523537344313093,27171.259374528618,21173.974190702862,5.0000000027904765e-09,3.807774726666265,1.652353734430729,27171.25937452956,21173.974190701905,4.999999998416859e-09,3.8077747266662287,1.6523537344315984,27171.259374529185,21173.97419070232,4.99999999970557e-09,3.807774726666326,1.6523537344311565,27171.259374529367,21173.974190702054,4.999999999800796e-09,3.807774726666277,1.652353734431267,27171.259374529254,21173.974190702214,4.999999999737294e-09,3.8077747266662607,1.6523537344313093,27171.259374528887,21173.97419070299,5.00000000140819e-09,3.807774726666368,1.652353734430729,27171.259374529676,21173.974190701876,4.9999999974420665e-09,3.807774726666302,1.6523537344315984,27171.259374529247,21173.97419070254,5.000000000155497e-09,3.807774726666288,1.6523537344311565,27171.25937452933,21173.974190702258,4.999999999656775e-09,3.807774726666294,1.652353734431267,27171.259374529352,21173.97419070227,4.999999999720243e-09,3.8077747266662554,1.6523537344313093,27171.25937452875,21173.974190702887,5.000000001379562e-09,3.807774726666372,1.652353734430729,27171.259374529567,21173.974190702138,4.999999998139009e-09,3.8077747266662505,1.6523537344315984,27171.259374529032,21173.974190702447,5.000000000233081e-09,3.8077747266662887,1.6523537344311565,27171.25937452924,21173.97419070241,5.000000000534003e-09,3.807774726666225,1.652353734431267,27171.259374529393,21173.974190702353,4.9999999996257e-09,3.807774726666266,1.6523537344313093,27171.259374528738,21173.974190702826,5.000000001961411e-09,3.807774726666324,1.652353734430729,27171.259374529604,21173.9741907019,4.9999999949182185e-09,3.8077747266665054,1.6523537344315984,27171.25937452923,21173.97419070246,4.999999999940518e-09,3.807774726666305,1.6523537344311565,27171.25937452933,21173.97419070259,4.999999999937976e-09,3.8077747266662687,1.652353734431267,27171.259374529396,21173.97419070229,4.9999999992016285e-09,3.8077747266662962,1.6523537344313093,27171.259374528745,21173.97419070294,5.00000000587138e-09,3.807774726666013,1.652353734430729,27171.25937452973,21173.974190701978,5.000000000481202e-09,3.807774726666055,1.6523537344315984,218.1818181818182,218.1818181818182
1,CC-discharge,4,18.965107164374896,-136.319183090575,-27.26383661811087,-27.26383661811739,-27.263836618121765,-27.263836618073086,-27.263836618151863,27588.95579157387,20720.518802213093,5.000000002007569e-09,3.7930214328748497,2.203138312574796,27588.955791574088,20720.51880221263,4.999999999943403e-09,3.7930214328749825,2.203138312575055,27588.95579157427,20720.518802212737,4.999999999774112e-09,3.793021432874972,2.2031383125752164,27588.95579157274,20720.518802214283,5.000000002659698e-09,3.793021432874979,2.2031383125735333,27588.955791574957,20720.51880221195,4.999999997254724e-09,3.7930214328750367,2.203138312576147,27588.955791573826,20720.518802212966,4.999999999667282e-09,3.7930214328750407,2.203138312574796,27588.955791574183,20720.518802212533,4.999999999898572e-09,3.793021432874983,2.203138312575055,27588.955791574237,20720.518802212555,4.999999999844899e-09,3.7930214328749665,2.2031383125752164,27588.955791572855,20720.518802214225,5.00000000136462e-09,3.793021432875078,2.2031383125735333,27588.95579157521,20720.51880221172,4.999999998142817e-09,3.7930214328749567,2.203138312576147,27588.955791573982,20720.518802213217,5.0000000001347015e-09,3.793021432874997,2.203138312574796,27588.955791574033,20720.518802212737,4.999999999681296e-09,3.7930214328749985,2.203138312575055,27588.955791574215,20720.51880221266,4.9999999998422344e-09,3.7930214328749687,2.2031383125752164,27588.955791572735,20720.51880221435,5.000000001362449e-09,3.7930214328750815,2.2031383125735333,27588.955791575016,20720.518802212046,4.999999998032809e-09,3.793021432874975,2.203138312576147,27588.95579157383,20720.51880221297,5.000000000155297e-09,3.7930214328749963,2.203138312574796,27588.955791574026,20720.518802212733,5.000000000428749e-09,3.793021432874943,2.203138312575055,27588.95579157438,20720.518802212788,4.9999999997483e-09,3.7930214328749763,2.2031383125752164,27588.955791572833,20720.51880221424,5.0000000018980454e-09,3.7930214328750362,2.2031383125735333,27588.95579157517,20720.51880221163,4.999999995018843e-09,3.793021432875209,2.203138312576147,27588.955791573906,20720.518802213082,4.999999999932265e-09,3.7930214328750127,2.203138312574796,27588.955791574088,20720.51880221304,4.999999999912196e-09,3.7930214328749896,2.203138312575055,27588.955791574295,20720.51880221277,4.999999999297393e-09,3.7930214328750145,2.2031383125752164,27588.95579157272,20720.51880221432,5.0000000058216145e-09,3.793021432874721,2.2031383125735333,27588.955791575252,20720.518802211744,5.000000001126035e-09,3.7930214328747196,2.203138312576147,290.90909090909093,290.90909090909093
1,CC-discharge,5,18.895092317529347,-136.319183090575,-27.263836618113967,-27.26383661812335,-27.26383661812245,-27.263836618076738,-27.2638366181385,28006.65098188671,20267.063410708906,5.000000002141918e-09,3.7790184635057384,2.7539228907184814,28006.650981887058,20267.063410708102,4.999999999803755e-09,3.7790184635058766,2.7539228907189015,28006.650981887233,20267.06341070847,4.999999999893344e-09,3.7790184635058717,2.753922890719098,28006.650981884683,20267.06341071086,5.0000000033812e-09,3.7790184635058446,2.753922890716461,28006.650981887993,20267.063410707346,4.999999997189876e-09,3.7790184635060005,2.753922890720494,28006.650981886665,20267.063410708543,4.999999999789215e-09,3.779018463505925,2.7539228907184814,28006.65098188717,20267.06341070807,4.999999999851275e-09,3.7790184635058655,2.7539228907189015,28006.65098188723,20267.063410707902,4.999999999973198e-09,3.7790184635058606,2.753922890719098,28006.650981884886,20267.063410710853,5.00000000167238e-09,3.779018463505972,2.753922890716461,28006.65098188818,20267.063410707207,4.999999999432342e-09,3.7790184635058113,2.753922890720494,28006.650981886825,20267.06341070886,5.000000000241458e-09,3.7790184635058863,2.7539228907184814,28006.650981887014,20267.063410708368,4.99999999962297e-09,3.7790184635058943,2.7539228907189015,28006.65098188733,20267.063410708273,4.999999999965239e-09,3.779018463505858,2.753922890719098,28006.65098188486,20267.063410710954,5.0000000016444864e-09,3.7790184635059747,2.753922890716461,28006.650981888037,20267.063410707487,4.999999998523249e-09,3.779018463505894,2.753922890720494,28006.6509818867,20267.063410708553,5.0000000002617945e-09,3.779018463505885,2.7539228907184814,28006.650981886956,20267.063410708433,5.000000000272507e-09,3.779018463505843,2.7539228907189015,28006.650981887527,20267.0634107082,4.999999999871331e-09,3.7790184635058615,2.753922890719098,28006.650981884864,20267.063410710718,5.000000002208074e-09,3.7790184635059347,2.753922890716461,28006.65098188822,20267.063410707106,4.999999996781397e-09,3.7790184635060236,2.753922890720494,28006.650981886836,20267.063410708677,4.999999999927054e-09,3.779018463505913,2.7539228907184814,28006.650981887047,20267.063410708666,4.999999999961212e-09,3.7790184635058677,2.7539228907189015,28006.6509818874,20267.063410708233,4.999999999445497e-09,3.7790184635058965,2.753922890719098,28006.65098188473,20267.063410710784,5.0000000061375454e-09,3.7790184635056217,2.753922890716461,28006.6509818883,20267.063410707287,5.000000001818671e-09,3.77901846350562,2.753922890720494,363.6363636363637,363.6363636363637
1,CC-discharge,6,18.828146105109887,-136.319183090575,-27.263836618115636,-27.26383661812821,-27.263836618120866,-27.263836618079225,-27.26383661813106,28424.346078064005,19813.60801916077,5.000000002615956e-09,3.765629221021822,3.3047074688622144,28424.346078064515,19813.60801915954,4.9999999996510655e-09,3.7656292210219933,3.3047074688628566,28424.346078064656,19813.608019159907,5.000000000195602e-09,3.765629221021974,3.3047074688629694,28424.34607806127,19813.60801916321,5.000000004073207e-09,3.765629221021923,3.30470746885945,28424.346078065486,19813.608019158633,4.999999998113915e-09,3.7656292210220736,3.3047074688646307,28424.346078063838,19813.608019160052,4.999999999923166e-09,3.7656292210220346,3.3047074688622144,28424.346078064642,19813.608019159386,4.9999999998367916e-09,3.7656292210219724,3.3047074688628566,28424.346078064686,19813.60801915911,5.000000000253335e-09,3.765629221021967,3.3047074688629694,28424.34607806135,19813.60801916329,5.00000000197634e-09,3.7656292210220905,3.30470746885945,28424.34607806571,19813.608019158568,4.999999999865048e-09,3.765629221021931,3.3047074688646307,28424.3460780641,19813.6080191605,5.0000000003466525e-09,3.7656292210219986,3.3047074688622144,28424.346078064456,19813.60801915966,4.9999999995531174e-09,3.7656292210219995,3.3047074688628566,28424.34607806469,19813.60801915998,5.000000000260047e-09,3.7656292210219675,3.3047074688629694,28424.346078061437,19813.60801916319,5.000000001950184e-09,3.7656292210220914,3.30470746885945,28424.346078065486,19813.608019158855,4.9999999985749085e-09,3.76562922102204,3.3047074688646307,28424.34607806403,19813.608019160143,5.000000000394002e-09,3.7656292210219964,3.3047074688622144,28424.34607806448,19813.60801915996,5.000000000163786e-09,3.765629221021955,3.3047074688628566,28424.34607806477,19813.60801915965,5.0000000001648415e-09,3.7656292210219706,3.3047074688629694,28424.34607806144,19813.608019162984,5.000000002511523e-09,3.7656292210220466,3.30470746885945,28424.3460780659,19813.608019158386,4.999999997630445e-09,3.765629221022101,3.3047074688646307,28424.346078064103,19813.608019160278,4.99999999992997e-09,3.765629221022035,3.3047074688622144,28424.346078064576,19813.60801916029,5.000000000010541e-09,3.765629221021965,3.3047074688628566,28424.34607806468,19813.60801915978,4.999999999740127e-09,3.7656292210220084,3.3047074688629694,28424.346078061295,19813.60801916314,5.0000000064382496e-09,3.765629221021734,3.30470746885945,28424.346078065868,19813.608019158586,5.000000002171682e-09,3.765629221021742,3.3047074688646307,436.3636363636364,436.3636363636364
1,CC-discharge,7,18.763784311637952,-136.319183090575,-27.263836618117026,-27.263836618128625,-27.263836618119843,-27.263836618084543,-27.263836618124966,28842.041166986197,19360.152627611897,5.000000001909194e-09,3.7527568623274865,3.855492047005979,28842.04116698698,19360.15262761048,4.999999999600475e-09,3.7527568623276046,3.855492047006865,28842.04116698701,19360.152627610663,5.000000000155572e-09,3.7527568623275878,3.8554920470068152,28842.04116698316,19360.152627614687,5.000000003860688e-09,3.7527568623275442,3.8554920470025187,28842.041166988005,19360.15262760938,4.999999998487594e-09,3.752756862327672,3.855492047008631,28842.041166986026,19360.152627611165,5.000000000056752e-09,3.7527568623276366,3.855492047005979,28842.041166987034,19360.152627610165,4.999999999874896e-09,3.7527568623275833,3.855492047006865,28842.041166987143,19360.15262760992,5.000000000211454e-09,3.75275686232758,3.8554920470068152,28842.041166983363,19360.152627614676,5.0000000018606155e-09,3.752756862327702,3.8554920470025187,28842.041166987994,19360.152627609266,4.999999999697059e-09,3.7527568623275793,3.855492047008631,28842.041166986346,19360.152627611544,5.000000000469265e-09,3.752756862327597,3.855492047005979,28842.041166986928,19360.152627610387,4.9999999995601005e-09,3.7527568623276073,3.855492047006865,28842.04116698722,19360.15262761085,5.000000000219819e-09,3.7527568623275833,3.8554920470068152,28842.04116698337,19360.152627614676,5.0000000018223915e-09,3.752756862327702,3.8554920470025187,28842.041166987936,19360.152627609536,4.999999999428413e-09,3.7527568623276,3.855492047008631,28842.041166986324,19360.152627611093,5.000000000436323e-09,3.7527568623275958,3.855492047005979,28842.04116698703,19360.15262761077,4.999999999826761e-09,3.7527568623275878,3.855492047006865,28842.041166987412,19360.152627610543,5.000000000126003e-09,3.7527568623275815,3.8554920470068152,28842.04116698328,19360.15262761438,5.000000002382442e-09,3.752756862327656,3.8554920470025187,28842.04116698844,19360.152627609175,4.999999997884924e-09,3.752756862327712,3.855492047008631,28842.04116698645,19360.152627611194,4.999999999933478e-09,3.752756862327637,3.855492047005979,28842.041166987074,19360.152627611067,5.000000000021516e-09,3.7527568623275704,3.855492047006865,28842.041166987266,19360.152627610707,4.9999999997250105e-09,3.7527568623276215,3.8554920470068152,28842.041166983097,19360.152627614585,5.0000000063073565e-09,3.7527568623273497,3.8554920470025187,28842.041166988318,19360.152627609416,5.0000000019393226e-09,3.7527568623273906,3.855492047008631,509.0909090909091,509.0909090909091
1,CC-discharge,8,18.701645257683495,-136.319183090575,-27.26383661811924,-27.263836618125215,-27.263836618113423,-27.2638366180902,-27.263836618126952,29259.736255347,18906.697236062646,5.000000001525069e-09,3.740329051536606,4.40627662514978,29259.736255347536,18906.697236061358,4.999999999848899e-09,3.7403290515367,4.406276625150843,29259.736255347172,18906.697236061627,5.000000000501526e-09,3.7403290515367025,4.406276625150586,29259.73625534319,18906.69723606607,5.000000003404208e-09,3.7403290515366736,4.406276625145698,29259.736255348787,18906.697236060245,4.999999998854035e-09,3.74032905153674,4.40627662515259,29259.736255346692,18906.697236061933,4.999999999847466e-09,3.7403290515367495,4.40627662514978,29259.736255347732,18906.697236060976,4.999999999935489e-09,3.7403290515366896,4.406276625150843,29259.736255347627,18906.69723606095,5.000000000557258e-09,3.7403290515366887,4.406276625150586,29259.736255343367,18906.697236066197,5.000000001743913e-09,3.740329051536806,4.406276625145698,29259.736255348715,18906.697236060056,4.999999999825747e-09,3.7403290515366634,4.40627662515259,29259.736255347114,18906.697236062184,5.000000000278703e-09,3.740329051536702,4.40627662514978,29259.73625534746,18906.697236061034,4.999999999661242e-09,3.740329051536719,4.406276625150843,29259.736255347707,18906.697236061787,5.00000000056581e-09,3.7403290515366883,4.406276625150586,29259.736255343458,18906.697236066073,5.000000001705647e-09,3.740329051536804,4.406276625145698,29259.73625534857,18906.697236060398,4.999999999631632e-09,3.7403290515366843,4.40627662515259,29259.73625534686,18906.697236062013,5.000000000246983e-09,3.7403290515367074,4.40627662514978,29259.736255347747,18906.69723606158,4.999999999987379e-09,3.7403290515366865,4.406276625150843,29259.736255347896,18906.697236061427,5.000000000471858e-09,3.740329051536684,4.406276625150586,29259.736255343472,18906.69723606568,5.000000002263076e-09,3.740329051536757,4.406276625145698,29259.736255349155,18906.697236059747,4.999999996611898e-09,3.7403290515369094,4.40627662515259,29259.73625534707,18906.697236061966,4.999999999933565e-09,3.740329051536729,4.40627662514978,29259.736255347663,18906.697236061817,4.999999999948876e-09,3.740329051536697,4.406276625150843,29259.736255347565,18906.69723606172,5.000000000073696e-09,3.7403290515367296,4.406276625150586,29259.736255343152,18906.697236066095,5.000000006199159e-09,3.740329051536452,4.406276625145698,29259.736255348824,18906.69723606003,5.000000001837103e-09,3.7403290515364955,4.40627662515259,581.8181818181819,581.8181818181819
1,CC-discharge,9,18.64147550262736,-136.319183090575,-27.263836618119146,-27.263836618123023,-27.263836618115604,-27.26383661809215,-27.26383661812508,29677.431343663695,18453.24184451355,5.000000001564015e-09,3.728295100525378,4.957061203293602,29677.431343664495,18453.24184451207,4.999999999832167e-09,3.7282951005254747,4.9570612032947645,29677.43134366399,18453.241844512628,5.000000000409354e-09,3.728295100525471,4.957061203294313,29677.431343659566,18453.24184451733,5.000000003384476e-09,3.7282951005254477,4.957061203288954,29677.43134366558,18453.2418445109,4.999999998864299e-09,3.728295100525517,4.957061203296551,29677.431343663462,18453.24184451269,4.9999999998784095e-09,3.728295100525517,4.957061203293602,29677.431343664808,18453.24184451167,4.999999999956816e-09,3.7282951005254574,4.9570612032947645,29677.43134366427,18453.241844512006,5.000000000464948e-09,3.7282951005254605,4.957061203294313,29677.43134365975,18453.241844517666,5.000000001711925e-09,3.72829510052558,4.957061203288954,29677.431343665703,18453.241844510747,4.99999999989002e-09,3.7282951005254312,4.957061203296551,29677.431343663597,18453.24184451307,5.000000000305356e-09,3.7282951005254765,4.957061203293602,29677.431343664324,18453.24184451194,4.999999999645853e-09,3.7282951005254943,4.9570612032947645,29677.431343664346,18453.24184451274,5.000000000473575e-09,3.728295100525459,4.957061203294313,29677.431343659788,18453.241844517463,5.0000000016730606e-09,3.7282951005255796,4.957061203288954,29677.431343665397,18453.24184451113,4.999999999798943e-09,3.728295100525447,4.957061203296551,29677.431343663637,18453.24184451286,5.000000000259297e-09,3.728295100525482,4.957061203293602,29677.431343664546,18453.241844512533,4.999999999927591e-09,3.72829510052547,4.9570612032947645,29677.431343664604,18453.241844512464,5.000000000379422e-09,3.728295100525458,4.957061203294313,29677.431343659897,18453.241844517197,5.00000000221233e-09,3.728295100525532,4.957061203288954,29677.431343666085,18453.241844510376,4.999999996663035e-09,3.7282951005256795,4.957061203296551,29677.431343663586,18453.24184451275,4.999999999933639e-09,3.7282951005255076,4.957061203293602,29677.43134366457,18453.241844512555,4.999999999954599e-09,3.7282951005254636,4.9570612032947645,29677.431343664262,18453.241844512693,4.9999999998504e-09,3.728295100525511,4.957061203294313,29677.431343659533,18453.24184451729,5.000000006213993e-09,3.728295100525221,4.957061203288954,29677.43134366574,18453.241844510834,5.0000000017169136e-09,3.7282951005252856,4.957061203296551,654.5454545454546,654.5454545454546
