Cycle,Protocol,Stamps,Pack Voltage,Pack Current,String 1 Iapp,String 2 Iapp,String 3 Iapp,String 4 Iapp,String 5 Iapp,"Cell 1,1 Cathode Concentration","Cell 1,1 Anode Concentration","Cell 1,1 Anode SEI Length","Cell 1,1 Voltage","Cell 1,1 Capacity by Area","Cell 1,2 Cathode Concentration","Cell 1,2 Anode Concentration","Cell 1,2 Anode SEI Length","Cell 1,2 Voltage","Cell 1,2 Capacity by Area","Cell 1,3 Cathode Concentration","Cell 1,3 Anode Concentration","Cell 1,3 Anode SEI Length","Cell 1,3 Voltage","Cell 1,3 Capacity by Area","Cell 1,4 Cathode Concentration","Cell 1,4 Anode Concentration","Cell 1,4 Anode SEI Length","Cell 1,4 Voltage","Cell 1,4 Capacity by Area","Cell 1,5 Cathode Concentration","Cell 1,5 Anode Concentration","Cell 1,5 Anode SEI Length","Cell 1,5 Voltage","Cell 1,5 Capacity by Area","Cell 2,1 Cathode Concentration","Cell 2,1 Anode Concentration","Cell 2,1 Anode SEI Length","Cell 2,1 Voltage","Cell 2,1 Capacity by Area","Cell 2,2 Cathode Concentration","Cell 2,2 Anode Concentration","Cell 2,2 Anode SEI Length","Cell 2,2 Voltage","Cell 2,2 Capacity by Area","Cell 2,3 Cathode Concentration","Cell 2,3 Anode Concentration","Cell 2,3 Anode SEI Length","Cell 2,3 Voltage","Cell 2,3 Capacity by Area","Cell 2,4 Cathode Concentration","Cell 2,4 Anode Concentration","Cell 2,4 Anode SEI Length","Cell 2,4 Voltage","Cell 2,4 Capacity by Area","Cell 2,5 Cathode Concentration","Cell 2,5 Anode Concentration","Cell 2,5 Anode SEI Length","Cell 2,5 Voltage","Cell 2,5 Capacity by Area","Cell 3,1 Cathode Concentration","Cell 3,1 Anode Concentration","Cell 3,1 Anode SEI Length","Cell 3,1 Voltage","Cell 3,1 Capacity by Area","Cell 3,2 Cathode Concentration","Cell 3,2 Anode Concentration","Cell 3,2 Anode SEI Length","Cell 3,2 Voltage","Cell 3,2 Capacity by Area","Cell 3,3 Cathode Concentration","Cell 3,3 Anode Concentration","Cell 3,3 Anode SEI Length","Cell 3,3 Voltage","Cell 3,3 Capacity by Area","Cell 3,4 Cathode Concentration","Cell 3,4 Anode Concentration","Cell 3,4 Anode SEI Length","Cell 3,4 Voltage","Cell 3,4 Capacity by Area","Cell 3,5 Cathode Concentration","Cell 3,5 Anode Concentration","Cell 3,5 Anode SEI Length","Cell 3,5 Voltage","Cell 3,5 Capacity by Area","Cell 4,1 Cathode Concentration","Cell 4,1 Anode Concentration","Cell 4,1 Anode SEI Length","Cell 4,1 Voltage","Cell 4,1 Capacity by Area","Cell 4,2 Cathode Concentration","Cell 4,2 Anode Concentration","Cell 4,2 Anode SEI Length","Cell 4,2 Voltage","Cell 4,2 Capacity by Area","Cell 4,3 Cathode Concentration","Cell 4,3 Anode Concentration","Cell 4,3 Anode SEI Length","Cell 4,3 Voltage","Cell 4,3 Capacity by Area","Cell 4,4 Cathode Concentration","Cell 4,4 Anode Concentration","Cell 4,4 Anode SEI Length","Cell 4,4 Voltage","Cell 4,4 Capacity by Area","Cell 4,5 Cathode Concentration","Cell 4,5 Anode Concentration","Cell 4,5 Anode SEI Length","Cell 4,5 Voltage","Cell 4,5 Capacity by Area","Cell 5,1 Cathode Concentration","Cell 5,1 Anode Concentration","Cell 5,1 Anode SEI Length","Cell 5,1 Voltage","Cell 5,1 Capacity by Area","Cell 5,2 Cathode Concentration","Cell 5,2 Anode Concentration","Cell 5,2 Anode SEI Length","Cell 5,2 Voltage","Cell 5,2 Capacity by Area","Cell 5,3 Cathode Concentration","Cell 5,3 Anode Concentration","Cell 5,3 Anode SEI Length","Cell 5,3 Voltage","Cell 5,3 Capacity by Area","Cell 5,4 Cathode Concentration","Cell 5,4 Anode Concentration","Cell 5,4 Anode SEI Length","Cell 5,4 Voltage","Cell 5,4 Capacity by Area","Cell 5,5 Cathode Concentration","Cell 5,5 Anode Concentration","Cell 5,5 Anode SEI Length","Cell 5,5 Voltage","Cell 5,5 Capacity by Area",Time,Global Time
1,CC-discharge,0,19.32785405462257,-136.319183090575,-27.111287027649457,-27.180748254457075,-27.305646611545473,-27.409119680561815,-27.312381516361167,25777.5,22610.7,5e-09,3.8668602643472627,0.0,25777.5,22610.7,5e-09,3.865517119496675,0.0,25777.5,22610.7,5e-09,3.8648070002462696,0.0,25777.5,22610.7,5e-09,3.8656196461349035,0.0,25777.5,22610.7,5e-09,3.8656004341437615,0.0,25777.5,22610.7,5e-09,3.8644626480853197,0.0,25777.5,22610.7,5e-09,3.866801910290436,0.0,25777.5,22610.7,5e-09,3.8655425496738953,0.0,25777.5,22610.7,5e-09,3.8668813062808267,0.0,25777.5,22610.7,5e-09,3.865126902722174,0.0,25777.5,22610.7,5e-09,3.8652642353959377,0.0,25777.5,22610.7,5e-09,3.8645811301348303,0.0,25777.5,22610.7,5e-09,3.8669418175157517,0.0,25777.5,22610.7,5e-09,3.8667719359219266,0.0,25777.5,22610.7,5e-09,3.8639084882359023,0.0,25777.5,22610.7,5e-09,3.8647238179313903,0.0,25777.5,22610.7,5e-09,3.8660398838605468,0.0,25777.5,22610.7,5e-09,3.866046184727061,0.0,25777.5,22610.7,5e-09,3.8646664263988257,0.0,25777.5,22610.7,5e-09,3.867754909464073,0.0,25777.5,22610.7,5e-09,3.8665430888626586,0.0,25777.5,22610.7,5e-09,3.86491401084008,0.0,25777.5,22610.7,5e-09,3.8645165024595896,0.0,25777.5,22610.7,5e-09,3.863914739886087,0.0,25777.5,22610.7,5e-09,3.8654633200566573,0.0,0.0,0.0
1,CC-discharge,1,19.201335580965505,-136.319183090575,-27.098228469116947,-27.202244247513008,-27.317418058041852,-27.407938062658037,-27.293354253245152,26322.94345595433,22082.7572707676,4.999999999892955e-09,3.8420320418952274,0.5475708636037011,26336.959748606823,22081.270605021018,5.000000000066019e-09,3.8399962939831047,0.5493231565855564,26333.317959883243,22070.679290490676,4.999999999976038e-09,3.8394373286362415,0.5517481279756297,26335.7212937671,22081.783097602693,5.000000000041658e-09,3.840234822033187,0.5537076539719178,26334.06435879601,22080.509151211012,5.0000000000480874e-09,3.840344734801702,0.551573088581882,26336.13887334981,22070.455573093524,4.999999999960897e-09,3.8390735164214904,0.5475708636037011,26322.56198597592,22080.847013993807,5.00000000006119e-09,3.841853291799997,0.5493231565855564,26336.686983957356,22081.543271886047,4.999999999975749e-09,3.8400701338436765,0.5517481279756297,26330.753533026204,22090.039622974014,5.000000000004162e-09,3.841717897954544,0.5537076539719178,26342.046546086054,22083.094944224733,5.0000000003209636e-09,3.8395613697065256,0.551573088581882,26334.527783863523,22077.303228074397,4.9999999999609555e-09,3.8399588771053508,0.5475708636037011,26337.118877094854,22071.677347322868,5.000000000012319e-09,3.8390263607007875,0.5493231565855564,26325.797652086007,22085.64476281092,4.9999999999749125e-09,3.8419147328769943,0.5517481279756297,26327.610607339055,22085.97259171836,5.000000000008114e-09,3.8417220253369084,0.5537076539719178,26344.35781591779,22072.60162773787,5.000000000152241e-09,3.8382210342508656,0.551573088581882,26339.870302933592,22076.732514262876,4.999999999947945e-09,3.839204426442624,0.5475708636037011,26322.643603377048,22072.999775940236,4.999999999989238e-09,3.841065419376681,0.5493231565855564,26331.803412352256,22082.136018914032,4.999999999975473e-09,3.8407697645004846,0.5517481279756297,26326.89210329809,22063.288856781102,5.000000000052418e-09,3.839579881617923,0.5537076539719178,26325.211888848677,22094.172503701226,5.000000000196584e-09,3.8428910130975167,0.551573088581882,26340.151619400705,22095.594879956046,5.000000000002968e-09,3.8410667191008128,0.5475708636037011,26336.445338215497,22074.52249679892,4.9999999999839925e-09,3.8393942151049356,0.5493231565855564,26333.166216186393,22067.46772925449,4.999999999957957e-09,3.8391436211081094,0.5517481279756297,26346.47244800227,22074.158438116996,4.999999999939184e-09,3.8380809540229444,0.5537076539719178,26330.991478881228,22076.165353598288,5.00000000011677e-09,3.8403174291088975,0.551573088581882,72.72727272727273,72.72727272727273
1,CC-discharge,2,19.11672519860496,-136.319183090575,-27.09232257666668,-27.211977123895984,-27.322718759144223,-27.40739811119976,-27.284766519668356,26734.128007526317,21630.990351792545,4.9999999996530375e-09,3.82539283071423,1.094950167096465,26759.080726516113,21627.86835694637,5.00000000019845e-09,3.8229500857779106,1.0989617562967584,26752.586757257013,21608.311788651965,5.000000000193589e-09,3.822470352666829,1.1036687018866003,26756.66569363171,21629.057590879675,5.000000000162793e-09,3.8232670376186433,1.1073979183543199,26753.570464030265,21626.87971073596,5.000000000007669e-09,3.823450131955167,1.1028672378032307,26757.270838765082,21608.161944025633,4.9999999998729294e-09,3.8220921703793453,1.094950167096465,26733.81963072032,21627.082003431922,5.000000000138338e-09,3.825145206652131,1.0989617562967584,26758.49712899139,21628.477546533606,5.00000000019226e-09,3.823051859914882,1.1036687018866003,26747.9518359808,21644.381274845404,5.000000000006097e-09,3.8248879901158865,1.1073979183543199,26767.56916360384,21631.677899230992,5.000000000262761e-09,3.8224863254933528,1.1028672378032307,26754.445223555307,21620.86921941872,4.9999999998652085e-09,3.8230328787843697,1.094950167096465,26759.359919893854,21610.059453029855,5.000000000066508e-09,3.821951827421805,1.0989617562967584,26739.39367413828,21636.090747434628,5.000000000183408e-09,3.825163245075012,1.1036687018866003,26742.438887899225,21636.83307522905,5.000000000007196e-09,3.8249557448481744,1.1073979183543199,26771.62253529666,21612.206537767484,4.999999999963446e-09,3.821065123676088,1.1028672378032307,26763.815220238565,21619.810138960747,4.999999999850798e-09,3.8221516970925578,1.094950167096465,26733.962829704884,21612.514406803068,5.000000000012966e-09,3.8243352905428583,1.0989617562967584,26749.92974480447,21629.577805510184,5.000000000185546e-09,3.8238677652674973,1.1036687018866003,26741.178573189933,21594.733236651944,4.999999999998698e-09,3.822772434879298,1.1073979183543199,26738.04551293926,21652.233379947662,4.99999999962176e-09,3.826239687253932,1.1028672378032307,26764.30860815706,21654.813256977835,5.000000000000018e-09,3.8240556216344586,1.094950167096465,26758.178185579243,21615.34118268219,4.999999999951877e-09,3.822342788210259,1.0989617562967584,26752.32054910976,21602.350478157074,5.000000000385912e-09,3.82217197568074,1.1036687018866003,26775.524095329296,21614.906617310153,4.99999999996452e-09,3.8208419911429568,1.1073979183543199,26748.181424511382,21618.81937504081,4.9999999998103905e-09,3.8234839302264194,1.1028672378032307,145.45454545454547,145.45454545454547
1,CC-discharge,3,19.038380107630893,-136.319183090575,-27.08810712206711,-27.21892813253776,-27.32649510306485,-27.407009777041683,-27.278642955863592,27143.385285049997,21179.335855839752,5.00000000089866e-09,3.8099694107734283,1.6422272347604427,27179.41955718436,21174.354979913205,5.000000000271998e-09,3.80717576540006,1.6487688800991194,27170.029812088203,21145.896056116664,5.00000000150321e-09,3.806759604468966,1.6556809631210352,27175.704460106466,21176.367785158523,5.000000002835775e-09,3.807559597836251,1.6610788061143344,27171.07760761439,21173.400708720408,5.000000004414031e-09,3.807804476832517,1.654012788061129,27176.428905344146,21145.98335757084,4.999999999675574e-09,3.80636759695083,1.6422272347604427,27143.340991993264,21173.205774998518,5.0000000003671814e-09,3.809663299799913,1.6487688800991194,27178.470464962746,21175.36456077595,5.0000000014592195e-09,3.8073013465773826,1.6556809631210352,27163.26146428709,21198.75807041707,5.0000000015270955e-09,3.809303273427311,1.6610788061143344,27191.064150574413,21180.41055899346,5.000000004046262e-09,3.8066858176806626,1.654012788061129,27172.394457046754,21164.548795199036,4.9999999995390926e-09,3.807359050122122,1.6422272347604427,27179.818308551345,21148.328416122462,4.999999999737183e-09,3.8061489501077452,1.6487688800991194,27151.188656242768,21186.489837968078,5.0000000014549976e-09,3.8096452642595118,1.6556809631210352,27155.389223004393,21187.72897695757,5.0000000015276646e-09,3.809424367326783,1.6610788061143344,27196.851322950362,21151.96412996857,5.000000004998896e-09,3.8051903134642098,1.654012788061129,27185.773054045643,21163.001469625502,4.999999999721193e-09,3.8063680842816363,1.6422272347604427,27143.545512570676,21151.916172633653,5.0000000009318124e-09,3.808830995537797,1.6487688800991194,27166.235309677257,21176.97238464087,5.000000001442266e-09,3.808218062021823,1.6556809631210352,27153.589550426914,21126.21456585474,4.999999999613783e-09,3.8071958828135526,1.6610788061143344,27148.91196999172,21210.440817759707,5.000000001141463e-09,3.810810216774024,1.654012788061129,27186.477519409786,21214.141323310945,4.999999999957424e-09,3.8083159655028758,1.6422272347604427,27178.130524345495,21156.047323157254,5.000000000000711e-09,3.806561096785377,1.6487688800991194,27169.64963793593,21137.184709529876,5.000000000641233e-09,3.8064558303032094,1.6556809631210352,27202.633407408688,21155.691012156767,5.0000000042778895e-09,3.8048969862269963,1.6610788061143344,27163.383445074964,21161.625067469024,5.000000002034409e-09,3.8078892828794815,1.654012788061129,218.1818181818182,218.1818181818182
1,CC-discharge,4,18.96463919683484,-136.319183090575,-27.084920477668803,-27.2241844806828,-27.329347762673066,-27.40671373317941,-27.27401663637093,27552.573441741737,20727.73906109556,5.0000000015147556e-09,3.7954422255361937,2.189429533747674,27599.82212281326,20720.74569915276,5.000000000044886e-09,3.7923346835854015,2.198699310535691,27587.49795236307,20683.427317873124,5.0000000009784936e-09,3.79197182979337,2.207760183987075,27594.718628052895,20723.683009162116,5.0000000041364235e-09,3.792777797613186,2.2147527809650525,27588.491869387537,20720.00536617212,5.000000005676559e-09,3.7930769773140196,2.2050497536392557,27595.5161789139,20683.86381683176,4.99999999977677e-09,3.7915663834250064,2.189429533747674,27552.92444800019,20719.23356610619,5.000000000223125e-09,3.7950844492273803,2.198699310535691,27598.4690384304,20722.199635663288,5.000000000945267e-09,3.7924813355217393,2.207760183987075,27578.54671297415,20753.139817198,5.000000002004049e-09,3.79463416514304,2.2147527809650525,27614.46492363293,20729.226470207806,5.000000004865486e-09,3.791820272392885,2.2050497536392557,27590.273101692645,20708.28666828469,4.999999999692138e-09,3.792605507469998,2.189429533747674,27600.34045029788,20686.49973771256,4.999999999652088e-09,3.7912792174835555,2.198699310535691,27563.00838438094,20736.837391728455,5.0000000009554855e-09,3.7950351624355037,2.207760183987075,27568.315316986114,20738.629868570864,5.000000001990884e-09,3.7948018269950046,2.2147527809650525,27621.98551097761,20691.80662937483,5.000000006362008e-09,3.7902548326993895,2.2050497536392557,27607.65962198139,20706.251159971423,4.999999999891438e-09,3.791515907026579,2.189429533747674,27553.19029946855,20691.220536513483,5.000000001003623e-09,3.79422957894748,2.198699310535691,27582.565891638613,20724.315082597728,5.000000000934312e-09,3.793488668239446,2.207760183987075,27565.976318202087,20657.701100652816,5.000000000089316e-09,3.792525667275353,2.2147527809650525,27559.68702257098,20768.729759081678,5.000000003718779e-09,3.796280950497199,2.2050497536392557,27608.5751291416,20773.525687773243,4.999999999944506e-09,3.7935091733770623,2.189429533747674,27598.146539469595,20696.656337515742,5.000000000069256e-09,3.7917112675910234,2.198699310535691,27587.003805357373,20671.96561996365,5.000000000094701e-09,3.7916622008447813,2.207760183987075,27629.71764720061,20696.480509234574,5.0000000047323145e-09,3.789899739808255,2.2147527809650525,27578.49309664287,20704.515104777787,5.0000000035755355e-09,3.7932061639313472,2.2050497536392557,290.90909090909093,290.90909090909093
1,CC-discharge,5,18.89464617058877,-136.319183090575,-27.082426029474373,-27.228299770888956,-27.33158081337985,-27.406480058301767,-27.270396418530044,27961.72291056466,20276.18576264001,5.0000000021988215e-09,3.781646739437592,2.7365744479612415,28020.286669057852,20267.064697842496,4.999999999547408e-09,3.778252108840112,2.7487244039859107,28004.998794222636,20220.919055095113,5.000000000588812e-09,3.7779352802538706,2.759890775664377,28013.728010060757,20271.00226093997,5.000000004753123e-09,3.7787490246854505,2.768421405121428,28005.849795003858,20266.672965807884,5.000000004687053e-09,3.7790971330256533,2.756003420860478,28014.563828674396,20221.788785897177,5.000000000155473e-09,3.7775167239474623,2.7365744479612415,27962.568289544204,20265.18957928126,5.000000000081218e-09,3.781242206729603,2.7487244039859107,28018.500511699196,20268.995981159416,5.000000000543723e-09,3.778417850472625,2.759890775664377,27993.827218313767,20307.525528878818,5.000000002194146e-09,3.7807107040196044,2.768421405121428,28037.8085525674,20278.105016630954,5.0000000052506755e-09,3.777714509366679,2.756003420860478,28008.112236802495,20252.06848700844,5.000000000008282e-09,3.778601194465951,2.7365744479612415,28020.924590289243,20224.598039177163,4.9999999994442845e-09,3.7771680593275576,2.7487244039859107,27974.860371645933,20287.146516288816,5.000000000555373e-09,3.7811651215239115,2.759890775664377,27981.236694566647,20289.53475605505,5.0000000021618515e-09,3.78092007312134,2.768421405121428,28047.062320931087,20231.713009715524,5.000000006409664e-09,3.7760824350332034,2.756003420860478,28029.50630144045,20249.544842975294,5.000000000279022e-09,3.7774210381237503,2.7365744479612415,27962.89548094561,20230.45205941392,5.000000000847493e-09,3.7803647526027553,2.7487244039859107,27998.929086075976,20271.619094547033,5.000000000525976e-09,3.7795084059266912,2.759890775664377,27978.35837573602,20189.191804061433,5.000000000278854e-09,3.778594747858377,2.768421405121428,27970.40663505155,20327.08002052806,5.000000003536951e-09,3.782486136154643,2.756003420860478,28030.63283044297,20332.952490855987,4.999999999958344e-09,3.779460474614016,2.7365744479612415,28018.224478219534,20237.192717174115,5.000000000191633e-09,3.7776190430887433,2.7487244039859107,28004.39066543554,20206.706770806355,4.999999999688673e-09,3.777619512411673,2.759890775664377,28056.797008878253,20237.274092149724,5.000000004920092e-09,3.7756716209040007,2.768421405121428,27993.546723094743,20247.468599948945,5.000000003973283e-09,3.7792659570085956,2.756003420860478,363.6363636363637,363.6363636363637
1,CC-discharge,6,18.827718560879504,-136.319183090575,-27.080421021284387,-27.231607790420508,-27.333376239494378,-27.406291041751704,-27.267486997623994,28370.84212715789,19824.667263037463,5.000000002180293e-09,3.768451005071715,3.2836739131204205,28440.80198356482,19813.326318892912,4.999999999729344e-09,3.7647891670078066,3.2988244803627738,28422.526848834288,19758.379166856605,5.000000000744594e-09,3.7645131618965335,3.3120620590267427,28432.734418524964,19818.324759328047,5.000000004843522e-09,3.76533584979014,3.3220857596674223,28423.163292979938,19813.39091152542,5.000000004871673e-09,3.765728958940873,3.3068911321347607,28433.580494340455,19759.749364670108,5.000000000065135e-09,3.7640817986769006,3.2836739131204205,28372.26159282339,19811.088168909886,5.000000000159164e-09,3.7680033222950264,3.2988244803627738,28438.559362667234,19815.761337427313,5.0000000006831785e-09,3.7649725392787596,3.3120620590267427,28409.104776572156,19861.914436489267,5.000000002251734e-09,3.7673972145680117,3.3220857596674223,28461.107116685096,19827.033663593018,5.000000005520775e-09,3.7642293785984844,3.3068911321347607,28425.920477174775,19795.885464082698,4.99999999990951e-09,3.7652097640920705,3.2836739131204205,28441.55951298321,19762.637923319984,4.999999999522039e-09,3.7636767571762184,3.2988244803627738,28386.739203470064,19837.42489181804,5.00000000070366e-09,3.767900943560039,3.3120620590267427,28394.155141807714,19840.442864433287,5.00000000223467e-09,3.76764474601021,3.3220857596674223,28472.093881571174,19771.670487023905,5.0000000069359956e-09,3.7625333071006404,3.3068911321347607,28451.32178984687,19792.873721948206,5.000000000144032e-09,3.763945063096442,3.2836739131204205,28372.650131564267,19769.62530831291,5.000000000786789e-09,3.7671034124492104,3.2988244803627738,28415.31941911355,19818.89215198116,5.000000000669031e-09,3.766140812137411,3.3120620590267427,28390.7375067577,19720.685867601693,5.000000000346413e-09,3.765269559035537,3.3220857596674223,28381.08252653868,19885.479330605816,5.000000004530656e-09,3.769292943721003,3.3068911321347607,28452.659325089106,19892.413246612392,4.999999999957784e-09,3.7660309299423744,3.2836739131204205,28438.353138551658,19777.67098785792,5.000000000151819e-09,3.76414590195124,3.2988244803627738,28421.804730836684,19741.416108108675,4.9999999998485715e-09,3.7641911040067595,3.3120620590267427,28483.873339742724,19778.07096847656,5.0000000049738206e-09,3.762071191475605,3.3220857596674223,28408.556167198334,19790.472853682186,5.0000000039277895e-09,3.7659339725185004,3.3068911321347607,436.3636363636364,436.3636363636364
1,CC-discharge,7,18.763373047827717,-136.319183090575,-27.078776066968892,-27.234321775649367,-27.334849411454773,-27.406135546685814,-27.26510028981615,28779.936559070215,19373.177211334358,5.000000001785746e-09,3.7557611530199195,3.830736509971464,28861.359076554323,19359.541033593647,4.9999999993720865e-09,3.751847701741925,3.8489853850705504,28840.077333608533,19295.813420453993,5.0000000008092375e-09,3.7516086569070404,3.8642663585312795,28851.738447929358,19365.64992115721,5.0000000052892775e-09,3.752441015574051,3.875746634298104,28840.44036512029,19360.15001050823,5.000000006232067e-09,3.7528761026986963,3.8577253471594086,28852.571775732293,19297.739054213052,5.000000000259172e-09,3.7511647870869376,3.830736509971464,28781.99559941099,19356.939814659327,4.999999999936305e-09,3.7552731117318534,3.8489853850705504,28858.640779755486,19362.501355738095,5.000000000748549e-09,3.7520475747527926,3.8642663585312795,28824.379976942848,19416.305965963733,5.000000002450977e-09,3.75459748025714,3.875746634298104,28884.368732551542,19376.003263111907,5.0000000066726155e-09,3.751266574338403,3.8577253471594086,28843.70340648,19339.731182944775,5.000000000146206e-09,3.7523346539562095,3.830736509971464,28862.236226042853,19300.63005117005,4.999999999380345e-09,3.7507072963246353,3.8489853850705504,28798.640161973,19387.67812578434,5.000000000770194e-09,3.7551473426383484,3.8642663585312795,28807.071244555667,19391.353615155847,5.000000002438592e-09,3.7548804604740176,3.875746634298104,28897.08834269268,19311.669731377344,5.00000000940818e-09,3.749508788334633,3.8577253471594086,28873.111724424856,19336.231373461113,5.0000000004007956e-09,3.7509901534833023,3.830736509971464,28782.44549158617,19308.750918083653,5.000000000839421e-09,3.7543510013241836,3.8489853850705504,28831.732121193847,19366.13989984111,5.0000000007348955e-09,3.753289218536109,3.8642663585312795,28803.114296348533,19252.18268771403,5.0000000005603786e-09,3.7524553126634426,3.875746634298104,28791.722571563372,19443.91873340331,5.000000006013655e-09,3.7566069059855516,3.8577253471594086,28874.660253123908,19451.901758520897,4.999999999950071e-09,3.7531223002813476,3.830736509971464,28858.523538951926,19318.101754323507,5.000000000233428e-09,3.751193936705121,3.8489853850705504,28839.241220276694,19276.099433465606,4.99999999991359e-09,3.751280254993426,3.8642663585312795,28910.947245727628,19318.870546640115,5.000000005176961e-09,3.7489987788590673,3.875746634298104,28823.52938657888,19333.51859784511,5.000000004741101e-09,3.753114676470432,3.8577253471594086,509.0909090909091,509.0909090909091
1,CC-discharge,8,18.701248571509744,-136.319183090575,-27.077404981652748,-27.23658391414406,-27.33607672476477,-27.406006239870436,-27.263111230142975,29189.01031652715,18921.710806122024,5.000000002222157e-09,3.7435067425403576,4.377768641775723,29281.951034046855,18905.716758793213,4.999999999169179e-09,3.739354532907082,4.399196553654322,29257.646530831764,18833.226187552078,5.000000000915684e-09,3.7391494798604477,4.41649793566481,29270.740502368724,18912.977294068696,5.0000000046495674e-09,3.7399919201811445,4.429404632142107,29257.687053731133,18906.94331253564,5.000000006369227e-09,3.7404665495239273,4.4085153625125315,29271.541882510668,18835.75294123824,5.0000000003576085e-09,3.73869341244744,4.377768641775723,29191.763573259308,18902.75243971255,4.999999999777067e-09,3.7429806064348594,4.399196553654322,29278.741022716003,18909.22031980872,5.0000000008512285e-09,3.7395699915907987,4.41649793566481,29239.653219924123,18970.699672005063,5.00000000221108e-09,3.7422395297282223,4.429404632142107,29307.599529131003,18925.00689886399,5.000000006745858e-09,3.73875283680784,4.4085153625125315,29261.465222238166,18883.600792583722,5.0000000002795235e-09,3.739903725797179,4.377768641775723,29282.947813522125,18838.582483029517,4.999999999294326e-09,3.7381866221228353,4.399196553654322,29210.55957974236,18937.910468702023,5.000000000873521e-09,3.7428329541645664,4.41649793566481,29219.985401033733,18942.26655944684,5.0000000021967734e-09,3.74255578964428,4.429404632142107,29322.051858352366,18851.703688896167,5.000000009108182e-09,3.7369354349495287,4.4085153625125315,29294.880342953194,18879.612941312997,5.00000000055657e-09,3.7384833719081194,4.377768641775723,29192.274823955308,18847.836929253066,5.000000000928618e-09,3.742036660168365,4.399196553654322,29248.163484733315,18913.366617045263,5.000000000838939e-09,3.7408813924370516,4.41649793566481,29215.48914221178,18783.68179622169,5.000000000303094e-09,3.740081044742942,4.429404632142107,29202.33271632577,19002.39145781131,5.00000000526622e-09,3.74435716017428,4.4085153625125315,29296.639854446188,19011.41334192534,4.999999999949734e-09,3.7406613188166475,4.377768641775723,29278.72877179812,18858.493034327577,5.000000000284425e-09,3.738690149876601,4.399196553654322,29256.696417056894,18810.76114454034,5.000000000023927e-09,3.7388147534568787,4.41649793566481,29338.01913871038,18859.672367759624,5.000000004919637e-09,3.7363802872131524,4.429404632142107,29238.47239018216,18876.598825274847,5.00000000416302e-09,3.7407365900541656,4.4085153625125315,581.8181818181819,581.8181818181819
1,CC-discharge,9,18.641092710182473,-136.319183090575,-27.07625091838378,-27.238488095791663,-27.33710826704352,-27.4058983374368,-27.261437471919216,29598.06642887712,18470.26452425458,5.0000000023319794e-09,3.7316383177155577,4.924775267028617,29702.572750111525,18451.859302246397,4.999999999158842e-09,3.7272585881407156,4.949449806279936,29675.23167676353,18370.62069220799,5.000000000956476e-09,3.7270851321787686,4.968752329521459,29689.74088600923,18460.306534885716,5.000000004706151e-09,3.7279378374355328,4.983060233933089,29674.907817493116,18453.765714494282,5.0000000065639215e-09,3.728449930492311,4.959268379705079,29690.49391730998,18373.78742050613,5.0000000003731115e-09,3.7266171938665873,4.924775267028617,29601.560539839684,18448.531856470778,4.999999999766402e-09,3.7310760301703976,4.949449806279936,29698.857311056294,18455.921388835653,5.000000000891795e-09,3.7274888487828304,4.968752329521459,29654.924806975327,18525.095216793394,5.000000002261377e-09,3.730272969110669,4.983060233933089,29730.804029050345,18474.03949262376,5.000000006976982e-09,3.726637063561895,4.959268379705079,29679.209018136164,18427.490733456187,5.000000000300695e-09,3.7278665499159986,4.924775267028617,29703.689168037887,18376.501131889454,4.999999999289356e-09,3.726063776911785,4.949449806279936,29622.494730431787,18488.125055280547,5.000000000913866e-09,3.7309077550261587,4.968752329521459,29632.89791098892,18493.181356847876,5.000000002247562e-09,3.730620676262004,4.983060233933089,29746.9889696925,18391.76718035669,5.000000009326199e-09,3.724762084503155,4.959268379705079,29716.630768790856,18423.014862152682,5.000000000564001e-09,3.7263738271313844,4.924775267028617,29602.133153397437,18386.889240305583,5.000000000905807e-09,3.730110710436106,4.949449806279936,29664.610753522807,18460.575459251282,5.000000000879049e-09,3.7288668167112,4.968752329521459,29627.862343702353,18315.182837948592,5.000000000348684e-09,3.7280970657953434,4.983060233933089,29612.91734858877,18560.89253222715,5.00000000545087e-09,3.7324939555213033,4.959268379705079,29718.601253976914,18570.94455934924,4.9999999999495644e-09,3.7285968215529453,4.924775267028617,29698.96373585395,18398.850709650505,5.000000000287855e-09,3.7265836045234684,4.949449806279936,29674.167558191584,18345.404484564326,4.999999999896558e-09,3.726744157483516,4.968752329521459,29765.08932871496,18400.47608371175,5.00000000495589e-09,3.7241641615789245,4.983060233933089,29653.389612071856,18419.708391048363,5.000000004248859e-09,3.728749676103809,4.959268379705079,654.5454545454546,654.5454545454546
