,,Global Time,Time,Cell1 Cathode vConcentration,Cell1 Anode vConcentration,Cell1 Anode vSEI Length,Cell1 Voltage,Current
C1,0,0.0,0.0,25777.5,22610.7,5e-09,3.9357043351131,-13.6319183090575
C1,1,72.72727272727273,72.72727272727273,26055.713961172685,22345.805750813142,5e-09,3.9225922499699353,-13.6319183090575
C1,2,145.45454545454547,145.45454545454547,26265.511894152227,22119.064907350414,5e-09,3.913405989415288,-13.6319183090575
C1,3,218.1818181818182,218.1818181818182,26474.378813463423,21892.3370985692,5e-09,3.9046624724232224,-13.6319183090575
C1,4,290.90909090909093,290.90909090909093,26683.22782971407,21665.60940115332,5e-09,3.8962733483276115,-13.6319183090575
C1,5,363.6363636363637,363.6363636363637,26892.07548595012,21438.881705354805,5e-09,3.8881924022900023,-13.6319183090575
C1,6,436.3636363636364,436.3636363636364,27100.923038655073,21212.15400958008,5e-09,3.8803830688293597,-13.6319183090575
C1,7,509.0909090909091,509.0909090909091,27309.770583464717,20985.426313805663,5e-09,3.8728147261983867,-13.6319183090575
C1,8,581.8181818181819,581.8181818181819,27518.618127671238,20758.698618030954,5e-09,3.8654615564003367,-13.6319183090575
C1,9,654.5454545454546,654.5454545454546,27727.46567183151,20531.97092225646,5e-09,3.8583016797017713,-13.6319183090575
C1,10,727.2727272727274,727.2727272727274,27936.313215988277,20305.243226482035,5e-09,3.851316469029242,-13.6319183090575
C1,11,800.0000000000001,800.0000000000001,28145.160760144645,20078.51553070747,5e-09,3.8444900006375153,-13.6319183090575
C1,12,872.7272727272727,872.7272727272727,28354.00830430108,19851.787834933024,5e-09,3.8378086104315834,-13.6319183090575
C1,13,945.4545454545455,945.4545454545455,28562.85584845764,19625.06013915851,5e-09,3.83126053302349,-13.6319183090575
C1,14,1018.1818181818182,1018.1818181818182,28771.70339261407,19398.33244338379,5e-09,3.8248356061055997,-13.6319183090575
C1,15,1090.909090909091,1090.909090909091,28980.550936770447,19171.60474760938,5e-09,3.818525026775168,-13.6319183090575
C1,16,1163.6363636363637,1163.6363636363637,29189.398480926993,18944.877051834846,5e-09,3.8123211494670337,-13.6319183090575
C1,17,1236.3636363636365,1236.3636363636365,29398.24602508327,18718.149356060196,5e-09,3.8062183126954565,-13.6319183090575
C1,18,1309.0909090909092,1309.0909090909092,29607.09356923961,18491.421660285832,5e-09,3.800208726939038,-13.6319183090575
C1,19,1381.818181818182,1381.818181818182,29815.941113395977,18264.693964511116,5e-09,3.7942883007111115,-13.6319183090575
C1,20,1454.5454545454547,1454.5454545454547,30024.788657552443,18037.966268736607,5e-09,3.7884525802925593,-13.6319183090575
C1,21,1527.2727272727275,1527.2727272727275,30233.63620170903,17811.238572962062,5e-09,3.782697653338623,-13.6319183090575
C1,22,1600.0000000000002,1600.0000000000002,30442.483745865517,17584.510877187546,5e-09,3.777020075237371,-13.6319183090575
C1,23,1672.727272727273,1672.727272727273,30651.331290022,17357.783181412975,5e-09,3.771416805739779,-13.6319183090575
C1,24,1745.4545454545455,1745.4545454545455,30860.178834178434,17131.055485638484,5e-09,3.765885154141232,-13.6319183090575
C1,25,1818.1818181818182,1818.1818181818182,31069.0263783348,16904.327789863946,5e-09,3.76042273160025,-13.6319183090575
C1,26,1890.909090909091,1890.909090909091,31277.873922491195,16677.600094089135,5e-09,3.755027409424615,-13.6319183090575
C1,27,1963.6363636363637,1963.6363636363637,31486.72146664774,16450.872398314474,5e-09,3.7496972823512125,-13.6319183090575
C1,28,2036.3636363636365,2036.3636363636365,31695.56901080417,16224.144702539792,5e-09,3.7444306360037185,-13.6319183090575
C1,29,2109.0909090909095,2109.0909090909095,31904.416554960764,15997.417006765125,5e-09,3.739225917837973,-13.6319183090575
C1,30,2181.818181818182,2181.818181818182,32113.26409911712,15770.689310990656,5e-09,3.7340817109938644,-13.6319183090575
C1,31,2254.545454545455,2254.545454545455,32322.11164327351,15543.961615216147,5e-09,3.7289967105448905,-13.6319183090575
C1,32,2327.2727272727275,2327.2727272727275,32530.95918743008,15317.233919441596,5e-09,3.7239697017149327,-13.6319183090575
C1,33,2400.0,2400.0,32739.80673158641,15090.506223667053,5e-09,3.718999539679563,-13.6319183090575
C1,34,2472.727272727273,2472.727272727273,32948.65427574276,14863.778527892548,5e-09,3.7140851306145612,-13.6319183090575
C1,35,2545.4545454545455,2545.4545454545455,33157.50181989929,14637.050832117806,5e-09,3.709225413688566,-13.6319183090575
C1,36,2618.1818181818185,2618.1818181818185,33366.34936405573,14410.3231363432,5e-09,3.7044193437233965,-13.6319183090575
C1,37,2690.909090909091,2690.909090909091,33575.19690821212,14183.595440568639,5e-09,3.6996658742661457,-13.6319183090575
C1,38,2763.636363636364,2763.636363636364,33784.044452368515,13956.867744794006,5e-09,3.6949639408318267,-13.6319183090575
C1,39,2836.3636363636365,2836.3636363636365,33992.89199652487,13730.140049019496,5e-09,3.690312444085236,-13.6319183090575
C1,40,2909.0909090909095,2909.0909090909095,34201.739540681374,13503.412353244961,5e-09,3.685710232736161,-13.6319183090575
C1,41,2981.818181818182,2981.818181818182,34410.58708483781,13276.684657470449,5e-09,3.6811560859236154,-13.6319183090575
C1,42,3054.545454545455,3054.545454545455,34619.434628994306,13049.95696169587,5e-09,3.676648694862544,-13.6319183090575
C1,43,3127.2727272727275,3127.2727272727275,34828.28217315065,12823.229265921305,5e-09,3.6721866435207695,-13.6319183090575
C1,44,3200.0000000000005,3200.0000000000005,35037.1297173072,12596.50157014677,5e-09,3.667768388084814,-13.6319183090575
C1,45,3272.727272727273,3272.727272727273,35245.97726146374,12369.773874372244,5e-09,3.6633922349609476,-13.6319183090575
C1,46,3345.454545454546,3345.454545454546,35454.824805620025,12143.046178597702,5e-09,3.659056317041853,-13.6319183090575
C1,47,3418.1818181818185,3418.1818181818185,35663.67234977651,11916.31848282323,5e-09,3.654758568032942,-13.6319183090575
C1,48,3490.909090909091,3490.909090909091,35872.51989393301,11689.590787048759,5e-09,3.650496549014174,-13.6319183090575
C1,49,3563.636363636364,3563.636363636364,36081.367438089634,11462.863091274205,5e-09,3.6462680375873067,-13.6319183090575
C1,50,3636.3636363636365,3636.3636363636365,36290.21498224617,11236.13539549969,5e-09,3.642070000020641,-13.6319183090575
C1,51,3709.0909090909095,3709.0909090909095,36499.06252640254,11009.407699725252,5e-09,3.6378992625667705,-13.6319183090575
C1,52,3781.818181818182,3781.818181818182,36707.91007055905,10782.680003950667,5e-09,3.6337522815362027,-13.6319183090575
C1,53,3854.545454545455,3854.545454545455,36916.75761471551,10555.952308176056,5e-09,3.6296250979243023,-13.6319183090575
C1,54,3927.2727272727275,3927.2727272727275,37125.60515887189,10329.22461240156,5e-09,3.625513287169408,-13.6319183090575
C1,55,4000.0000000000005,4000.0000000000005,37334.452703028226,10102.496916627022,5e-09,3.621411903462777,-13.6319183090575
C1,56,4072.727272727273,4072.727272727273,37543.30024718491,9875.769220852468,5e-09,3.6173154179765112,-13.6319183090575
C1,57,4145.454545454546,4145.454545454546,37752.147791341275,9649.04152507799,5e-09,3.613217650310401,-13.6319183090575
C1,58,4218.181818181819,4218.181818181819,37960.99533549772,9422.313829303386,5e-09,3.609111692392489,-13.6319183090575
C1,59,4290.909090909091,4290.909090909091,38169.842879654,9195.58613352884,5e-09,3.6049898239941722,-13.6319183090575
C1,60,4363.636363636364,4363.636363636364,38378.690423810425,8968.858437754416,5e-09,3.600843418941582,-13.6319183090575
C1,61,4436.363636363637,4436.363636363637,38587.537967966855,8742.130741979803,5e-09,3.596662841021121,-13.6319183090575
C1,62,4509.09090909091,4509.09090909091,38796.38551212333,8515.403046205254,5e-09,3.5924373284879607,-13.6319183090575
C1,63,4581.818181818182,4581.818181818182,39005.233056279765,8288.675350430753,5e-09,3.58815439134967,-13.6319183090575
C1,64,4654.545454545455,4654.545454545455,39214.0806004362,8061.947654656287,5e-09,3.5838014319136926,-13.6319183090575
C1,65,4727.272727272728,4727.272727272728,39422.92814459288,7835.219958881731,5e-09,3.5793628161856073,-13.6319183090575
C1,66,4800.0,4800.0,39631.775688749316,7608.4922631072,5e-09,3.574822021596618,-13.6319183090575
C1,67,4872.727272727273,4872.727272727273,39840.6232329058,7381.764567332628,5e-09,3.570160413981653,-13.6319183090575
C1,68,4945.454545454546,4945.454545454546,40049.470777062335,7155.03687155814,5e-09,3.5653572164410097,-13.6319183090575
C1,69,5018.181818181819,5018.181818181819,40258.31832121882,6928.309175783609,5e-09,3.5603892290228254,-13.6319183090575
C1,70,5090.909090909091,5090.909090909091,40467.16586537514,6701.581480009112,5e-09,3.5552306421311375,-13.6319183090575
C1,71,5163.636363636364,5163.636363636364,40676.01340953163,6474.853784234591,5e-09,3.549852732920386,-13.6319183090575
C1,72,5236.363636363637,5236.363636363637,40884.860953688134,6248.126088460097,5e-09,3.544223549729529,-13.6319183090575
C1,73,5309.09090909091,5309.09090909091,41093.70849784464,6021.398392685582,5e-09,3.5383075733892055,-13.6319183090575
C1,74,5381.818181818182,5381.818181818182,41302.556042001124,5794.670696911066,5e-09,3.5320653666734905,-13.6319183090575
