Cycle,Pack Capacity,"Cell 1,1","Cell 1,2","Cell 1,3","Cell 1,4","Cell 1,5"
1,134.59574902344335,27.0969145726497,26.387676177550087,26.86934852157963,26.779424699721858,27.46238505194207
2,115.99521710814672,23.385599283357255,22.67928527243202,23.15842433360619,23.063632745250708,23.70827547350053
3,115.9489200121132,23.36978310510822,22.660685993956957,23.15498085622056,23.055237801310238,23.70823225551723
4,115.9025965200108,23.353931304553342,22.642046221034697,23.15155256647167,23.04683405118546,23.708232376765643
5,115.85629365056016,23.33801848030502,22.62333188201152,23.14817605548431,23.038438970992473,23.708328261766834
6,115.80997474184443,23.322040085930308,22.604524410130008,23.14484490883243,23.030042104382833,23.708523232568854
7,115.76363838910041,23.305977922914995,22.58562570403389,23.141565471036596,23.021646512657778,23.70882277845714
8,115.71732934356024,23.289835738052954,22.566633007488157,23.138351368734735,23.013259041505542,23.709250187778853
9,115.67096474429776,23.273598753628313,22.547530295711343,23.135184701342673,23.00486247919673,23.709788514418687
10,115.62460778512849,23.256847596406526,22.52772198803441,23.13239169032986,22.996545201908813,23.711101308448878
11,115.57822631973744,23.239904780611262,22.507704855246494,23.12972141599732,22.98823350511189,23.71266176277046
12,115.53183609945836,23.22283702563892,22.48760070787086,23.127122426972353,22.979919107785083,23.71435683119115
13,115.48544514628178,23.20564484265897,22.467395558170526,23.124601660767446,22.971603007202244,23.716200077482586
14,115.43910015614546,23.18834250806947,22.447107267813568,23.122165794995972,22.963294656783003,23.718189928483447
15,115.39277073781273,23.170928670176377,22.426724498524617,23.119806462842686,22.954983986106257,23.720327120162786
16,115.34630489445439,23.153371896523407,22.406232463041523,23.117488948350122,22.946640501428533,23.72257108511082
17,115.29986472994031,23.135704684803112,22.385656548580943,23.11524802378824,22.93829538495317,23.72496008781485
18,115.25347046602425,23.117949972640908,22.36499128017617,23.113082532325674,22.929945504043214,23.727501176838295
19,115.20710918719166,23.100078431890417,22.34426795230935,23.11099144943861,22.921599239303717,23.730172114249573
20,115.16065640011298,23.082073177314538,22.32342859332568,23.10895490070429,22.913226959100196,23.73297276966828
21,115.11415374266505,23.06397358035129,22.30251586189604,23.106958576754153,22.90483037720489,23.735875346458684
22,115.06770327994522,23.045774676107648,22.28154410853883,23.105036414429712,22.89643337033475,23.73891471053427
23,115.02128426931996,23.027490251539906,22.260521699264352,23.103172250952667,22.888027292217522,23.742072775345505
24,114.97485771827395,23.009088892535964,22.239404549648146,23.101380341751135,22.879612636988764,23.745371297349937
25,114.92829585798991,22.99058826143459,22.21821025196389,23.09960098200262,22.871155771612358,23.748740590976453
26,114.8817870920148,22.97201108969635,22.196971692272747,23.097883888251527,22.86269797580922,23.752222445984955
27,114.8353075435254,22.953349732657994,22.175654871746904,23.096231292242518,22.85423430905526,23.755837337822722
28,114.78886651067666,22.93460865561976,22.154273858634973,23.09464219136817,22.845765191583176,23.759576613470585
29,114.74228435945824,22.915781401244086,22.132844875420677,23.09305296901115,22.837257287689777,23.76334782609255
30,114.69571775778641,22.896878993360755,22.11131872789207,23.09152742090577,22.828738967654004,23.76725364797381
31,114.64917312257109,22.877926869406764,22.08980710449808,23.09002593866867,22.82022285899262,23.77119035100494
32,114.60266681282489,22.85892259822661,22.068266073973675,23.088566025488483,22.81170411256014,23.775208002575976
33,114.55608783751745,22.83980065168338,22.046588453621894,23.0871698055595,22.803168742618404,23.77936018403429
34,114.50945841869594,22.820640020940534,22.02490339328018,23.08577357854056,22.794609498708052,23.783531927226612
35,114.4628580617608,22.801432431038982,22.003182581265676,23.08441772497176,22.78605188659257,23.787773437891797
36,114.41628773148483,22.782165509026395,21.981411915640585,23.0831109591938,22.777497143048254,23.792102204575805
37,114.3696910780035,22.762847002186174,21.95960199099147,23.08182942775129,22.76893413770128,23.79647851937328
38,114.32299039325137,22.743455694332084,21.93773061025038,23.080561351495714,22.760348653332965,23.80089408384022
39,114.27632438259353,22.724006500880108,21.91577535398532,23.079354968504195,22.75176854075834,23.805419018465567
40,114.22976011527976,22.704524827475804,21.893829484865623,23.078193487224148,22.743208666944273,23.810003648769904
41,114.18306824976884,22.684962705104503,21.871808341998996,23.07704430747505,22.73462232889545,23.81463056629484
42,114.13640056956987,22.665336215987974,21.849737817391283,23.075943342265507,22.72603887915072,23.819344314774387
43,114.0896685573588,22.645634464502617,21.827596692520423,23.07487087441989,22.717439803034317,23.824126722881573
44,114.0429594265134,22.625865044065392,21.805395104251154,23.073850114022953,22.708842002488026,23.829007161685876
45,113.99621024269236,22.606017592382695,21.78313721319532,23.072861145772766,22.70022813918717,23.8339661521544
46,113.94946642702187,22.586071600201848,21.760773002448747,23.07193968002909,22.691606459882134,23.839075684460052
47,113.90269852285512,22.566031850072253,21.738325706272608,23.071067608319584,22.68296941250231,23.844303945688367
48,113.8559048174792,22.54587754519325,21.715754043557126,23.070264362916046,22.6743138014738,23.84969506433897
49,113.80911743146426,22.52562282486005,21.693127006978912,23.069511647433846,22.665638440769488,23.85521751142197
50,113.76228785464241,22.505244069549455,21.670376131601213,23.068819062389306,22.656932881655802,23.860915709446633
