Cycle,Protocol,Stamps,Time (s),Global Time (s),Pack Voltage,Pack Current,String 1 Iapp,String 2 Iapp,"Cell 1,1 Cathode Concentration","Cell 1,1 Anode Concentration","Cell 1,1 Anode SEI Length","Cell 1,1 Voltage","Cell 1,1 Capacity by Area","Cell 1,2 Cathode Concentration","Cell 1,2 Anode Concentration","Cell 1,2 Anode SEI Length","Cell 1,2 Voltage","Cell 1,2 Capacity by Area","Cell 2,1 Cathode Concentration","Cell 2,1 Anode Concentration","Cell 2,1 Anode SEI Length","Cell 2,1 Voltage","Cell 2,1 Capacity by Area","Cell 2,2 Cathode Concentration","Cell 2,2 Anode Concentration","Cell 2,2 Anode SEI Length","Cell 2,2 Voltage","Cell 2,2 Capacity by Area"
1,CC-discharge,0,0.0,0.0,7.7327217705230975,-54.52767323623,-27.15234507859982,-27.37532815763018,25777.5,22610.7,5e-09,3.8661480116649667,0.0,25777.5,22610.7,5e-09,3.8664554178303865,0.0,25777.5,22610.7,5e-09,3.8665737588581304,0.0,25777.5,22610.7,5e-09,3.866266352692711,0.0
1,CC-discharge,1,54.54545454545455,54.54545454545455,7.691389741189155,-54.52767323623,-27.157102514964564,-27.370570721265434,26229.15345655011,22200.231297805192,4.999999999999679e-09,3.8452789550481743,0.41143520904215447,26224.855596306337,22199.000709007025,5.0000000000007495e-09,3.845794801448974,0.4147416581734516,26218.838207134755,22194.19255223388,4.999999999999132e-09,3.8461107861409807,0.41143520904215447,26225.023323597976,22197.633974775923,5.000000000002375e-09,3.8455949397401814,0.4147416581734516
1,CC-discharge,2,109.0909090909091,109.0909090909091,7.665072787506681,-54.52767323623,-27.15929073650889,-27.36838249972111,26548.80321250541,21864.69267415644,4.99999999999941e-09,3.8320065623524058,0.8229230367048321,26541.383141263424,21862.532110360622,5.000000000000668e-09,3.8326399378940423,0.8294306977263799,26531.187527522856,21853.71754155542,4.9999999999990215e-09,3.8330662251542753,0.8229230367048321,26541.66954440996,21860.048388168958,5.000000000002248e-09,3.8324328496126387,0.8294306977263799
1,CC-discharge,3,163.63636363636363,163.63636363636363,7.640599870494599,-54.52767323623,-27.160937533791248,-27.366735702438753,26864.192189396745,21529.289668990685,4.999999999997035e-09,3.819671515665956,1.2344399175404392,26853.64843134818,21526.247792325827,5.000000000001352e-09,3.820406891689273,1.2440906841063788,26839.373380177403,21513.380144556137,4.99999999999092e-09,3.820928354828643,1.2344399175404392,26854.051912299943,21522.647693937168,5.000000000060966e-09,3.820192978805325,1.2440906841063788
1,CC-discharge,4,218.1818181818182,218.1818181818182,7.6173802389996315,-54.52767323623,-27.162248019034344,-27.365425217195654,27179.35188002417,21193.871487221317,4.999999999996919e-09,3.8079732566456093,1.6459792020315422,27165.6574268844,21189.981765488912,5.000000000001282e-09,3.80880035867497,1.658728266830882,27147.335183204646,21173.0273476776,4.999999999990955e-09,3.809406982354022,1.6459792020315422,27166.17788954873,21185.265351625047,5.00000000006102e-09,3.808579880324662,1.658728266830882
1,CC-discharge,5,272.72727272727275,272.72727272727275,7.5951956719123155,-54.52767323623,-27.16331379218465,-27.36435944404535,27494.495109946394,20858.43982414636,4.999999999996925e-09,3.796800153626709,2.0575364884801712,27477.626462808304,20853.72923661577,5.00000000000102e-09,3.7977112573590044,2.0733478475978595,27455.28090147034,20832.66087115873,4.999999999990347e-09,3.7983955182856066,2.0575364884801712,27478.263892203195,20847.896552086448,5.000000000061825e-09,3.79748441455331,2.0733478475978595
1,CC-discharge,6,327.27272727272725,327.27272727272725,7.573884233622448,-54.52767323623,-27.164196496083765,-27.363476740146233,27809.64487740504,20522.99701872525,4.999999999996283e-09,3.786069483932076,2.469108536118568,27789.582367736974,20517.487797474034,5.00000000000118e-09,3.7870586380154534,2.487952667175068,27763.23300796262,20492.28308836937,4.999999999992035e-09,3.787814749690372,2.469108536118568,27790.336758939146,20510.538879094187,5.000000000054522e-09,3.7868255956069943,2.487952667175068
1,CC-discharge,7,381.8181818181818,381.8181818181818,7.5533302266491145,-54.52767323623,-27.164937955622012,-27.362735280607993,28124.802645582833,20187.544833281452,4.999999999996225e-09,3.7757222166893345,2.88069288802543,28101.52960934652,20181.25569219405,4.9999999999991365e-09,3.77678466208304,2.9025451824838124,28071.192932446746,20151.895787560064,4.999999999992243e-09,3.77760800995978,2.88069288802543,28102.400959107825,20173.19057094992,5.0000000000492215e-09,3.7765455645660735,2.9025451824838124
1,CC-discharge,8,436.3636363636364,436.3636363636364,7.533431846513869,-54.52767323623,-27.16556946346511,-27.36210377276489,28439.967544767234,19852.084671406978,4.999999999995468e-09,3.765706537474151,3.2922876412003323,28413.469747835756,19845.031524039012,4.999999999997898e-09,3.7668384340692045,3.317127296524516,28379.15982507344,19811.50039297231,4.99999999999289e-09,3.7677253090397174,3.2922876412003323,28414.458053493145,19835.8502262796,5.00000000005026e-09,3.7665934124446645,3.317127296524516
1,CC-discharge,9,490.90909090909093,490.90909090909093,7.514111237647569,-54.52767323623,-27.166113521895827,-27.361559714334174,28755.13863701962,19516.617647344163,4.9999999999970214e-09,3.75598288323419,3.7038913001803397,28725.40378918252,19508.814184256007,4.999999999997862e-09,3.7571810294914743,3.7317005047601155,28687.132769325486,19471.09803524066,4.9999999999925745e-09,3.758128354413379,3.7038913001803397,28726.50904844983,19498.51673264972,5.0000000000456745e-09,3.7569302081560942,3.7317005047601155
1,CC-discharge,10,545.4545454545455,545.4545454545455,7.495305772384737,-54.52767323623,-27.166586832500826,-27.36108640372917,29070.315131197178,19181.14466053318,4.999999999997083e-09,3.7465194827663644,4.115502666501527,29037.332520887874,19172.60277783698,4.999999999998001e-09,3.7477811358074065,4.146266005654535,28995.110992128986,19130.689627037955,4.999999999992583e-09,3.7487862896183723,4.115502666501527,29038.554731774286,19161.189192081354,5.000000000043175e-09,3.7475246365773303,4.146266005654535
1,CC-discharge,11,600.0,600.0,7.4769647606222716,-54.52767323623,-27.16700196635474,-27.36067126987526,29385.496371026093,18845.666449000255,4.999999999997264e-09,3.737290663010265,4.527120763462554,29349.256589051736,18836.396570392884,4.999999999997858e-09,3.7386134079610613,4.560824775909114,29303.09385219847,18790.275917248153,4.999999999992703e-09,3.739674097612006,4.527120763462554,29350.59574980902,18823.86686774684,5.000000000037343e-09,3.7383513526612093,4.560824775909114
1,CC-discharge,12,654.5454545454545,654.5454545454545,7.4590469483302595,-54.52767323623,-27.16736850155319,-27.360304734676813,29700.6818062402,18510.183627964703,4.999999999996739e-09,3.728275563760595,4.9387447821588255,29661.17653454476,18500.194949735782,4.999999999997521e-09,3.7296572181566336,4.9753776244284476,29611.08081183546,18449.85753014167,4.9999999999930195e-09,3.730771384569665,4.9387447821588255,29662.632643627236,18486.549145426394,5.000000000029841e-09,3.729389730173626,4.9753776244284476
1,CC-discharge,13,709.0909090909091,709.0909090909091,7.441518591341779,-54.52767323623,-27.167693808469725,-27.359979427760276,30015.870968727744,18174.69671825157,4.9999999999963e-09,3.719457149688459,5.350374042083242,29973.092817380486,18163.997397607345,4.999999999998006e-09,3.7208956931420443,5.389925231719638,29919.07141361921,18109.434994205698,4.999999999993272e-09,3.7220614416533198,5.350374042083242,29974.66587341484,18149.23550514097,5.00000000002994e-09,3.7206228981997347,5.389925231719638
1,CC-discharge,14,763.6363636363636,763.6363636363636,7.42435195468233,-54.52767323623,-27.16798359697446,-27.35968963925554,30331.06345420602,17839.206167605844,4.999999999996456e-09,3.7108214419271865,5.762007961821455,30285.005834834737,17827.803468469236,4.999999999998117e-09,3.7123149641795536,5.8044681791970305,30227.065262500524,17769.00876377221,4.999999999994913e-09,3.7135305127551437,5.762007961821455,30286.695836596435,17811.92549987344,5.0000000000274484e-09,3.7120369905027766,5.8044681791970305
1,CC-discharge,15,818.1818181818182,818.1818181818182,7.407524129894417,-54.52767323623,-27.168242299308847,-27.359430936921154,30646.25890801841,17503.712367037486,4.99999999999553e-09,3.702356913504433,6.173646036793299,30596.91593541591,17491.61277323847,4.9999999999977866e-09,3.7039035759640635,6.219006971440794,30535.06201192247,17428.579235603956,4.999999999995907e-09,3.705167216389984,6.173646036793299,30598.722881811344,17474.6187392488,5.000000000023557e-09,3.7036205539303535,6.219006971440794
1,CC-discharge,16,872.7272727272727,872.7272727272727,7.391016092476334,-54.52767323623,-27.16847333685284,-27.359199899377163,30961.45701383432,17168.215663702085,4.999999999997002e-09,3.6940540083514573,6.585287821915736,30908.823429970347,17155.424966469996,4.999999999996362e-09,3.695652015572436,6.633542053533962,30843.06135277914,17088.146761963377,4.999999999997022e-09,3.6969620841248765,6.585287821915736,30910.747320022503,17137.31487667546,5.000000000023657e-09,3.6953640769038976,6.633542053533962
1,CC-discharge,17,927.2727272727273,927.2727272727273,7.374811941840567,-54.52767323623,-27.168679302673112,-27.35899393355689,31276.65748433728,16832.716371398776,4.999999999994866e-09,3.685904754172084,6.99693291766972,31220.72860083348,16819.23973591088,4.9999999999946325e-09,3.6875523326649535,7.048073824995583,31151.063004316242,16747.711661266658,4.999999999995556e-09,3.6889071876684825,6.99693291766972,31222.7694336711,16800.01359886385,5.000000000020751e-09,3.6872596091756136,7.048073824995583
1,CC-discharge,18,981.8181818181819,981.8181818181819,7.358898280826705,-54.52767323623,-27.168862081009003,-27.358811155221,31591.860053206023,16497.21477949939,4.999999999997877e-09,3.6779024470496093,7.408580958455191,31532.631709709476,16483.0567936158,4.999999999994215e-09,3.679597829471418,7.462602651425719,31459.066706294583,16407.274227142552,4.9999999999958146e-09,3.6809958337770956,7.408580958455191,31534.789484559667,16462.714616912726,5.000000000021651e-09,3.679300451355287,7.462602651425719
1,CC-discharge,19,1036.3636363636365,1036.3636363636365,7.343263702214065,-54.52767323623,-27.16902291763412,-27.35865031859588,31907.06446784038,16161.71116093075,4.999999999996663e-09,3.6700413910693013,7.820231602384307,31844.53300481897,16146.875868002518,4.9999999999960205e-09,3.6717828042977985,7.877128874712211,31767.07221188368,16066.834736533046,4.999999999995378e-09,3.6732223111447637,7.820231602384307,31846.807721001762,16125.417658338445,5.000000000021256e-09,3.671480897916267,7.877128874712211
