Cycle,Pack Capacity,"Cell 1,1"
1,27.1376096707658,27.1376096707658
2,21.669869084142853,21.669869084142853
3,21.66710207461005,21.66710207461005
4,21.66433561132316,21.66433561132316
5,21.661569701475678,21.661569701475678
6,21.658803582151414,21.658803582151414
7,21.656037523559316,21.656037523559316
8,21.653272168931,21.653272168931
9,21.650507465735775,21.650507465735775
10,21.64774329897279,21.64774329897279
11,21.644979565823142,21.644979565823142
12,21.642216176169168,21.642216176169168
13,21.63945257533299,21.63945257533299
14,21.636688456084222,21.636688456084222
15,21.6339246156855,21.6339246156855
16,21.631161583407113,21.631161583407113
17,21.62839924048305,21.62839924048305
18,21.62563748840843,21.62563748840843
19,21.622876214285753,21.622876214285753
20,21.62011531488534,21.62011531488534
21,21.617354210719537,21.617354210719537
22,21.61459165551699,21.61459165551699
23,21.611832612141903,21.611832612141903
24,21.60907322355057,21.60907322355057
25,21.606313533645007,21.606313533645007
26,21.60355191252062,21.60355191252062
27,21.600795941741787,21.600795941741787
28,21.598037090742263,21.598037090742263
29,21.595277774272837,21.595277774272837
30,21.592522503733417,21.592522503733417
31,21.589766212492716,21.589766212492716
32,21.58700583456213,21.58700583456213
33,21.584249492125448,21.584249492125448
34,21.581494198582572,21.581494198582572
35,21.57873928283148,21.57873928283148
36,21.5759833569969,21.5759833569969
37,21.57322372858065,21.57322372858065
38,21.57046755478756,21.57046755478756
39,21.56771221103199,21.56771221103199
40,21.564952296832207,21.564952296832207
41,21.562202737431136,21.562202737431136
42,21.55944907626319,21.55944907626319
43,21.55669390436443,21.55669390436443
44,21.55393871080651,21.55393871080651
45,21.551184261278046,21.551184261278046
46,21.5484303913713,21.5484303913713
47,21.54567573387328,21.54567573387328
48,21.542921269248218,21.542921269248218
49,21.540168143216675,21.540168143216675
50,21.53741627492266,21.53741627492266
51,21.534665141194004,21.534665141194004
52,21.53191445887577,21.53191445887577
53,21.529164245199496,21.529164245199496
54,21.526414432207705,21.526414432207705
55,21.523664864692925,21.523664864692925
56,21.520914957887204,21.520914957887204
57,21.51816515847245,21.51816515847245
58,21.515415832213368,21.515415832213368
59,21.51266700997229,21.51266700997229
60,21.509918063592515,21.509918063592515
61,21.507169640944166,21.507169640944166
62,21.504421746751568,21.504421746751568
63,21.501674371918057,21.501674371918057
64,21.498927194061622,21.498927194061622
65,21.496180549605317,21.496180549605317
66,21.493434241141554,21.493434241141554
67,21.490688415682126,21.490688415682126
68,21.487943052275725,21.487943052275725
69,21.485197414853776,21.485197414853776
70,21.482452077214443,21.482452077214443
71,21.47969698767376,21.47969698767376
72,21.476938594750134,21.476938594750134
73,21.474210327196328,21.474210327196328
74,21.471451183164675,21.471451183164675
75,21.468723477778777,21.468723477778777
76,21.46596216402372,21.46596216402372
77,21.463237242572937,21.463237242572937
78,21.460475394395917,21.460475394395917
79,21.457753898234373,21.457753898234373
80,21.454991046898733,21.454991046898733
81,21.452272755481726,21.452272755481726
82,21.449508684461037,21.449508684461037
83,21.446793504226353,21.446793504226353
84,21.444028034515135,21.444028034515135
85,21.44131574375264,21.44131574375264
86,21.438549213352992,21.438549213352992
87,21.435839476811022,21.435839476811022
88,21.43306782152763,21.43306782152763
89,21.43035940920705,21.43035940920705
90,21.427592129760534,21.427592129760534
91,21.424885773740506,21.424885773740506
92,21.422113382619123,21.422113382619123
93,21.419411102197795,21.419411102197795
94,21.41663891856563,21.41663891856563
95,21.41393157243471,21.41393157243471
96,21.41116107567739,21.41116107567739
97,21.408455480698734,21.408455480698734
98,21.40568873107896,21.40568873107896
99,21.402985858463463,21.402985858463463
100,21.40022057736089,21.40022057736089
101,21.397512503643547,21.397512503643547
102,21.394754404933654,21.394754404933654
103,21.392039226171065,21.392039226171065
104,21.389284571123355,21.389284571123355
105,21.386572991095388,21.386572991095388
106,21.383819301534626,21.383819301534626
107,21.381106138765706,21.381106138765706
108,21.378349822379626,21.378349822379626
109,21.375640432123017,21.375640432123017
110,21.372883260535236,21.372883260535236
111,21.37017430268203,21.37017430268203
112,21.367422704335656,21.367422704335656
113,21.36470423487823,21.36470423487823
114,21.361963514831725,21.361963514831725
115,21.359244381903142,21.359244381903142
116,21.35650494978939,21.35650494978939
117,21.35378113090613,21.35378113090613
118,21.351045055756185,21.351045055756185
119,21.34831802753806,21.34831802753806
120,21.345591935876097,21.345591935876097
121,21.342864027766243,21.342864027766243
122,21.340136080134045,21.340136080134045
123,21.337407756535978,21.337407756535978
124,21.33468231644662,21.33468231644662
125,21.331950291194044,21.331950291194044
126,21.329231554997,21.329231554997
127,21.32649582911201,21.32649582911201
128,21.323779559830697,21.323779559830697
129,21.32104548165437,21.32104548165437
