Cycle,Pack Capacity,"Cell 1,1"
1,26.571498335086265,26.571498335086265
2,26.249408030105492,26.249408030105492
3,26.239503623667648,26.239503623667648
4,26.229600066908226,26.229600066908226
5,26.219719562078737,26.219719562078737
6,26.209815268450065,26.209815268450065
7,26.199890625229415,26.199890625229415
8,26.189987883461846,26.189987883461846
9,26.180089565444685,26.180089565444685
10,26.170187584104966,26.170187584104966
11,26.160277515739754,26.160277515739754
12,26.15036480445987,26.15036480445987
13,26.1404551061402,26.1404551061402
14,26.130544335054317,26.130544335054317
15,26.1206378942752,26.1206378942752
16,26.110718995389103,26.110718995389103
17,26.10080381015707,26.10080381015707
18,26.090888638231373,26.090888638231373
19,26.080971806791034,26.080971806791034
20,26.071054425402554,26.071054425402554
21,26.061136120868632,26.061136120868632
22,26.05120332770012,26.05120332770012
23,26.04128572744381,26.04128572744381
24,26.031377333818853,26.031377333818853
25,26.02145051638776,26.02145051638776
26,26.01152058144656,26.01152058144656
27,26.001588552924844,26.001588552924844
28,25.99167482957282,25.99167482957282
29,25.981745501391053,25.981745501391053
30,25.971812437715155,25.971812437715155
