Cycle,Pack Capacity,"Cell 1,1"
1,26.57247856649256,26.57247856649256
2,27.079474769279443,27.079474769279443
3,27.07513894490778,27.07513894490778
4,27.070790531438586,27.070790531438586
5,27.066433406539417,27.066433406539417
6,27.062072889969837,27.062072889969837
7,27.05770151956748,27.05770151956748
8,27.05334624048601,27.05334624048601
9,27.04899725284826,27.04899725284826
10,27.044641218059656,27.044641218059656
11,27.040272077030355,27.040272077030355
12,27.03590873542701,27.03590873542701
13,27.031552198396557,27.031552198396557
14,27.02720162504266,27.02720162504266
15,27.02283709152679,27.02283709152679
16,27.018470917350047,27.018470917350047
17,27.01410701208605,27.01410701208605
18,27.00974682703666,27.00974682703666
19,27.005392292515747,27.005392292515747
20,27.001020957581744,27.001020957581744
21,26.9966542746335,26.9966542746335
22,26.99229138777973,26.99229138777973
23,26.987931154973065,26.987931154973065
24,26.983551979605917,26.983551979605917
25,26.979175359618523,26.979175359618523
26,26.9748053466694,26.9748053466694
27,26.970440779652286,26.970440779652286
28,26.966081506994904,26.966081506994904
29,26.961708412940048,26.961708412940048
30,26.95733818533768,26.95733818533768
31,26.95297253903425,26.95297253903425
32,26.948611312763145,26.948611312763145
33,26.94424876035185,26.94424876035185
34,26.93987309442707,26.93987309442707
35,26.93549426320377,26.93549426320377
36,26.931116777109,26.931116777109
37,26.926745701238318,26.926745701238318
38,26.922369089469885,26.922369089469885
39,26.917989838639365,26.917989838639365
40,26.913616197602014,26.913616197602014
41,26.909247993048538,26.909247993048538
42,26.904910970159275,26.904910970159275
43,26.90053234272748,26.90053234272748
44,26.896154342855866,26.896154342855866
45,26.891777770250282,26.891777770250282
46,26.887404171969862,26.887404171969862
47,26.8830347183586,26.8830347183586
48,26.878653912956725,26.878653912956725
49,26.87430085786434,26.87430085786434
50,26.86992678602321,26.86992678602321
