Cycle,Protocol,Stamps,Time,Global Time,Pack Voltage,Pack Current,String 1 Iapp,"Cell 1,1 Cathode Concentration","Cell 1,1 Anode Concentration","Cell 1,1 Anode SEI Length","Cell 1,1 Voltage","Cell 1,1 Anode Side Current","Cell 1,1 Anode Intercalation Current"
1,CC-discharge,0,0.0,0.0,3.8661025236782343,-27.263836618115,-27.263836618115,25777.499999999996,22610.7,0.0,3.8661025236782343,-5.226317767488155e-21,0.40105673165806116
1,CC-discharge,1,72.72727272727273,72.72727272727273,3.8407754605355167,-27.263836618115,-27.263836618115,26346.408496422606,22074.14237230762,9.53626154572572e-16,3.8407754605355167,5.55013889520406e-30,0.4010567316580611
1,CC-discharge,2,145.45454545454547,145.45454545454547,3.8238469245529183,-27.263836618115,-27.263836618115,26765.99848269958,21620.66260416202,9.492051989062033e-16,3.8238469245529183,-1.870651817565681e-23,0.40105673165806116
1,CC-discharge,3,218.1818181818182,218.1818181818182,3.8081641442039142,-27.263836618115,-27.263836618115,27183.724759543125,21167.207264064542,9.492004123217147e-16,3.8081641442039142,9.06992991832835e-26,0.40105673165806116
1,CC-discharge,4,290.90909090909093,290.90909090909093,3.793416610170101,-27.263836618115,-27.263836618115,27601.42225372988,20713.751873270943,9.492004355898818e-16,3.793416610170101,1.880218587848729e-27,0.40105673165806116
1,CC-discharge,5,363.6363636363637,363.6363636363637,3.7794140790953596,-27.263836618115,-27.263836618115,28019.117528388928,20260.29648173282,9.492004346659946e-16,3.7794140790953596,5.275738945623945e-29,0.40105673165806116
1,CC-discharge,6,436.3636363636364,436.3636363636364,3.766025179752284,-27.263836618115,-27.263836618115,28436.81263120129,19806.84109018404,9.492004343324017e-16,3.766025179752284,-2.8532630603942584e-29,0.40105673165806116
1,CC-discharge,7,509.0909090909091,509.0909090909091,3.7531581586371843,-27.263836618115,-27.263836618115,28854.507720648202,19353.38569863477,9.49200434377391e-16,3.7531581586371843,6.681455495542323e-30,0.40105673165806116
1,CC-discharge,8,581.8181818181819,581.8181818181819,3.7407304394918888,-27.263836618115,-27.263836618115,29272.202809050203,18899.930307085433,9.492004346911888e-16,3.7407304394918888,-1.884819934117703e-29,0.40105673165806116
1,CC-discharge,9,654.5454545454546,654.5454545454546,3.7286927089569417,-27.263836618115,-27.263836618115,29689.897897369596,18446.474915536168,9.492004349035752e-16,3.7286927089569417,-6.623375802294983e-31,0.40105673165806116
1,CC-discharge,10,727.2727272727274,727.2727272727274,3.7170033227125314,-27.263836618115,-27.263836618115,30107.592985682964,17993.019523986757,9.49200435672228e-16,3.7170033227125314,1.8175632186277764e-29,0.40105673165806116
1,CC-discharge,11,800.0000000000001,800.0000000000001,3.70563025443967,-27.263836618115,-27.263836618115,30525.288073996206,17539.5641324376,9.492004356592795e-16,3.70563025443967,3.971619514232435e-30,0.40105673165806116
1,CC-discharge,12,872.7272727272727,872.7272727272727,3.694548648643239,-27.263836618115,-27.263836618115,30942.983162308923,17086.108740888172,9.49200435879237e-16,3.694548648643239,6.0686029652399156e-30,0.40105673165806116
1,CC-discharge,13,945.4545454545455,945.4545454545455,3.6837390052155765,-27.263836618115,-27.263836618115,31360.678250621884,16632.653349339707,9.492004357899543e-16,3.6837390052155765,-5.078032440605602e-30,0.40105673165806116
1,CC-discharge,14,1018.1818181818182,1018.1818181818182,3.6731858026844266,-27.263836618115,-27.263836618115,31778.373338934693,16179.197957790526,9.492004358420527e-16,3.6731858026844266,2.4034038887255495e-30,0.40105673165806116
1,CC-discharge,15,1090.909090909091,1090.909090909091,3.6628764284218485,-27.263836618115,-27.263836618115,32196.068427247777,15725.742566241071,9.492004358447482e-16,3.6628764284218485,-1.4167300052075064e-30,0.40105673165806116
1,CC-discharge,16,1163.6363636363637,1163.6363636363637,3.652800322440969,-27.263836618115,-27.263836618115,32613.763515560237,15272.287174691462,9.49200436132978e-16,3.652800322440969,-3.352097893776831e-29,0.40105673165806116
1,CC-discharge,17,1236.3636363636365,1236.3636363636365,3.6429482677904534,-27.263836618115,-27.263836618115,33031.458603873296,14818.831783142154,9.492004360322971e-16,3.6429482677904534,-2.694012980690402e-29,0.40105673165806116
1,CC-discharge,18,1309.0909090909092,1309.0909090909092,3.6333117767026284,-27.263836618115,-27.263836618115,33449.15369218613,14365.376391593027,9.49200436099602e-16,3.6333117767026284,-1.3877047159160717e-29,0.40105673165806116
1,CC-discharge,19,1381.818181818182,1381.818181818182,3.6238825324777286,-27.263836618115,-27.263836618115,33866.84878049883,13911.92100004373,9.49200436011897e-16,3.6238825324777286,3.792905306343438e-30,0.40105673165806116
1,CC-discharge,20,1454.5454545454547,1454.5454545454547,3.6146518536053573,-27.263836618115,-27.263836618115,34284.54386881154,13458.465608494089,9.492004359931306e-16,3.6146518536053573,-2.6392866889264425e-29,0.40105673165806116
1,CC-discharge,21,1527.2727272727275,1527.2727272727275,3.6056101501370432,-27.263836618115,-27.263836618115,34702.23895712431,13005.010216945071,9.492004352992903e-16,3.6056101501370432,-5.131571680718247e-29,0.40105673165806116
1,CC-discharge,22,1600.0000000000002,1600.0000000000002,3.596746344547573,-27.263836618115,-27.263836618115,35119.93404543734,12551.55482539591,9.49200434696731e-16,3.596746344547573,1.049751246694706e-30,0.40105673165806116
1,CC-discharge,23,1672.727272727273,1672.727272727273,3.588047221469107,-27.263836618115,-27.263836618115,35537.629133749935,12098.099433846555,9.49200435064533e-16,3.588047221469107,6.027645934884292e-30,0.40105673165806116
1,CC-discharge,24,1745.4545454545455,1745.4545454545455,3.5794961981165447,-27.263836618115,-27.263836618115,35955.32422206288,11644.644042297428,9.492004348264994e-16,3.5794961981165447,2.583600709618001e-29,0.40105673165806116
1,CC-discharge,25,1818.1818181818182,1818.1818181818182,3.5710746611078292,-27.263836618115,-27.263836618115,36373.019310375545,11191.18865074839,9.492004348726132e-16,3.5710746611078292,2.392545347060187e-30,0.40105673165806116
1,CC-discharge,26,1890.909090909091,1890.909090909091,3.562757098854825,-27.263836618115,-27.263836618115,36790.714398688324,10737.733259199218,9.492004347816936e-16,3.562757098854825,1.9494533046132437e-29,0.40105673165806116
1,CC-discharge,27,1963.6363636363637,1963.6363636363637,3.5545127449435143,-27.263836618115,-27.263836618115,37208.40948700123,10284.277867650135,9.492004349349283e-16,3.5545127449435143,1.3830887377343677e-29,0.40105673165806116
1,CC-discharge,28,2036.3636363636365,2036.3636363636365,3.5463031993579666,-27.263836618115,-27.263836618115,37626.10457531452,9830.822476100986,9.492004348305754e-16,3.5463031993579666,-9.211959909376582e-30,0.40105673165806116
1,CC-discharge,29,2109.0909090909095,2109.0909090909095,3.5380804739681944,-27.263836618115,-27.263836618115,38043.79966362718,9377.367084551994,9.492004344658262e-16,3.5380804739681944,2.5539912935831277e-29,0.40105673165806116
1,CC-discharge,30,2181.818181818182,2181.818181818182,3.5297845484169628,-27.263836618115,-27.263836618115,38461.494751940445,8923.911693002961,9.492004346714908e-16,3.5297845484169628,-4.4180724244723264e-30,0.40105673165806116
1,CC-discharge,31,2254.545454545455,2254.545454545455,3.5213404736457568,-27.263836618115,-27.263836618115,38879.18984025352,8470.456301453809,9.49200434818576e-16,3.5213404736457568,-9.261385142821431e-30,0.40105673165806116
1,CC-discharge,32,2327.2727272727275,2327.2727272727275,3.5126553541626664,-27.263836618115,-27.263836618115,39296.88492856611,8017.000909904814,9.492004348527763e-16,3.5126553541626664,3.952475347115003e-30,0.40105673165806116
1,CC-discharge,33,2400.0,2400.0,3.503611097263047,-27.263836618115,-27.263836618115,39714.58001687853,7563.545518355471,9.492004348753326e-16,3.503611097263047,2.633806739542323e-29,0.40105673165806116
