#,protocol,Time,Clock,Pack Voltage,Pack Current,"Cell 1,1 Cathode Concentration","Cell 1,1 Anode Concentration","Cell 1,1 Voltage","Cell 1,1 Anode SEI Length","Cell 1,1 Capacity by Area","Cell 1,2 Cathode Concentration","Cell 1,2 Anode Concentration","Cell 1,2 Voltage","Cell 1,2 Anode SEI Length","Cell 1,2 Capacity by Area","Cell 2,1 Cathode Concentration","Cell 2,1 Anode Concentration","Cell 2,1 Voltage","Cell 2,1 Anode SEI Length","Cell 2,1 Capacity by Area","Cell 2,2 Cathode Concentration","Cell 2,2 Anode Concentration","Cell 2,2 Voltage","Cell 2,2 Anode SEI Length","Cell 2,2 Capacity by Area"
1,CC_Discharge,0.0,0.0,7.731402934336724,-54.52767323623,25777.5,22610.7,3.865701467168362,5e-09,0.0,25777.5,22610.7,3.865701467168362,5e-09,0.0,25777.5,22610.7,3.865701467168362,5e-09,0.0,25777.5,22610.7,3.865701467168362,5e-09,0.0
1,CC_Discharge,40.4040404040404,40.4040404040404,7.697350816613992,-54.52767323623,26140.306503499865,22283.11223690173,3.848675408306996,5.000000000000001e-09,0.3059914323020757,26140.306503499873,22283.112236901772,3.8486754083069936,5e-09,0.30599143230207687,26140.306503499865,22283.112236901725,3.848675408306996,5e-09,0.3059914323020757,26140.306503499873,22283.11223690179,3.8486754083069954,5.000000000000507e-09,0.30599143230207687
1,CC_Discharge,80.8080808080808,80.8080808080808,7.676822986602583,-54.52767323623,26381.044495305967,22030.508029731078,3.838411493301292,5.000000000000001e-09,0.611982864604155,26381.044495305974,22030.50802973115,3.8384114933012956,5e-09,0.6119828646041501,26381.04449530597,22030.50802973108,3.838411493301291,5e-09,0.611982864604155,26381.044495306018,22030.508029731205,3.838411493301288,5.000000000000195e-09,0.6119828646041501
1,CC_Discharge,121.2121212121212,121.2121212121212,7.657855900167638,-54.52767323623,26614.15737466203,21778.581498906184,3.828927950083817,5.000000000000001e-09,0.9179742969062343,26614.157374661987,21778.58149890633,3.8289279500838225,5e-09,0.9179742969062235,26614.157374662027,21778.581498906256,3.828927950083821,5e-09,0.9179742969062343,26614.157374662034,21778.581498906457,3.8289279500838163,5.000000000002897e-09,0.9179742969062235
1,CC_Discharge,161.6161616161616,161.6161616161616,7.6397516154685245,-54.52767323623,26846.35108376042,21526.661728208957,3.8198758077342605,5.000000000000001e-09,1.2239657292083086,26846.35108376033,21526.661728209234,3.819875807734263,5e-09,1.2239657292083017,26846.351083760375,21526.661728209096,3.8198758077342636,5e-09,1.2239657292083086,26846.3510837604,21526.661728209336,3.8198758077342614,5.000000000002901e-09,1.2239657292083017
1,CC_Discharge,202.02020202020202,202.02020202020202,7.6223411463095685,-54.52767323623,27078.43242973726,21274.742059099222,3.8111705731547842,5.000000000000001e-09,1.5299571615103844,27078.43242973721,21274.74205909947,3.8111705731547874,5e-09,1.5299571615103786,27078.432429737255,21274.742059099404,3.8111705731547842,5e-09,1.5299571615103844,27078.432429737295,21274.742059099644,3.8111705731547816,5.000000000002911e-09,1.5299571615103786
1,CC_Discharge,242.4242424242424,242.4242424242424,7.60553158012704,-54.52767323623,27310.49103740073,21022.82239665752,3.802765790063521,5.000000000000001e-09,1.8359485938124598,27310.491037400716,21022.822396657702,3.802765790063519,5e-09,1.8359485938124556,27310.49103740075,21022.822396657673,3.802765790063519,5e-09,1.8359485938124598,27310.49103740078,21022.82239665796,3.802765790063521,5.000000000003699e-09,1.8359485938124556
1,CC_Discharge,282.8282828282828,282.8282828282828,7.589250445120628,-54.52767323623,27542.545037422486,20770.90273465483,3.7946252225603128,5.000000000000001e-09,2.1419400261145354,27542.545037422442,20770.902734654806,3.794625222560313,5e-09,2.1419400261145327,27542.54503742246,20770.902734654886,3.794625222560315,5e-09,2.1419400261145354,27542.545037422526,20770.90273465515,3.7946252225603168,5.000000000003489e-09,2.1419400261145327
1,CC_Discharge,323.2323232323232,323.2323232323232,7.573438284648784,-54.52767323623,27774.5981026498,20518.98307268101,3.7867191423243893,5.000000000000001e-09,2.447931458416614,27774.598102649747,20518.98307268107,3.7867191423243924,5e-09,2.4479314584166065,27774.598102649794,20518.983072681247,3.7867191423243947,5e-09,2.447931458416614,27774.598102649838,20518.983072681334,3.786719142324391,5.000000000003076e-09,2.4479314584166065
1,CC_Discharge,363.6363636363636,363.6363636363636,7.558045513998948,-54.52767323623,28006.650977994053,20267.063410709135,3.7790227569994723,5.000000000000001e-09,2.7539228907186932,28006.650977994024,20267.063410709176,3.779022756999474,5e-09,2.7539228907186803,28006.650977994017,20267.063410709365,3.779022756999476,5e-09,2.7539228907186932,28006.650977994064,20267.063410709416,3.7790227569994745,5.000000000003283e-09,2.7539228907186803
1,CC_Discharge,404.04040404040404,404.04040404040404,7.543030467321169,-54.52767323623,28238.70381471741,20015.143748737373,3.7715152336605837,5.000000000000001e-09,3.0599143230207697,28238.703814717443,20015.143748737428,3.7715152336605806,5e-09,3.059914323020757,28238.703814717363,20015.14374873767,3.7715152336605855,5e-09,3.0599143230207697,28238.70381471737,20015.14374873773,3.7715152336605873,5.000000000003029e-09,3.059914323020757
1,CC_Discharge,444.4444444444444,444.4444444444444,7.528357953503058,-54.52767323623,28470.75664357461,19763.22408676558,3.764178976751529,5.000000000000001e-09,3.3659057553228435,28470.756643574525,19763.224086765727,3.7641789767515292,5e-09,3.365905755322835,28470.756643574634,19763.22408676601,3.7641789767515283,5e-09,3.3659057553228435,28470.756643574692,19763.22408676605,3.7641789767515266,5.0000000000028746e-09,3.365905755322835
1,CC_Discharge,484.8484848484848,484.8484848484848,7.513998124477265,-54.52767323623,28702.809470827437,19511.304424793914,3.7569990622386324,5.000000000000001e-09,3.671897187624917,28702.809470827273,19511.30442479404,3.7569990622386356,5e-09,3.6718971876249147,28702.80947082742,19511.304424794256,3.7569990622386324,5e-09,3.671897187624917,28702.809470827513,19511.304424794398,3.756999062238629,5.000000000002652e-09,3.6718971876249147
