Cycle,Protocol,Stamps,Time,Global Time,Pack Voltage,Pack Current,String 1 Iapp,"Cell 1,1 Cathode Concentration","Cell 1,1 Anode Concentration","Cell 1,1 Anode SEI Length","Cell 1,1 Voltage"
1,CC-discharge,0,0.0,0.0,3.865469773892182,-27.263836618115,-27.263836618115,25777.5,22610.7,5e-09,3.865469773892182
1,CC-discharge,1,72.72727272727273,72.72727272727273,3.8401490444931827,-27.263836618115,-27.263836618115,26338.556087849403,22075.533836615712,5e-09,3.8401490444931827
1,CC-discharge,2,145.45454545454547,145.45454545454547,3.823220001021822,-27.263836618115,-27.263836618115,26757.925987611576,21619.752152661895,5e-09,3.823220001021822
1,CC-discharge,3,218.1818181818182,218.1818181818182,3.8075438679962743,-27.263836618115,-27.263836618115,27175.410603618377,21163.9953069908,5e-09,3.8075438679962743
1,CC-discharge,4,290.90909090909093,290.90909090909093,3.7927900350225463,-27.263836618115,-27.263836618115,27592.87646743107,20708.238212279946,5e-09,3.7927900350225463
1,CC-discharge,5,363.6363636363637,363.6363636363637,3.7787881327089585,-27.263836618115,-27.263836618115,28010.341016739378,20252.48111440192,5e-09,3.7787881327089585
1,CC-discharge,6,436.3636363636364,436.3636363636364,3.7653966761473012,-27.263836618115,-27.263836618115,28427.805464896206,19796.724016477558,5e-09,3.7653966761473012
1,CC-discharge,7,509.0909090909091,509.0909090909091,3.752521624738516,-27.263836618115,-27.263836618115,28845.2699058685,19340.966918552436,5e-09,3.752521624738516
1,CC-discharge,8,581.8181818181819,581.8181818181819,3.7400910743742117,-27.263836618115,-27.263836618115,29262.73434634125,18885.20982062752,5e-09,3.7400910743742117
1,CC-discharge,9,654.5454545454546,654.5454545454546,3.7280504568711996,-27.263836618115,-27.263836618115,29680.198786778634,18429.45272270259,5e-09,3.7280504568711996
1,CC-discharge,10,727.2727272727274,727.2727272727274,3.7163581713749667,-27.263836618115,-27.263836618115,30097.663227213394,17973.69562477761,5e-09,3.7163581713749667
1,CC-discharge,11,800.0000000000001,800.0000000000001,3.704982221608327,-27.263836618115,-27.263836618115,30515.127667648052,17517.93852685273,5e-09,3.704982221608327
1,CC-discharge,12,872.7272727272727,872.7272727272727,3.6938977683256975,-27.263836618115,-27.263836618115,30932.592108082823,17062.181428928037,5e-09,3.6938977683256975
1,CC-discharge,13,945.4545454545455,945.4545454545455,3.6830853161497483,-27.263836618115,-27.263836618115,31350.056548517707,16606.42433100298,5e-09,3.6830853161497483
1,CC-discharge,14,1018.1818181818182,1018.1818181818182,3.6725293356565847,-27.263836618115,-27.263836618115,31767.520988952547,16150.667233078446,5e-09,3.6725293356565847
1,CC-discharge,15,1090.909090909091,1090.909090909091,3.662217191592731,-27.263836618115,-27.263836618115,32184.98542938717,15694.910135153446,5e-09,3.662217191592731
1,CC-discharge,16,1163.6363636363637,1163.6363636363637,3.65213828367079,-27.263836618115,-27.263836618115,32602.4498698219,15239.153037228605,5e-09,3.65213828367079
1,CC-discharge,17,1236.3636363636365,1236.3636363636365,3.642283332418439,-27.263836618115,-27.263836618115,33019.91431025696,14783.395939303588,5e-09,3.642283332418439
1,CC-discharge,18,1309.0909090909092,1309.0909090909092,3.6326437594959664,-27.263836618115,-27.263836618115,33437.378750691845,14327.638841378639,5e-09,3.6326437594959664
1,CC-discharge,19,1381.818181818182,1381.818181818182,3.6232111196970256,-27.263836618115,-27.263836618115,33854.84319112639,13871.881743453741,5e-09,3.6232111196970256
1,CC-discharge,20,1454.5454545454547,1454.5454545454547,3.6139765562078794,-27.263836618115,-27.263836618115,34272.30763156127,13416.124645528842,5e-09,3.6139765562078794
1,CC-discharge,21,1527.2727272727275,1527.2727272727275,3.604930241299014,-27.263836618115,-27.263836618115,34689.772071996216,12960.367547603852,5e-09,3.604930241299014
