Cycle,Pack Capacity,"Cell 1,1"
1,26.965091468078644,26.965091468078644
2,28.09853506677069,28.09853506677069
3,28.09449424892517,28.09449424892517
4,28.090457067046145,28.090457067046145
5,28.08642074769237,28.08642074769237
6,28.08237265668154,28.08237265668154
7,28.078334844382436,28.078334844382436
8,28.07429690410299,28.07429690410299
9,28.070260970442224,28.070260970442224
10,28.066228057002203,28.066228057002203
11,28.06219750770412,28.06219750770412
12,28.058168684866864,28.058168684866864
13,28.054141077473155,28.054141077473155
14,28.050105567283822,28.050105567283822
15,28.04607772859531,28.04607772859531
16,28.042049545566126,28.042049545566126
17,28.03802354024783,28.03802354024783
18,28.03400363288434,28.03400363288434
19,28.029979921528216,28.029979921528216
20,28.02595749969303,28.02595749969303
21,28.021930741690436,28.021930741690436
22,28.01791140936565,28.01791140936565
23,28.013893432263878,28.013893432263878
24,28.009874988972495,28.009874988972495
25,28.005857880331305,28.005857880331305
26,28.001840962777795,28.001840962777795
27,27.99784492148997,27.99784492148997
28,27.9938250349434,27.9938250349434
29,27.989814409783794,27.989814409783794
30,27.985800471513777,27.985800471513777
31,27.981782694670272,27.981782694670272
32,27.977769086444457,27.977769086444457
33,27.973756440378967,27.973756440378967
34,27.969748058712025,27.969748058712025
35,27.96573834534521,27.96573834534521
36,27.961730212947554,27.961730212947554
37,27.957712085738578,27.957712085738578
38,27.953711046932316,27.953711046932316
39,27.949705742595164,27.949705742595164
40,27.945704781343156,27.945704781343156
41,27.9417011548777,27.9417011548777
42,27.93769984464234,27.93769984464234
43,27.933701333024363,27.933701333024363
44,27.929701524237412,27.929701524237412
45,27.92570411178694,27.92570411178694
46,27.921706974898765,27.921706974898765
47,27.91771259695475,27.91771259695475
48,27.91371783958243,27.91371783958243
49,27.909720437520292,27.909720437520292
50,27.905724832159535,27.905724832159535
51,27.90173318916432,27.90173318916432
52,27.897743399608903,27.897743399608903
53,27.89375524222426,27.89375524222426
54,27.889768491316858,27.889768491316858
55,27.885777123901587,27.885777123901587
56,27.88178847696404,27.88178847696404
57,27.877796430625025,27.877796430625025
58,27.873807004978072,27.873807004978072
59,27.869836698373746,27.869836698373746
60,27.865837504717884,27.865837504717884
61,27.86184955533924,27.86184955533924
62,27.857867026117574,27.857867026117574
63,27.853892339031262,27.853892339031262
64,27.84990577524889,27.84990577524889
65,27.845927430530466,27.845927430530466
66,27.84194915188699,27.84194915188699
67,27.83797281759998,27.83797281759998
68,27.83399043587,27.83399043587
69,27.830024323816215,27.830024323816215
70,27.82604175949723,27.82604175949723
71,27.822070352641052,27.822070352641052
72,27.81809809179729,27.81809809179729
73,27.81412861799265,27.81412861799265
74,27.810164926664932,27.810164926664932
75,27.80619564368126,27.80619564368126
76,27.802219696128212,27.802219696128212
77,27.798249193941064,27.798249193941064
78,27.794282130179493,27.794282130179493
79,27.79031423636911,27.79031423636911
80,27.786348410851062,27.786348410851062
81,27.782381247038657,27.782381247038657
82,27.778415499467663,27.778415499467663
83,27.774451617714366,27.774451617714366
84,27.770487675529633,27.770487675529633
85,27.76652440113652,27.76652440113652
86,27.762563175884647,27.762563175884647
87,27.758609747710583,27.758609747710583
88,27.754647686210646,27.754647686210646
89,27.75069250150406,27.75069250150406
90,27.746738956356644,27.746738956356644
91,27.742786641473934,27.742786641473934
92,27.738835364127127,27.738835364127127
93,27.734884634747896,27.734884634747896
94,27.730934238478287,27.730934238478287
95,27.726985260346176,27.726985260346176
96,27.723032404615772,27.723032404615772
97,27.71908050236359,27.71908050236359
98,27.71512889518064,27.71512889518064
99,27.71117941544798,27.71117941544798
100,27.707230442410154,27.707230442410154
