Cycle,Pack Capacity,"Cell 1,1","Cell 1,2","Cell 1,3","Cell 1,4","Cell 1,5","Cell 1,6","Cell 1,7","Cell 1,8","Cell 1,9","Cell 1,10"
1,266.05456808702047,26.624333482970883,26.47023827058884,25.88787493145314,26.704124652673723,26.695869952474908,27.073487059603394,26.696249421749652,26.67980289725776,26.595518086894064,26.6270693313541
2,197.9005274431027,19.792642967190076,19.653352847454382,19.001768676750892,19.947845768192153,19.8658106531299,20.228680948001415,19.919545645931837,19.876036669212972,19.720102526667542,19.894740740571542
3,197.8487816496762,19.786895331746766,19.634167709094044,18.973646730684514,19.940903176487847,19.867011554528908,20.24442478997785,19.917303282072353,19.877699294759292,19.714900585456274,19.8918291948684
4,197.79705143621274,19.78111881516104,19.614919943828475,18.945522461767048,19.93392210453321,19.86822429936581,20.260334109250746,19.91505222049588,19.879378644248863,19.709672189504385,19.888906648057286
5,197.7453201284058,19.77531047909429,19.59560967694784,18.91740179576301,19.926900392648413,19.86945112388911,20.27639602791744,19.91278943701571,19.881074991756652,19.7044213862733,19.885964817100003
6,197.69357501437293,19.769468606605,19.5762368915616,18.88928005743294,19.919837181775378,19.870685828448295,20.29262109922984,19.910514003089595,19.882784054922386,19.699140766215944,19.883006525091968
7,197.64185985783067,19.763596003237364,19.556804742104813,18.861161379797284,19.91273636791854,19.871936659165005,20.309011838162306,19.90822953032219,19.884512843404075,19.693837154345253,19.88003333937383
8,197.59012740819438,19.75768799227863,19.537311994002696,18.833042036186853,19.905594674378026,19.873196978950787,20.32556099115325,19.90593154126924,19.886255184314834,19.68850456485399,19.877041450806043
9,197.5383964455184,19.75174607697567,19.51775551804995,18.804931499339016,19.898407056803215,19.87446796357608,20.34228344423717,19.90361875201578,19.888011997819962,19.683145016353496,19.874029120348055
10,197.48666554512758,19.745769299670737,19.49813846655048,18.776822318499367,19.89117811275147,19.87574989854646,20.359174350618304,19.901293261729744,19.88978405550897,19.677756745041897,19.870999036210126
11,197.43493965721467,19.73975663481224,19.478461122863827,18.748717162421368,19.88390628470621,19.877043623813986,20.376240382290792,19.89895370005027,19.89157174916269,19.672340508822725,19.867948488270546
12,197.3832035934124,19.73370707748058,19.458723378912335,18.720616532793034,19.87658889719306,19.878343656619528,20.39348646513867,19.896597600966587,19.89337038746008,19.666892636826788,19.864876960021753
13,197.3315124582303,19.727625270741047,19.43892836684537,18.692518864578755,19.869232869705204,19.8796595323809,20.410916428414126,19.89423212111501,19.89518922602562,19.66141918490607,19.86179059351822
14,197.27974745404742,19.72149933406985,19.419070299746615,18.664429897651537,19.86182295400469,19.880975827270564,20.428513510874737,19.891841279379072,19.897012015098653,19.655909993500067,19.85867234245163
15,197.22779445594813,19.71531646352075,19.399141630593476,18.636336255044622,19.854351256398402,19.882278053669165,20.446268403361525,19.889414408534297,19.898825293089796,19.650349420609018,19.855513271127062
16,197.17577580891336,19.70908975624139,19.379152823929402,18.60824980711147,19.84682825716202,19.88358165914403,20.464189381158317,19.886963522483768,19.900643509393184,19.644753414269886,19.85232367801986
17,197.12374227463766,19.7028236628228,19.359105135679233,18.58017137468217,19.839256038836705,19.884890511495165,20.482297831777988,19.884492912776174,19.902471346976252,19.639124483867366,19.849108975723816
18,197.0717048625507,19.696517211369734,19.339000279350095,18.55209906042631,19.83163743980672,19.886205215559364,20.500599820787464,19.88200395117693,19.904309773189443,19.633461532186907,19.84587057869772
19,197.01967187835058,19.69017214645256,19.318836480901567,18.524030412212504,19.82397258808893,19.887527904371048,20.519097404190852,19.879498046100824,19.906160998967543,19.627765416368558,19.842610480696187
20,196.96763167440892,19.68378588116866,19.298618249507822,18.495972608980008,19.816257551094942,19.888855704948995,20.53779197448549,19.876970140308913,19.908021069188205,19.622037083858938,19.839321410866926
21,196.91557345208176,19.67735550457884,19.278341794455653,18.46791898665175,19.808494050287116,19.89018747578984,20.556687438345104,19.874421276000906,19.909890003109346,19.616271110380833,19.83600581248235
22,196.86349808394166,19.670882450540915,19.25800830642827,18.439874194923565,19.80067889673083,19.89152294295508,20.57578403578589,19.871849371675406,19.911766751413197,19.610470063806698,19.832661069681848
23,196.81144363409743,19.664369352889665,19.23762149713913,18.41184026139128,19.79281712995146,19.892866617966575,20.595085249380258,19.86925904777326,19.913656067776397,19.6046369004057,19.829291509423726
24,196.75937326139226,19.657811681751937,19.217178225256895,18.38381480540343,19.78490276838079,19.894211956001616,20.614599070840075,19.866644674730818,19.915551893965564,19.598765646123812,19.825892538937353
25,196.70731785457133,19.65121199413993,19.19668217895957,18.35580299683031,19.77693783979976,19.89556323981217,20.634327346378463,19.86400844448957,19.917457905040692,19.592860664464286,19.822465244656584
26,196.6552083288326,19.644562003493565,19.17612650425913,18.32779415717964,19.768918020849245,19.8969096075823,20.654274272435828,19.861344138711363,19.91936453398833,19.586910543026573,19.819004547306648
27,196.60312043504192,19.63786983208139,19.15551897711302,18.299801536181807,19.760846599777597,19.898263257697245,20.67443902216217,19.85865702241151,19.92128217253902,19.58092785522184,19.81551415985635
