Cycle,Pack Capacity,"Cell 1,1","Cell 1,2","Cell 1,3","Cell 1,4","Cell 1,5"
1,131.67305102253437,26.355698458363474,26.35899799595237,26.110200166650042,26.586996803770177,26.2611575977983
2,130.0699753737704,26.040194326977716,26.056434053008882,25.770505282450774,26.290854116123356,25.91198759520967
3,130.01746703674658,26.030607965500874,26.05021210870463,25.74273803648206,26.318924352803876,25.874984573255123
4,129.96492756762285,26.020981187979697,26.04402225526209,25.714608419687632,26.347809078108185,25.83750662658525
5,129.9123258049363,26.011299201361,26.037851059456095,25.6861131567431,26.377501226611717,25.799561160764387
6,129.85958604462323,26.001549247344844,26.031686464652747,25.65722051403013,26.40802560528965,25.76110421330585
7,129.80678092478288,25.991737850861153,26.025535167327664,25.627952995610595,26.43938067319949,25.722174237783964
8,129.75391005120525,25.981859176005074,26.019393294776275,25.59830070135825,26.47159254520123,25.68276433386442
9,129.7010199569018,25.97190976020814,26.013260008309455,25.56824935319559,26.50474684996655,25.64285398522208
10,129.64794095820437,25.961853057088607,26.007099546414086,25.537781921871666,26.53876287127449,25.60244356155554
11,129.5948149697644,25.951714244565615,26.000939184271534,25.506897700448214,26.573744910809697,25.56151892966936
12,129.54156426970525,25.941468351919045,25.994753992442323,25.47558780372712,26.609668688538314,25.520085433078435
13,129.48820942437388,25.93111350890638,25.988544721634486,25.443840861710363,26.64657757970824,25.478132752414414
14,129.43474546515193,25.92063978037835,25.98230191661227,25.411672732207784,26.684443632402324,25.43568740355121
15,129.3810891848555,25.910009636756083,25.975988552620592,25.379047083548084,26.723326191954484,25.392717719976247
16,129.3273183495323,25.8992407891667,25.969625479449086,25.345963097038844,26.763264448166144,25.349224535711535
17,129.27340705218796,25.888323413568564,25.963203937578314,25.31242069171163,26.80424659616925,25.3052124131602
18,129.2193853052185,25.877249121775428,25.956716393860287,25.278416174419554,26.84632056490448,25.260683050258752
19,129.16523804999403,25.866003006401222,25.950149604334406,25.243940811791777,26.88951225244669,25.215632375019926
20,129.11088836625026,25.854547215445834,25.943465283714964,25.20896540394964,26.93386906565704,25.17004139748279
21,129.05642109549484,25.842920245088052,25.936703389897204,25.173527960961103,26.979324291743573,25.123945207804887
22,129.0017266566666,25.83106619644965,25.929808041687462,25.137581436872726,27.0259622969284,25.07730868472836
23,128.94687150701378,25.8189804339665,25.922778763164604,25.101126391201603,27.073845718370144,25.030140200310925
24,128.89181650349764,25.80668590484674,25.91563383628989,25.06417581578034,27.122879635660652,24.982441310920002
25,128.8365342004042,25.794103654246285,25.90830068343913,25.026684849943106,27.173245408612555,24.934199604163137
26,128.78102750975845,25.781250170859163,25.900794836288306,24.988663767155746,27.22489910271465,24.885419632740586
27,128.72529169702767,25.768109353087365,25.89309913682018,24.950110072983893,27.277865633374144,24.836107500762097
28,128.66929885018484,25.754659458920617,25.885194281339576,24.911009246003175,27.332183005278132,24.786252858643326
29,128.61301861821016,25.740884847962285,25.877061607362542,24.871360547606074,27.38784577175558,24.735865843523687
30,128.556452891134,25.72676469391044,25.86868191284908,24.83115085034291,27.444918614018924,24.68493682001263
31,128.49959351213244,25.712276440861395,25.860033038320474,24.790376658896193,27.50343158203042,24.633475792023955
32,128.44241919294055,25.69739912420057,25.851094575266167,24.74902677117742,27.563420696844783,24.58147802545161
33,128.38486536797257,25.682117577310365,25.841849663955383,24.7070889371764,27.624882342227192,24.52892684730324
34,128.32696736403255,25.66641677525929,25.83228186239502,24.66457314434993,27.68784768996137,24.475847892066945
35,128.26870413134293,25.65026863663469,25.822363791934386,24.621462600750384,27.752376522099283,24.42223257992419
36,128.2099866737232,25.63362090386268,25.81203961515966,24.577744053430827,27.818500905720896,24.368081195549134
37,128.1507523848965,25.616483377801824,25.80131828396122,24.533412109785164,27.886157127168953,24.313381486179317
38,128.0910178538929,25.598821077813568,25.790164202180343,24.48846256607915,27.955424988669044,24.258145019150792
39,128.03072815261993,25.580616316026575,25.778559713893223,24.442885654980735,28.026298713107803,24.202367754611593
40,127.96983002147054,25.561807573542733,25.76643498739193,24.39667628593369,28.098852307031304,24.146058867570886
41,127.90831528347263,25.542391392875725,25.75378620439831,24.3498352321206,28.17307792607705,24.089224528000955
42,127.84616281012413,25.52236127917596,25.740606401489288,24.30235040620148,28.248996305879892,24.031848417377518
43,127.78316419568986,25.50162086608042,25.726790940566868,24.25420849350531,28.326596168686574,23.973947726850685
44,127.71942669946233,25.480206132289805,25.712379259643605,24.205421444989017,28.405895125793723,23.915524736746185
45,127.6546909700263,25.458050676043207,25.69729409856299,24.15597442393157,28.48679242594746,23.85657934554108
46,127.58900099389176,25.435125040015695,25.681502358440177,24.105852175389685,28.56942432476215,23.797097095284045
47,127.5222292843207,25.41141496092322,25.66498291543295,24.05507432344975,28.653648905648488,23.737108178866286
48,127.45418242331658,25.386873665319502,25.64768587067091,24.00361830264583,28.739406927135615,23.676597657544725
49,127.38475143900305,25.36147013733102,25.629572794915823,23.951482851775165,28.826655353232102,23.615570301748942
50,127.313784468108,25.335176393280076,25.61060876985029,23.89866600812973,28.915303526128202,23.554029770719715
51,127.24102848073204,25.307948650705875,25.590744785941567,23.845155395439583,29.005211349137067,23.49196829950795
52,127.16626895226977,25.279751269878712,25.569934188461918,23.79095310638581,29.09622790355552,23.42940248398782
53,127.08927641680796,25.250570393754504,25.548152294298955,23.736075696767365,29.188134073458137,23.366343958529008
54,127.00960465136386,25.220372734474036,25.525364446034736,23.68049541298881,29.280601368937152,23.302770688929115
55,126.92695314924575,25.189131277028487,25.501531096359514,23.624229411962684,29.373354861288504,23.23870650260656
56,126.84077296672871,25.15681814809731,25.47661829710409,23.56727251271947,29.46591312737771,23.17415088143014
57,126.75055148439054,25.123434523767102,25.450609802720184,23.5096395997502,29.557757461826547,23.1091100963265
58,126.65549736385736,25.088926740484837,25.42344908156169,23.451322561751773,29.648208349754906,23.043590630304166
59,126.55494130595129,25.053308239818456,25.395138390950244,23.39233108600015,29.736567196331546,22.977596392850888
60,126.44814549950998,25.01661275742475,25.365709037382963,23.3326957538895,29.82197498511219,22.91115296570058
61,126.33431401995745,24.978859637247776,25.335176805901636,23.272426957594917,29.90358723206344,22.844263387149674
62,126.21264657803192,24.940099709644322,25.303588456150305,23.21156801618906,29.980426648274296,22.77696374777394
63,126.08247145107659,24.900392702251573,25.271011873919473,23.150148799404032,30.05164223559473,22.709275839906784
64,125.94355681948772,24.85985970653435,25.237571965233528,23.088243893829173,30.116626307771003,22.641254946119673
65,125.79585653555766,24.8186223590007,25.203406988262817,23.025907294916536,30.17498521838077,22.572934674996848
66,125.63954742393864,24.776827166436135,25.16867845489926,22.9632188272134,30.226449500289654,22.504373475100174
67,125.47520047072541,24.734639347923498,25.13357499759979,22.900259952063593,30.271094895485152,22.435631277653382
68,125.30339276346513,24.692185891412336,25.098240642614158,22.83709646343929,30.309114669081747,22.366755096917586
69,125.12492701923283,24.649631999936858,25.06286701992227,22.773807101029345,30.34082122483978,22.29779967350457
70,124.94039705810258,24.607083942456782,25.02757497638512,22.710437737487922,30.366497947255905,22.228802454516845
71,124.75053570940747,24.56463680743282,24.992478115250638,22.647043409238428,30.38657758186407,22.159799795621517
72,124.55601442805066,24.522378819793637,24.95768748026704,22.583639959825685,30.40151631469474,22.090791853469558
73,124.35734515383366,24.480396811021656,24.92328982553306,22.520309839355814,30.411483780531455,22.021864897391684
74,124.15510154951146,24.438735299191606,24.889357900839276,22.457023700875208,30.417015524541398,21.952969124063973
75,123.94966780867667,24.397457061470615,24.855957387380457,22.393841519487893,30.418244069695206,21.884167770642488
76,123.7414388993607,24.35655792650858,24.82309343873152,22.33072999336919,30.415634861632014,21.8154226791194
77,123.53088457999681,24.316103820177712,24.79084114001205,22.267750876212226,30.409391822266738,21.746796921328063
78,123.31832916488025,24.276072177776808,24.75918685401978,22.20487496142742,30.39993461368057,21.678260557975683
79,123.10389613508262,24.236474509044847,24.728152640391304,22.142085584378737,30.387392144162423,21.60979125710531
80,122.88804596046228,24.197340878370227,24.697772079352514,22.079410188192938,30.37210573579037,21.541417078756222
81,122.67081615286445,24.158642706404283,24.668010657574815,22.016852285932085,30.3541634258653,21.47314707708797
82,122.45234620216713,24.120426957603495,24.638952321122748,21.954367893895817,30.333659448471483,21.40493958107359
83,122.23284108040127,24.082597927610074,24.610470100376286,21.891972311296353,30.310988517748417,21.336812223370142
84,122.01242919742316,24.045175783956086,24.582606685269365,21.82963372831682,30.286279581862942,21.26873341801795
85,121.79120859100694,24.008162495460937,24.55535514253277,21.767387471210146,30.25955568624791,21.200747795555174
86,121.56920517815017,23.97151781363288,24.528690107921445,21.705172922934178,30.23103121514087,21.13279311852079
87,121.34650582168695,23.935218739705245,24.502586064563683,21.642990170172524,30.200834743661048,21.06487610358444
88,121.12301554260671,23.89925788717964,24.47704512833013,21.580825357759593,30.168903134440075,20.996984034897274
89,120.89897076143558,23.863606939999077,24.45203013023582,21.518665669833503,30.135556728174805,20.929111293192367
90,120.67425403014535,23.82823892557381,24.42753261328851,21.45649878208527,30.100733932477493,20.86124977672026
