Cycle,Protocol,Stamps,Time,Global Time,Pack Voltage,Pack Current,String 1 Iapp,"Cell 1,1 Cathode Concentration","Cell 1,1 Anode Concentration","Cell 1,1 Voltage","Cell 1,1 Capacity by Area"
1,CC-discharge,0,0.0,0.0,3.866102522392951,-27.263836618115,-27.263836618115,25777.5,22610.7,3.866102522392951,0.0
1,CC-discharge,1,72.72727272727273,72.72727272727273,3.840775663425471,-27.263836618115,-27.263836618115,26342.614866431977,22076.202509646522,3.840775663425471,0.5507845781437374
1,CC-discharge,2,145.45454545454547,145.45454545454547,3.8238474594970095,-27.263836618115,-27.263836618115,26762.192940593468,21622.720219052786,3.8238474594970095,1.1015691562874748
1,CC-discharge,3,218.1818181818182,218.1818181818182,3.808171299824347,-27.263836618115,-27.263836618115,27179.935977434612,21169.264818633048,3.808171299824347,1.652353734431212
1,CC-discharge,4,290.90909090909093,290.90909090909093,3.7934229370930246,-27.263836618115,-27.263836618115,27597.631863044575,20715.809427119555,3.7934229370930246,2.2031383125749495
1,CC-discharge,5,363.6363636363637,363.6363636363637,3.7794198011663496,-27.263836618115,-27.263836618115,28015.326961277202,20262.35403557007,3.7794198011663496,2.753922890718687
1,CC-discharge,6,436.3636363636364,436.3636363636364,3.766030496708125,-27.263836618115,-27.263836618115,28433.02204950577,19808.898644020646,3.766030496708125,3.304707468862424
1,CC-discharge,7,509.0909090909091,509.0909090909091,3.7531581588014378,-27.263836618115,-27.263836618115,28850.717137818032,19355.443252471356,3.7531581588014378,3.8554920470061615
1,CC-discharge,8,581.8181818181819,581.8181818181819,3.740730439629901,-27.263836618115,-27.263836618115,29268.412226130833,18901.987860922076,3.740730439629901,4.406276625149899
1,CC-discharge,9,654.5454545454546,654.5454545454546,3.7286927090779716,-27.263836618115,-27.263836618115,29686.10731444345,18448.53246937266,3.7286927090779716,4.9570612032936365
1,CC-discharge,10,727.2727272727274,727.2727272727274,3.717003322822901,-27.263836618115,-27.263836618115,30103.802402756195,17995.077077823495,3.717003322822901,5.507845781437374
1,CC-discharge,11,800.0000000000001,800.0000000000001,3.7056302545431925,-27.263836618115,-27.263836618115,30521.497491068487,17541.62168627421,3.7056302545431925,6.0586303595811115
1,CC-discharge,12,872.7272727272727,872.7272727272727,3.6945486610852134,-27.263836618115,-27.263836618115,30939.192579381383,17088.166294724644,3.6945486610852134,6.609414937724848
1,CC-discharge,13,945.4545454545455,945.4545454545455,3.6837390127777745,-27.263836618115,-27.263836618115,31356.887667694173,16634.710903175594,3.6837390127777745,7.160199515868586
1,CC-discharge,14,1018.1818181818182,1018.1818181818182,3.673185807015821,-27.263836618115,-27.263836618115,31774.58275600728,16181.255511626625,3.673185807015821,7.710984094012323
1,CC-discharge,15,1090.909090909091,1090.909090909091,3.6628764306985047,-27.263836618115,-27.263836618115,32192.27784432024,15727.800120077205,3.6628764306985047,8.26176867215606
1,CC-discharge,16,1163.6363636363637,1163.6363636363637,3.6528003235616104,-27.263836618115,-27.263836618115,32609.972932632852,15274.344728528022,3.6528003235616104,8.812553250299798
1,CC-discharge,17,1236.3636363636365,1236.3636363636365,3.642948268072551,-27.263836618115,-27.263836618115,33027.66802094554,14820.88933697848,3.642948268072551,9.363337828443536
1,CC-discharge,18,1309.0909090909092,1309.0909090909092,3.6333117789900595,-27.263836618115,-27.263836618115,33445.36310925822,14367.433945428982,3.6333117789900595,9.914122406587273
1,CC-discharge,19,1381.818181818182,1381.818181818182,3.623882533835628,-27.263836618115,-27.263836618115,33863.05819757079,13913.978553879404,3.623882533835628,10.46490698473101
1,CC-discharge,20,1454.5454545454547,1454.5454545454547,3.6146518544298827,-27.263836618115,-27.263836618115,34280.75328588378,13460.523162330346,3.6146518544298827,11.015691562874748
1,CC-discharge,21,1527.2727272727275,1527.2727272727275,3.6056101511373098,-27.263836618115,-27.263836618115,34698.44837419633,13007.067770781292,3.6056101511373098,11.566476141018486
1,CC-discharge,22,1600.0000000000002,1600.0000000000002,3.5967463460976483,-27.263836618115,-27.263836618115,35116.14346250972,12553.612379231956,3.5967463460976483,12.117260719162223
1,CC-discharge,23,1672.727272727273,1672.727272727273,3.588047221545544,-27.263836618115,-27.263836618115,35533.83855082251,12100.156987682447,3.588047221545544,12.66804529730596
1,CC-discharge,24,1745.4545454545455,1745.4545454545455,3.579496688671197,-27.263836618115,-27.263836618115,35951.53363913513,11646.701596133613,3.579496688671197,13.218829875449696
1,CC-discharge,25,1818.1818181818182,1818.1818181818182,3.5710748967471937,-27.263836618115,-27.263836618115,36369.228727447815,11193.246204584462,3.5710748967471937,13.769614453593434
1,CC-discharge,26,1890.909090909091,1890.909090909091,3.562757170505435,-27.263836618115,-27.263836618115,36786.9238157607,10739.790813034988,3.562757170505435,14.320399031737171
1,CC-discharge,27,1963.6363636363637,1963.6363636363637,3.554512751197718,-27.263836618115,-27.263836618115,37204.618904073664,10286.335421485956,3.554512751197718,14.871183609880909
1,CC-discharge,28,2036.3636363636365,2036.3636363636365,3.546303199437874,-27.263836618115,-27.263836618115,37622.31399238647,9832.880029936785,3.546303199437874,15.421968188024646
1,CC-discharge,29,2109.0909090909095,2109.0909090909095,3.5380804740443312,-27.263836618115,-27.263836618115,38040.009080699616,9379.424638387516,3.5380804740443312,15.972752766168385
1,CC-discharge,30,2181.818181818182,2181.818181818182,3.529784556413026,-27.263836618115,-27.263836618115,38457.70416901211,8925.969246838518,3.529784556413026,16.52353734431212
1,CC-discharge,31,2254.545454545455,2254.545454545455,3.5213404737217324,-27.263836618115,-27.263836618115,38875.399257324345,8472.513855289379,3.5213404737217324,17.07432192245586
1,CC-discharge,32,2327.2727272727275,2327.2727272727275,3.5126547592243167,-27.263836618115,-27.263836618115,39293.09434563726,8019.058463739966,3.5126547592243167,17.625106500599596
1,CC-discharge,33,2400.0,2400.0,3.503610923056029,-27.263836618115,-27.263836618115,39710.78943394982,7565.603072190852,3.503610923056029,18.175891078743334
1,CC-discharge,34,2472.727272727273,2472.727272727273,3.4940640319410847,-27.263836618115,-27.263836618115,40128.484522262646,7112.147680641758,3.4940640319410847,18.726675656887075
1,CC-discharge,35,2545.4545454545455,2545.4545454545455,3.48383404985244,-27.263836618115,-27.263836618115,40546.179610575346,6658.6922890926335,3.48383404985244,19.277460235030812
1,CC-discharge,36,2618.1818181818185,2618.1818181818185,3.4726977604625278,-27.263836618115,-27.263836618115,40963.87469888807,6205.236897543489,3.4726977604625278,19.82824481317455
1,CC-discharge,37,2690.909090909091,2690.909090909091,3.4603790518310817,-27.263836618115,-27.263836618115,41381.569787200766,5751.781505994335,3.4603790518310817,20.379029391318287
1,CC-discharge,38,2763.636363636364,2763.636363636364,3.4465374727122966,-27.263836618115,-27.263836618115,41799.2648755132,5298.326114445283,3.4465374727122966,20.929813969462025
1,CC-discharge,39,2836.3636363636365,2836.3636363636365,3.4307548262476493,-27.263836618115,-27.263836618115,42216.959963825575,4844.870722896223,3.4307548262476493,21.480598547605762
1,CC-discharge,40,2909.0909090909095,2909.0909090909095,3.4125201226393944,-27.263836618115,-27.263836618115,42634.65505213823,4391.415331347212,3.4125201226393944,22.0313831257495
1,CC-discharge,41,2981.818181818182,2981.818181818182,3.3912134071382107,-27.263836618115,-27.263836618115,43052.350140450886,3937.9599397981347,3.3912134071382107,22.582167703893237
1,CC-discharge,42,3054.545454545455,3054.545454545455,3.366089511605817,-27.263836618115,-27.263836618115,43470.045228763905,3484.5045482490136,3.366089511605817,23.132952282036975
1,CC-discharge,43,3127.2727272727275,3127.2727272727275,3.3362631813717574,-27.263836618115,-27.263836618115,43887.740317076874,3031.0491566999735,3.3362631813717574,23.683736860180712
1,CC-discharge,44,3200.0000000000005,3200.0000000000005,3.3006932393745054,-27.263836618115,-27.263836618115,44305.43540538867,2577.5937651509807,3.3006932393745054,24.23452143832445
1,CC-discharge,45,3272.727272727273,3272.727272727273,3.2581371234964807,-27.263836618115,-27.263836618115,44723.13049370167,2124.13837360192,3.2581371234964807,24.785306016468187
1,CC-discharge,46,3345.454545454546,3345.454545454546,3.2068827657593793,-27.263836618115,-27.263836618115,45140.82558201484,1670.6829820528662,3.2068827657593793,25.336090594611925
1,CC-discharge,47,3418.1818181818185,3418.1818181818185,3.1429083350350657,-27.263836618115,-27.263836618115,45558.52067032789,1217.2275905038434,3.1429083350350657,25.886875172755662
1,CC-discharge,48,3490.909090909091,3490.909090909091,3.0433766679606746,-27.263836618115,-27.263836618115,45976.2157586407,763.7721989547994,3.0433766679606746,26.4376597508994
1,CC-discharge,49,3508.7147295680284,3508.7147295680284,3.0000100000000005,-27.263836618115,-27.263836618115,46078.47901605709,652.7538347690981,3.0000100000000005,26.57250697958786
1,CC-charge,0,3508.7147295680284,3508.7147295680284,3.716110251542491,27.263836618115,27.263836618115,46078.47901605709,652.7538347690981,3.716110251542491,0.0
1,CC-charge,1,3581.442002295301,3581.442002295301,3.8207459445173533,27.263836618115004,27.263836618114997,45513.363947456375,1187.2515272059613,3.8207459445173533,-0.0
1,CC-charge,2,3654.169275022574,3654.169275022574,3.866975845629321,27.263836618115,27.263836618115,45093.786424431615,1640.733607454926,3.866975845629321,-0.0
