,,Global Time,Time,String 1 Iapp,String 2 Iapp,String 3 Iapp,String 4 Iapp,"Cell 1,1 Anode vSEI Length","Cell 1,1 Voltage","Cell 1,2 Anode vSEI Length","Cell 1,2 Voltage","Cell 1,3 Anode vSEI Length","Cell 1,3 Voltage","Cell 1,4 Anode vSEI Length","Cell 1,4 Voltage"
C1,0,0.0,0.0,-13.703014707653008,-13.495750150917136,-13.59856656541662,-13.73034181224324,5e-09,3.9353917722894094,5e-09,3.93539177228941,5e-09,3.935391772289409,5e-09,3.9353917722894094
C1,1,72.72727272727273,72.72727272727273,-13.70465675083309,-13.503486330426599,-13.60585273697161,-13.713677417998706,5.000000000005798e-09,3.922228919389042,4.99999999999758e-09,3.9222289193890423,5.000000000005642e-09,3.9222289193890423,5.0000000000167935e-09,3.9222289193890423
C1,2,145.45454545454547,145.45454545454547,-13.705569133134734,-13.50781525720442,-13.609929113105121,-13.704359732785727,5.000000000021126e-09,3.9130094461960563,4.999999999982801e-09,3.913009446196056,5.000000000009373e-09,3.9130094461960563,4.999999999998327e-09,3.9130094461960567
C1,3,218.1818181818182,218.1818181818182,-13.70630456086349,-13.511319935657655,-13.613228956544,-13.696819783164855,5.000000000023825e-09,3.90423559276725,4.999999999980397e-09,3.90423559276725,5.00000000010001e-09,3.9042355927672503,4.9999999998802475e-09,3.9042355927672494
C1,4,290.90909090909093,290.90909090909093,-13.706916589572735,-13.514245550472658,-13.615983363504256,-13.690527732680351,5.00000000005512e-09,3.8958185203585614,4.999999999946803e-09,3.8958185203585614,5.0000000001564365e-09,3.8958185203585622,5.0000000001574415e-09,3.8958185203585627
C1,5,363.6363636363637,363.6363636363637,-13.707432739994307,-13.5167184783296,-13.61831143948628,-13.685210578419811,5.0000000000386964e-09,3.8877114795729306,4.999999999956402e-09,3.8877114795729306,5.0000000001054234e-09,3.8877114795729293,5.000000000195291e-09,3.8877114795729306
C1,6,436.3636363636364,436.3636363636364,-13.707873038109245,-13.518831513860587,-13.62030061928506,-13.680668064975114,5.000000000057586e-09,3.8798775726412003,4.9999999999391965e-09,3.8798775726412003,5.00000000006925e-09,3.8798775726412007,4.9999999999935225e-09,3.8798775726412007
C1,7,509.0909090909091,509.0909090909091,-13.708252536959543,-13.5206549590621,-13.622017130603563,-13.676748609604793,5.00000000003883e-09,3.8722859192488523,4.999999999960039e-09,3.8722859192488537,5.0000000001459735e-09,3.8722859192488537,4.999999999978191e-09,3.8722859192488532
C1,8,581.8181818181819,581.8181818181819,-13.708582705145407,-13.522242740162284,-13.62351176545029,-13.673336025472027,5.000000000032399e-09,3.8649104986984444,4.99999999996963e-09,3.8649104986984444,5.000000000095855e-09,3.8649104986984444,4.999999999974288e-09,3.8649104986984444
C1,9,654.5454545454546,654.5454545454546,-13.708872385025396,-13.523636679497457,-13.624823909432317,-13.670340262274829,5.000000000032664e-09,3.857729271600416,4.9999999999711315e-09,3.857729271600417,5.000000000115416e-09,3.857729271600416,4.999999999947305e-09,3.8577292716004172
C1,10,727.2727272727274,727.2727272727274,-13.709128468820088,-13.524869541947206,-13.6259844143794,-13.66769081108331,5.0000000000314545e-09,3.850723484740331,4.999999999972495e-09,3.850723484740329,5.000000000093949e-09,3.85072348474033,4.9999999999278005e-09,3.8507234847403295
C1,11,800.0000000000001,800.0000000000001,-13.709356383098013,-13.525967238427606,-13.627017675584542,-13.66533193911984,5.0000000000353364e-09,3.8438771145109767,4.999999999966871e-09,3.843877114510976,5.000000000038531e-09,3.8438771145109754,4.999999999922784e-09,3.843877114510977
C1,12,872.7272727272727,872.7272727272727,-13.709560440703752,-13.52695043965555,-13.627943152787221,-13.66321920308348,5.000000000033115e-09,3.8371764176898346,4.999999999968943e-09,3.837176417689835,4.999999999943872e-09,3.837176417689835,4.999999999836576e-09,3.837176417689836
C1,13,945.4545454545455,945.4545454545455,-13.709744099568912,-13.527835771494251,-13.628776496570874,-13.661316868595964,5.00000000002202e-09,3.830609566208724,4.99999999997949e-09,3.830609566208723,5.000000000020138e-09,3.8306095662087243,4.999999999850122e-09,3.8306095662087243
C1,14,1018.1818181818182,1018.1818181818182,-13.709910155178953,-13.528636709570243,-13.629530391240587,-13.659595980240217,5.000000000020897e-09,3.824166348184282,4.999999999980572e-09,3.824166348184282,4.9999999999376414e-09,3.824166348184283,4.99999999983256e-09,3.8241663481842827
C1,15,1090.909090909091,1090.909090909091,-13.710060885159587,-13.52936425513338,-13.630215191502211,-13.658032904434823,5.0000000000233076e-09,3.8178379216155327,4.999999999978185e-09,3.8178379216155323,5.0000000000144865e-09,3.8178379216155327,4.999999999841529e-09,3.817837921615532
C1,16,1163.6363636363637,1163.6363636363637,-13.710198158898244,-13.53002744998463,-13.630839407473081,-13.656608219874048,5.00000000002985e-09,3.81161661023668,4.999999999971841e-09,3.8116166102366797,5.000000000012849e-09,3.811616610236679,4.999999999853884e-09,3.8116166102366784
C1,17,1236.3636363636365,1236.3636363636365,-13.710323394988178,-13.53063316872129,-13.631409509187266,-13.655307163333262,5.000000000029955e-09,3.805496762483208,4.999999999971783e-09,3.8054967624832075,5.000000000022399e-09,3.805496762483208,4.9999999998419755e-09,3.805496762483207
C1,18,1309.0909090909092,1309.0909090909092,-13.710438050085456,-13.531188446794346,-13.631932118638387,-13.654114620711812,5.000000000033143e-09,3.7994705019909287,4.999999999967805e-09,3.7994705019909287,5.000000000157051e-09,3.7994705019909274,4.99999999985211e-09,3.7994705019909287
C1,19,1381.818181818182,1381.818181818182,-13.710543161349424,-13.531698302534656,-13.6324119590243,-13.653019813321626,5.00000000003781e-09,3.7935337576419457,4.999999999964734e-09,3.7935337576419466,5.00000000015963e-09,3.7935337576419466,4.999999999863514e-09,3.7935337576419452
C1,20,1454.5454545454547,1454.5454545454547,-13.710639631836724,-13.53216709206033,-13.632853130598484,-13.652013381734463,5.000000000034607e-09,3.787682064931179,4.9999999999675846e-09,3.787682064931178,5.000000000151441e-09,3.787682064931178,4.999999999886419e-09,3.7876820649311784
C1,21,1527.2727272727275,1527.2727272727275,-13.710728224090072,-13.532598480106524,-13.633259083172224,-13.651087448861185,5.000000000032537e-09,3.781911503464803,4.999999999967828e-09,3.7819115034648023,5.000000000158161e-09,3.7819115034648028,4.9999999999244305e-09,3.7819115034648023
C1,22,1600.0000000000002,1600.0000000000002,-13.710809583899575,-13.532995552858774,-13.633632722359556,-13.650235377112102,5.000000000026154e-09,3.77621862272342,4.9999999999743865e-09,3.77621862272342,5.00000000014309e-09,3.7762186227234205,5.000000000019054e-09,3.77621862272342
C1,23,1672.727272727273,1672.727272727273,-13.710884258880935,-13.533360905872497,-13.63397649237868,-13.649451579097889,5.00000000001906e-09,3.770600378195537,4.999999999977863e-09,3.770600378195537,5.000000000185571e-09,3.770600378195537,5.000000000070475e-09,3.770600378195537
C1,24,1745.4545454545455,1745.4545454545455,-13.710952712965822,-13.533696712076743,-13.634292440104405,-13.64873137108303,5.000000000024434e-09,3.7650540761406712,4.999999999975345e-09,3.7650540761406717,5.000000000181249e-09,3.765054076140672,5.000000000071313e-09,3.7650540761406717
C1,25,1818.1818181818182,1818.1818181818182,-13.71101533760162,-13.534004773633496,-13.634582263935787,-13.648070861059097,5.000000000019823e-09,3.7595773255515947,4.9999999999750805e-09,3.7595773255515947,5.000000000176515e-09,3.7595773255515943,5.000000000045612e-09,3.7595773255515943
C1,26,1890.909090909091,1890.909090909091,-13.71107246027786,-13.53428656050724,-13.634847350160408,-13.647466865284493,5.000000000021216e-09,3.75416799613267,4.999999999972048e-09,3.7541679961326695,5.000000000197524e-09,3.75416799613267,5.000000000078587e-09,3.75416799613267
C1,27,1963.6363636363637,1963.6363636363637,-13.711124350847323,-13.534543237894153,-13.635088798854682,-13.646916848633841,5.000000000023685e-09,3.7488241813099146,4.99999999996968e-09,3.7488241813099146,5.00000000015079e-09,3.7488241813099146,5.000000000058644e-09,3.748824181309914
C1,28,2036.3636363636365,2036.3636363636365,-13.711171234718286,-13.534775727240866,-13.635307481371715,-13.64641879289913,5.000000000022162e-09,3.743544165447771,4.999999999971246e-09,3.743544165447771,5.000000000151819e-09,3.7435441654477715,5.000000000093446e-09,3.7435441654477715
C1,29,2109.0909090909095,2109.0909090909095,-13.711213277710817,-13.534984626776641,-13.635503965707196,-13.645971366035345,5.0000000000194595e-09,3.7383263945765206,4.999999999968662e-09,3.7383263945765206,5.00000000017729e-09,3.7383263945765206,5.0000000000935915e-09,3.7383263945765206
C1,30,2181.818181818182,2181.818181818182,-13.711250594496672,-13.535170247589514,-13.63567855056605,-13.645573843577766,5.000000000017555e-09,3.7331694500406174,4.999999999970122e-09,3.733169450040617,5.0000000002023525e-09,3.733169450040617,5.0000000001578725e-09,3.733169450040617
C1,31,2254.545454545455,2254.545454545455,-13.711283251446957,-13.53533262154026,-13.635831272950197,-13.645226090292587,5.000000000018062e-09,3.7280720245550465,4.999999999968353e-09,3.7280720245550465,5.0000000002044825e-09,3.728072024555047,5.0000000000846505e-09,3.7280720245550465
C1,32,2327.2727272727275,2327.2727272727275,-13.711311265637638,-13.535471489340475,-13.635961897119605,-13.644928584132288,5.000000000019979e-09,3.7230329002343945,4.999999999968562e-09,3.723032900234394,5.000000000205929e-09,3.7230329002343945,5.000000000086237e-09,3.7230329002343945
C1,33,2400.0,2400.0,-13.711334602731576,-13.5355862820276,-13.63606989735153,-13.644682454119293,5.000000000021186e-09,3.7180509282074277,4.9999999999678914e-09,3.718050928207428,5.000000000220161e-09,3.718050928207428,5.000000000072693e-09,3.7180509282074277
C1,34,2472.727272727273,2472.727272727273,-13.711353173765568,-13.535676095887885,-13.636154434574,-13.644489532002552,5.000000000025095e-09,3.713125009475884,4.99999999996509e-09,3.7131250094758834,5.000000000243906e-09,3.7131250094758834,5.000000000037145e-09,3.7131250094758834
C1,35,2545.4545454545455,2545.4545454545455,-13.711366830845092,-13.535739660625085,-13.636214326673045,-13.644352418086779,5.000000000028895e-09,3.7082540767103995,4.999999999966265e-09,3.708254076710399,5.000000000240944e-09,3.7082540767103986,5.00000000003519e-09,3.708254076710399
C1,36,2618.1818181818185,2618.1818181818185,-13.711375361704457,-13.535775300452062,-13.636248012178182,-13.6442745618953,5.0000000000253325e-09,3.703437076703581,4.999999999969122e-09,3.7034370767035805,5.0000000002331476e-09,3.7034370767035805,5.0000000000229e-09,3.703437076703581
C1,37,2690.909090909091,2690.909090909091,-13.711378483084903,-13.535780887645709,-13.636253506903545,-13.644260358595842,5.000000000024902e-09,3.6986729532204055,4.999999999970024e-09,3.6986729532204055,5.000000000242377e-09,3.6986729532204055,5.000000000041911e-09,3.698672953220406
C1,38,2763.636363636364,2763.636363636364,-13.711375832837538,-13.535753788007375,-13.636228353009356,-13.644315262375734,5.000000000023676e-09,3.6939606300009813,4.999999999971202e-09,3.6939606300009813,5.000000000259626e-09,3.6939606300009813,5.000000000033395e-09,3.693960630000981
C1,39,2836.3636363636365,2836.3636363636365,-13.711366960662488,-13.535690797538075,-13.636169559856873,-13.644445918172563,5.000000000025213e-09,3.6892989936803375,4.99999999997122e-09,3.689298993680337,5.000000000254397e-09,3.689298993680337,5.000000000023349e-09,3.6892989936803375
C1,40,2909.0909090909095,2909.0909090909095,-13.711351317354312,-13.535588069557804,-13.636073535915223,-13.64466031340266,5.0000000000213885e-09,3.68468687639524,4.999999999974449e-09,3.684686876395241,5.000000000243304e-09,3.684686876395241,5.000000000027789e-09,3.6846868763952405
C1,41,2981.818181818182,2981.818181818182,-13.7113282424084,-13.535441031381373,-13.635936010911784,-13.644967951528447,5.000000000022924e-09,3.6801230378492744,4.999999999972974e-09,3.6801230378492744,5.000000000249796e-09,3.6801230378492744,5.000000000022505e-09,3.680123037849274
C1,42,3054.545454545455,3054.545454545455,-13.711296949812501,-13.535244289598264,-13.635751947308401,-13.645380049510834,5.000000000025712e-09,3.6756061466048906,4.999999999970456e-09,3.67560614660489,5.000000000231148e-09,3.6756061466048906,5.0000000000585885e-09,3.67560614660489
C1,43,3127.2727272727275,3127.2727272727275,-13.711256511839409,-13.534991522898972,-13.635515440135945,-13.645909761355677,5.000000000024108e-09,3.6711347603651188,4.9999999999710355e-09,3.6711347603651188,5.0000000002172574e-09,3.6711347603651188,5.000000000067191e-09,3.671134760365119
C1,44,3200.0000000000005,3200.0000000000005,-13.711205840596762,-13.534675361374315,-13.635219604148913,-13.64657243011001,5.000000000020348e-09,3.666707304998165,4.999999999972679e-09,3.666707304998165,5.00000000018638e-09,3.6667073049981647,5.0000000000412375e-09,3.666707304998165
C1,45,3272.727272727273,3272.727272727273,-13.71114366710478,-13.534287251140524,-13.634856447238153,-13.647385870746541,5.000000000022276e-09,3.662322052045205,4.9999999999760805e-09,3.662322052045205,5.0000000001600984e-09,3.662322052045205,5.000000000053158e-09,3.6623220520452047
C1,46,3345.454545454546,3345.454545454546,-13.7110685176039,-13.533817303275457,-13.634416729136131,-13.64837068621451,5.0000000000300044e-09,3.6579770945123347,4.9999999999698394e-09,3.6579770945123338,5.000000000183711e-09,3.6579770945123338,5.000000000045204e-09,3.6579770945123338
C1,47,3418.1818181818185,3418.1818181818185,-13.710978686728286,-13.533254125431153,-13.633889803856707,-13.649550620213853,5.000000000029087e-09,3.65367032020108,4.999999999971182e-09,3.65367032020108,5.000000000178607e-09,3.65367032020108,5.000000000054677e-09,3.6536703202010794
C1,48,3490.909090909091,3490.909090909091,-13.710872286199002,-13.53258514145384,-13.633263918461637,-13.650951890115527,5.000000000029262e-09,3.649399246882357,4.999999999970874e-09,3.649399246882357,5.000000000189976e-09,3.649399246882357,5.000000000058371e-09,3.6493992468823575
C1,49,3563.636363636364,3563.636363636364,-13.71074687301516,-13.531794226968945,-13.632524001434852,-13.652608134811043,5.000000000026024e-09,3.6451615747840735,4.999999999972839e-09,3.6451615747840735,5.000000000209853e-09,3.6451615747840735,5.000000000058031e-09,3.6451615747840735
C1,50,3636.3636363636365,3636.3636363636365,-13.710599950042946,-13.530864928253342,-13.631654672830253,-13.654553685103455,5.000000000032868e-09,3.6409542121453007,4.999999999969939e-09,3.6409542121453007,5.000000000226955e-09,3.6409542121453002,5.000000000052448e-09,3.6409542121453007
C1,51,3709.0909090909095,3709.0909090909095,-13.710428543566703,-13.52977780138851,-13.630637754885813,-13.656829136388971,5.0000000000365805e-09,3.6367739090243383,4.999999999971008e-09,3.6367739090243383,5.000000000233923e-09,3.6367739090243374,5.00000000003866e-09,3.6367739090243374
C1,52,3781.818181818182,3781.818181818182,-13.710229254359957,-13.528510784898055,-13.629452619630174,-13.659480577341819,5.000000000035496e-09,3.632617035525145,4.999999999975854e-09,3.632617035525145,5.000000000232572e-09,3.6326170355251453,5.00000000004263e-09,3.6326170355251453
C1,53,3854.545454545455,3854.545454545455,-13.709998203448988,-13.527038922659354,-13.628075928378951,-13.662560181742705,5.000000000036405e-09,3.6284795352621497,4.999999999971824e-09,3.62847953526215,5.000000000234059e-09,3.62847953526215,5.0000000000383275e-09,3.62847953526215
C1,54,3927.2727272727275,3927.2727272727275,-13.709730971430243,-13.525334072881765,-13.626481357661032,-13.666126834256955,5.000000000034945e-09,3.6243568738358922,4.9999999999725005e-09,3.6243568738358922,5.0000000002344735e-09,3.6243568738358922,5.000000000038802e-09,3.6243568738358922
C1,55,4000.0000000000005,4000.0000000000005,-13.709422530756385,-13.523364607502987,-13.62463931551469,-13.670246782455939,5.000000000033597e-09,3.6202439817367043,4.999999999971247e-09,3.620243981736704,5.000000000236218e-09,3.6202439817367043,5.000000000038975e-09,3.6202439817367034
C1,56,4072.727272727273,4072.727272727273,-13.70906717041327,-13.521095108406202,-13.622516653928624,-13.674994303481911,5.000000000035291e-09,3.616135191033242,4.999999999970589e-09,3.616135191033243,5.000000000238363e-09,3.6161351910332424,5.000000000038939e-09,3.616135191033242
C1,57,4145.454545454546,4145.454545454546,-13.708658412493156,-13.518486069493282,-13.620076385663214,-13.680452368580351,5.000000000038556e-09,3.6120241651446894,4.9999999999714566e-09,3.61202416514469,5.0000000002344735e-09,3.61202416514469,5.0000000000377485e-09,3.6120241651446894
C1,58,4218.181818181819,4218.181818181819,-13.7081889203323,-13.515493616950735,-13.617277416706267,-13.6867132822407,5.000000000029304e-09,3.607903820928477,4.999999999972957e-09,3.607903820928476,5.000000000232002e-09,3.6079038209284766,5.0000000000479005e-09,3.6079038209284766
C1,59,4290.909090909091,4290.909090909091,-13.707650398147564,-13.512069264177388,-13.614074309459722,-13.693879264445327,5.000000000027378e-09,3.6037662422445784,4.999999999968525e-09,3.603766242244578,5.000000000237908e-09,3.603766242244578,5.000000000038652e-09,3.6037662422445775
C1,60,4363.636363636364,4363.636363636364,-13.707033482578025,-13.508159722897357,-13.610417096429966,-13.702062934324648,5.000000000027588e-09,3.5996025840814765,4.999999999966856e-09,3.5996025840814756,5.00000000023253e-09,3.5996025840814765,5.000000000018805e-09,3.5996025840814765
